Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.2,$1.04B,1986,n/a,n/a,https://old.nasdaq.com/symbol/fax,
BTG,B2Gold Corp,5.29,$5.56B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/btg,
CCF,Chase Corporation,109.75,$1.04B,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ccf,
CQP,"Cheniere Energy Partners, LP",39.41,$19.08B,2007,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/cqp,
LNG,"Cheniere Energy, Inc.",58.97,$14.88B,n/a,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/lng,
EVV,Eaton Vance Limited Duration Income Fund,12.08,$1.4B,2003,n/a,n/a,https://old.nasdaq.com/symbol/evv,
EQX,Equinox Gold Corp.,9.63,$2.33B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/eqx,
SIM,"Grupo Simec, S.A. de C.V.",9.3617,$1.45B,1993,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/sim,
IMO,Imperial Oil Limited,19.2,$14.09B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/imo,
MAG,MAG Silver Corporation,14.48,$1.37B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/mag,
NGD,New Gold Inc.,1.74,$1.18B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ngd,
NG,Novagold Resources Inc.,9.88,$3.26B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ng,
PRK,Park National Corporation,108.69,$1.77B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/prk,
UTG,Reaves Utility Income Fund,33.26,$1.71B,2004,n/a,n/a,https://old.nasdaq.com/symbol/utg,
SEB,Seaboard Corporation,3323.22,$3.86B,1996,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/seb,
SVM,Silvercorp Metals Inc.,5.84,$1.02B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/svm,
SILV,SilverCrest Metals Inc.,8.49,$1.1B,2018,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/silv,
TMP,Tompkins Financial Corporation,70.17,$1.05B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tmp,
