"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"VCVC","10X Capital Venture Acquisition Corp","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/vcvc",
"VCVCU","10X Capital Venture Acquisition Corp","n/a","n/a","n/a","Finance","Business Services","https://old.nasdaq.com/symbol/vcvcu",
"TXG","10x Genomics, Inc.","137.54","$14.8B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg",
"YI","111, Inc.","6.97","$574.04M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","2.9989","$14.87M","2014","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","24.4784","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.9921","$62M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/turn",
"ATNF","180 Life Sciences Corp.","3.03","$16.59M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnf",
"ATNFW","180 Life Sciences Corp.","0.2099","n/a","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnfw",
"FLWS","1-800-FLOWERS.COM, Inc.","23.14","$1.5B","1999","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.89","$47.17M","2019","Finance","Banks","https://old.nasdaq.com/symbol/bcow",
"ONEM","1Life Healthcare, Inc.","33.27","$4.43B","2020","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/onem",
"FCCY","1st Constitution Bancorp (NJ)","15.81","$161.86M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","38.45","$982.54M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","24.8","$3.3B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","34.31","$2.47B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/twou",
"QFIN","360 DigiTech, Inc.","13.43","$1.97B","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/qfin",
"KRKR","36Kr Holdings Inc.","3.43","$128.61M","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/krkr",
"FVAM","5:01 Acquisition Corp.","10.02","$109.43M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/fvam",
"JOBS","51job, Inc.","70.6","$4.74B","2004","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/jobs",
"ETNB","89bio, Inc.","27.6","$548.66M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/etnb",
"EGHT","8x8 Inc","19.49","$2.07B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"NMTR","9 Meters Biopharma, Inc.","1.11","$166.86M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nmtr",
"JFU","9F Inc.","1.29","$251.8M","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jfu",
"AAON","AAON, Inc.","66","$3.45B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon",
"ABCM","Abcam plc","18.44","$4.18B","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/abcm",
"ABEO","Abeona Therapeutics Inc.","1.38","$135.97M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abeo",
"ABMD","ABIOMED, Inc.","266.43","$12.04B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","2.34","$19.66M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/axas",
"ABST","Absolute Software Corporation","10.01","$488.27M","2020","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/abst",
"ACIU","AC Immune SA","5.27","$378.08M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","69.58","$2.93B","2016","Technology","Semiconductors","https://old.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","3.74","$184.31M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/actg",
"ASO","Academy Sports and Outdoors, Inc.","16","$1.44B","2020","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aso",
"ACHC","Acadia Healthcare Company, Inc.","43.85","$3.9B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","53.84","$8.56B","1985","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acad",
"ACAM","Acamar Partners Acquisition Corp.","10.17","$388.46M","2019","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","10.7389","n/a","2019","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","1.33","n/a","2019","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","0.2294","$22.23M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","8.09","$461.37M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/axdx",
"ACCP","Accelerated Pharma, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/accp",
"XLRN","Acceleron Pharma Inc.","113.56","$6.84B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xlrn",
"ACCD","Accolade, Inc.","50.21","$2.76B","2020","n/a","n/a","https://old.nasdaq.com/symbol/accd",
"ARAY","Accuray Incorporated","4.4","$401.29M","2007","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aray",
"ACEV","ACE Convergence Acquisition Corp.","9.78","$281.18M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acev",
"ACEVU","ACE Convergence Acquisition Corp.","10.07","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acevu",
"ACEVW","ACE Convergence Acquisition Corp.","0.8299","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acevw",
