Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
TXG,"10x Genomics, Inc.",137.54,$14.8B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg,
FLWS,"1-800-FLOWERS.COM, Inc.",23.14,$1.5B,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws,
ONEM,"1Life Healthcare, Inc.",33.27,$4.43B,2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem,
VNET,"21Vianet Group, Inc.",24.8,$3.3B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",34.31,$2.47B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou,
QFIN,"360 DigiTech, Inc.",13.43,$1.97B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin,
JOBS,"51job, Inc.",70.6,$4.74B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs,
EGHT,8x8 Inc,19.49,$2.07B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
AAON,"AAON, Inc.",66,$3.45B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon,
ABCM,Abcam plc,18.44,$4.18B,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/abcm,
ABMD,"ABIOMED, Inc.",266.43,$12.04B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd,
ACIA,"Acacia Communications, Inc.",69.58,$2.93B,2016,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia,
ASO,"Academy Sports and Outdoors, Inc.",16,$1.44B,2020,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aso,
ACHC,"Acadia Healthcare Company, Inc.",43.85,$3.9B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,53.84,$8.56B,1985,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad,
XLRN,Acceleron Pharma Inc.,113.56,$6.84B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn,
ACCD,"Accolade, Inc.",50.21,$2.76B,2020,n/a,n/a,https://old.nasdaq.com/symbol/accd,
ACIW,"ACI Worldwide, Inc.",32.19,$3.76B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw,
ACMR,"ACM Research, Inc.",74.61,$1.38B,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr,
ATVI,"Activision Blizzard, Inc",75.92,$58.68B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi,
AHCO,AdaptHealth Corp. ,29.22,$2.62B,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco,
ADPT,Adaptive Biotechnologies Corporation,45.83,$6.27B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adpt,
ADUS,Addus HomeCare Corporation,97.15,$1.54B,2009,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/adus,
ADBE,Adobe Inc.,460.61,$220.96B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe,
AEIS,"Advanced Energy Industries, Inc.",94.48,$3.62B,1995,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aeis,
AMD,"Advanced Micro Devices, Inc.",85.31,$102.6B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amd,
ADV,Advantage Solutions Inc. ,10.13,$3.17B,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/adv,
ADVM,"Adverum Biotechnologies, Inc.",13.97,$1.36B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/advm,
AVAV,"AeroVironment, Inc.",85.84,$2.07B,2007,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/avav,
AFYA,Afya Limited,27.73,$2.58B,2019,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/afya,
AGIO,"Agios Pharmaceuticals, Inc.",44.03,$3.05B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agio,
AGNC,AGNC Investment Corp.,15.45,$8.42B,2008,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnc,
API,"Agora, Inc.",36.09,$14.32B,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/api,
