Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
TXG,"10x Genomics, Inc.",137.54,$14.8B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg,
ABMD,"ABIOMED, Inc.",266.43,$12.04B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd,
ATVI,"Activision Blizzard, Inc",75.92,$58.68B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi,
ADBE,Adobe Inc.,460.61,$220.96B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe,
AMD,"Advanced Micro Devices, Inc.",85.31,$102.6B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amd,
API,"Agora, Inc.",36.09,$14.32B,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/api,
AKAM,"Akamai Technologies, Inc.",102.81,$16.74B,1999,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/akam,
ALXN,"Alexion Pharmaceuticals, Inc.",122.61,$26.83B,1996,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alxn,
ALGN,"Align Technology, Inc.",476.58,$37.58B,2001,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/algn,
LNT,Alliant Energy Corporation,52.75,$13.17B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/lnt,
ALNY,"Alnylam Pharmaceuticals, Inc.",123.02,$14.29B,2004,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alny,
GOOG,Alphabet Inc.,1734.86,$1173.5B,2004,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/goog,
GOOGL,Alphabet Inc.,1727.56,$1168.57B,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/googl,
AMZN,"Amazon.com, Inc.",3098.39,$1554.62B,1997,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/amzn,
AMOV,"America Movil, S.A.B. de C.V.",14.0198,$46.98B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov,
AEP,"American Electric Power Company, Inc.",83.41,$41.4B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aep,
AMGN,Amgen Inc.,222.22,$129.37B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/amgn,
ADI,"Analog Devices, Inc.",137.07,$50.66B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/adi,
ANSS,"ANSYS, Inc.",313.42,$26.92B,1996,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/anss,
AAPL,Apple Inc.,113.85,$1973.86B,1980,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/aapl,
AMAT,"Applied Materials, Inc.",80.5,$73.52B,1972,Technology,Semiconductors,https://old.nasdaq.com/symbol/amat,
ACGL,Arch Capital Group Ltd.,33.99,$13.8B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/acgl,
ARGX,argenx SE,269,$12.67B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/argx,
ASML,ASML Holding N.V.,427.15,$178.71B,1995,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/asml,
AZN,Astrazeneca PLC,54.7,$143.57B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/azn,
TEAM,Atlassian Corporation Plc,211.05,$52.59B,2015,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/team,
ADSK,"Autodesk, Inc.",257.25,$56.41B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adsk,
ADP,"Automatic Data Processing, Inc.",172.06,$73.78B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/adp,
BIDU,"Baidu, Inc.",133.04,$45.38B,2005,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/bidu,
GOLD,Barrick Gold Corporation,23.24,$41.32B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gold,
BGNE,"BeiGene, Ltd.",273.78,$24.91B,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/bgne,
BILI,Bilibili Inc.,63.32,$21.87B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/bili,
BIIB,Biogen Inc.,243.38,$37.45B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/biib,
BMRN,BioMarin Pharmaceutical Inc.,77.04,$13.99B,1999,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/bmrn,
BNTX,BioNTech SE,106.5,$25.64B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/bntx,
TECH,Bio-Techne Corp,303.74,$11.73B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/tech,
BKNG,Booking Holdings Inc.,2019.84,$82.72B,n/a,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/bkng,
AVGO,Broadcom Inc.,387,$156.54B,2009,Technology,Semiconductors,https://old.nasdaq.com/symbol/avgo,
BPY,Brookfield Property Partners L.P.,16.01,$14.87B,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/bpy,
CHRW,"C.H. Robinson Worldwide, Inc.",92.17,$12.53B,1997,Transportation,Oil Refining/Marketing,https://old.nasdaq.com/symbol/chrw,
CDNS,"Cadence Design Systems, Inc.",111.25,$31.03B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cdns,
CZR,"Caesars Entertainment, Inc.",66.9,$13.93B,n/a,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/czr,
CBOE,"Cboe Global Markets, Inc.",92.59,$10.35B,2010,n/a,n/a,https://old.nasdaq.com/symbol/cboe,
CDW,CDW Corporation,131.22,$18.76B,2013,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/cdw,
CERN,Cerner Corporation,73.61,$22.57B,1986,Technology,EDP Services,https://old.nasdaq.com/symbol/cern,
CHTR,"Charter Communications, Inc.",645.04,$132.17B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/chtr,
CHKP,Check Point Software Technologies Ltd.,119.86,$16.8B,1996,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/chkp,
CINF,Cincinnati Financial Corporation,77.63,$12.49B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/cinf,
CTAS,Cintas Corporation,358.27,$37.48B,1983,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/ctas,
CSCO,"Cisco Systems, Inc.",41.64,$175.95B,1990,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/csco,
CTXS,"Citrix Systems, Inc.",120.16,$14.79B,1995,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ctxs,
CME,CME Group Inc.,168.78,$60.59B,2002,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/cme,
CGNX,Cognex Corporation,71.28,$12.45B,1989,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cgnx,
CTSH,Cognizant Technology Solutions Corporation,77.2,$41.27B,1998,Technology,EDP Services,https://old.nasdaq.com/symbol/ctsh,
CMCSA,Comcast Corporation,49.81,$227.9B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/cmcsa,
CPRT,"Copart, Inc.",113.15,$26.71B,1994,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/cprt,
CSGP,"CoStar Group, Inc.",887.79,$34.99B,1998,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/csgp,
COST,Costco Wholesale Corporation,381.71,$168.42B,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/cost,
COUP,Coupa Software Incorporated,315.36,$22.47B,2016,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/coup,
CRWD,"CrowdStrike Holdings, Inc.",147.54,$32.38B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/crwd,
CSX,CSX Corporation,92.06,$70.41B,n/a,Transportation,Railroads,https://old.nasdaq.com/symbol/csx,
CVAC,CureVac N.V.,85.06,$15.14B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/cvac,
DADA,Dada Nexus Limited,52.03,$11.69B,2020,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/dada,
DDOG,"Datadog, Inc.",91.04,$27.72B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddog,
XRAY,DENTSPLY SIRONA Inc.,50.46,$11.03B,1987,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/xray,
DXCM,"DexCom, Inc.",321.09,$30.83B,2005,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dxcm,
DISCA,"Discovery, Inc.",26.5,$13.01B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/disca,
DISCB,"Discovery, Inc.",30.9,$15.17B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/discb,
DISCK,"Discovery, Inc.",23.79,$11.68B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/disck,
DISH,DISH Network Corporation,35.13,$18.48B,1995,Consumer Services,Television Services,https://old.nasdaq.com/symbol/dish,
DOCU,"DocuSign, Inc.",217.17,$40.21B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/docu,
DLTR,"Dollar Tree, Inc.",97.61,$23.16B,1995,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dltr,
DKNG,DraftKings Inc.,48.03,$18.81B,2019,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/dkng,
EBAY,eBay Inc.,49.9,$34.4B,1998,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ebay,
EA,Electronic Arts Inc.,121.86,$35.35B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ea,
ENPH,"Enphase Energy, Inc.",134.43,$16.98B,2012,Technology,Semiconductors,https://old.nasdaq.com/symbol/enph,
ENTG,"Entegris, Inc.",90.01,$12.15B,2000,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/entg,
EQIX,"Equinix, Inc.",711.46,$63.39B,2000,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/eqix,
ERIC,Ericsson,12.05,$40.1B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/eric,
ERIE,Erie Indemnity Company,237.86,$12.44B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/erie,
ETSY,"Etsy, Inc.",140.2,$17.68B,2015,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/etsy,
EXAS,Exact Sciences Corporation,120.54,$18.13B,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/exas,
EXC,Exelon Corporation,41.57,$40.55B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/exc,
