Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
ADBE,Adobe Inc.,460.61,$220.96B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe,
GOOG,Alphabet Inc.,1734.86,$1173.5B,2004,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/goog,
GOOGL,Alphabet Inc.,1727.56,$1168.57B,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/googl,
AMZN,"Amazon.com, Inc.",3098.39,$1554.62B,1997,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/amzn,
AAPL,Apple Inc.,113.85,$1973.86B,1980,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/aapl,
CMCSA,Comcast Corporation,49.81,$227.9B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/cmcsa,
FB,"Facebook, Inc.",268.43,$764.57B,2012,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/fb,
MSFT,Microsoft Corporation,210.11,$1588.54B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/msft,
NFLX,"Netflix, Inc.",476.62,$210.57B,2002,Consumer Services,Consumer Electronics/Video Chains,https://old.nasdaq.com/symbol/nflx,
NVDA,NVIDIA Corporation,525.6,$325.35B,1999,Technology,Semiconductors,https://old.nasdaq.com/symbol/nvda,
PYPL,"PayPal Holdings, Inc.",200.82,$235.3B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/pypl,
TSLA,"Tesla, Inc. ",521.85,$494.66B,2010,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/tsla,
