Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
DDD,3D Systems Corporation,8.4,$1.04B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd,
MMM,3M Company,177.08,$102.14B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm,
EGHT,8x8 Inc,19.53,$2.08B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
AOS,A.O Smith Corporation,57.96,$9.36B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos,
AIR,AAR Corp.,29.83,$1.05B,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air,
AAN,"Aarons Holdings Company, Inc.",66.33,$4.48B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan,
ABB,ABB Ltd,26.83,$55.24B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,107.61,$190.72B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,103.96,$183.54B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,22.97,$1.43B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf,
ABM,ABM Industries Incorporated,41.11,$2.74B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm,
AKR,Acadia Realty Trust,15.18,$1.31B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr,
ACEL,"Accel Entertainment, Inc.",11.25,$1.09B,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel,
ACN,Accenture plc,250,$158.52B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn,
AYI,"Acuity Brands, Inc. ",122.21,$4.57B,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ayi,
GOLF,Acushnet Holdings Corp.,37.84,$2.81B,2016,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/golf,
ADX,"Adams Diversified Equity Fund, Inc.",16.81,$1.83B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/adx,
ADCT,ADC Therapeutics SA,35.74,$2.74B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adct,
ADNT,Adient plc,32.19,$3.02B,2016,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt,
ADT,ADT Inc.,8.16,$6.74B,2018,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt,
ATGE,Adtalem Global Education Inc.,29.07,$1.51B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/atge,
