Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
BABA,Alibaba Group Holding Limited,279.96,$757.47B,2014,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/baba,
T,AT&T Inc.,29.23,$208.29B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/t,
BAC,Bank of America Corporation,28.98,$250.7B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/bac,
KO,Coca-Cola Company (The),53.22,$228.71B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/ko,
HD,"Home Depot, Inc. (The)",273.31,$294.21B,n/a,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/hd,
JPM,J P Morgan Chase & Co,123.32,$375.9B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/jpm,
JNJ,Johnson & Johnson,143.87,$378.74B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/jnj,
MA,Mastercard Incorporated,342.39,$341.34B,2006,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ma,
MRK,"Merck & Company, Inc.",80.14,$202.76B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mrk,
NKE,"Nike, Inc.",134.7,$211.46B,n/a,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/nke,
NVS,Novartis AG,88.3,$200.84B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nvs,
PFE,"Pfizer, Inc.",36.6,$203.44B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/pfe,
PG,Procter & Gamble Company (The),138.31,$341.55B,n/a,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/pg,
CRM,Salesforce.com Inc,260.84,$237.36B,2004,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/crm,
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,96.64,$501.18B,1997,Technology,Semiconductors,https://old.nasdaq.com/symbol/tsm,
TM,Toyota Motor Corp Ltd Ord,143.84,$201.09B,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/tm,
UNH,UnitedHealth Group Incorporated,336.01,$318.81B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/unh,
VZ,Verizon Communications Inc.,60.64,$250.93B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/vz,
V,Visa Inc.,209.68,$447.36B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/v,
WMT,Walmart Inc.,151.36,$428.92B,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/wmt,
DIS,Walt Disney Company (The),151.49,$273.75B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/dis,
ADBE,Adobe Inc.,460.61,$220.96B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe,
GOOGL,Alphabet Inc.,1727.56,$1168.57B,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/googl,
AMZN,"Amazon.com, Inc.",3098.39,$1554.62B,1997,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/amzn,
AAPL,Apple Inc.,113.85,$1973.86B,1980,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/aapl,
CMCSA,Comcast Corporation,49.81,$227.9B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/cmcsa,
FB,"Facebook, Inc.",268.43,$764.57B,2012,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/fb,
MSFT,Microsoft Corporation,210.11,$1588.54B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/msft,
NFLX,"Netflix, Inc.",476.62,$210.57B,2002,Consumer Services,Consumer Electronics/Video Chains,https://old.nasdaq.com/symbol/nflx,
NVDA,NVIDIA Corporation,525.6,$325.35B,1999,Technology,Semiconductors,https://old.nasdaq.com/symbol/nvda,
PYPL,"PayPal Holdings, Inc.",200.82,$235.3B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/pypl,
TSLA,"Tesla, Inc. ",521.85,$494.66B,2010,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/tsla,
