,Date,Low,High,Close,Adjusted Close,Open
5301,2020-11-24,112.59,115.85,115.17,115.17,113.91
5300,2020-11-23,113.75,117.6202,113.85,113.85,117.18
5299,2020-11-20,117.29,118.77,117.34,117.34,118.64
5298,2020-11-19,116.81,119.06,118.64,118.64,117.59
5297,2020-11-18,118.0,119.82,118.03,118.03,118.61
5296,2020-11-17,118.96,120.6741,119.39,119.39,119.55
5295,2020-11-16,118.146,120.99,120.3,120.3,118.92
5294,2020-11-13,117.87,119.6717,119.26,119.26,119.44
5293,2020-11-12,118.57,120.53,119.21,119.21,119.62
5292,2020-11-11,116.44,119.63,119.49,119.49,117.19
5291,2020-11-10,114.13,117.59,115.97,115.97,115.55
5290,2020-11-09,116.05,121.99,116.32,116.32,120.5
5289,2020-11-06,116.13,119.2,118.69,118.69,118.32
5288,2020-11-05,116.8686,119.62,119.03,118.824767232,117.95
5287,2020-11-04,112.35,115.59,114.95,114.75180201,114.14
5286,2020-11-03,108.73,111.49,110.44,110.249578199,109.66
5285,2020-11-02,107.32,110.68,108.77,108.582457631,109.11
5284,2020-10-30,107.72,111.99,108.86,108.672302452,111.06
5283,2020-10-29,112.2,116.93,115.32,115.121164052,112.37
5282,2020-10-28,111.1,115.43,111.2,111.008267799,115.05
5281,2020-10-27,114.5399,117.28,116.6,116.398957063,115.49
5280,2020-10-26,112.88,116.55,115.05,114.851629589,114.01
5279,2020-10-23,114.28,116.55,115.04,114.841646831,116.39
5278,2020-10-22,114.59,118.04,115.75,115.550422642,117.45
5277,2020-10-21,116.45,118.705,116.87,116.668491526,116.67
5276,2020-10-20,115.63,118.98,117.51,117.307388031,116.2
5275,2020-10-19,115.66,120.419,115.98,115.780026073,119.96
5274,2020-10-16,118.81,121.548,119.02,118.814784474,121.28
5273,2020-10-15,118.15,121.2,120.71,120.501870558,118.72
5272,2020-10-14,119.62,123.03,121.19,120.981042937,121.0
5271,2020-10-13,119.65,125.39,121.1,120.891198116,125.27
5270,2020-10-12,119.2845,125.18,124.4,124.185508222,120.06
5269,2020-10-09,114.92,117.0,116.97,116.768319105,115.28
5268,2020-10-08,114.5901,116.4,114.97,114.771767526,116.25
5267,2020-10-07,114.13,115.55,115.08,114.881577863,114.62
5266,2020-10-06,112.25,116.12,113.16,112.964888347,115.7
5265,2020-10-05,113.55,116.65,116.5,116.299129484,113.91
5264,2020-10-02,112.22,115.37,113.02,112.825129736,112.89
5263,2020-10-01,115.83,117.72,116.79,116.588629463,117.64
5262,2020-09-30,113.62,117.26,115.81,115.610319189,113.79
5261,2020-09-29,113.57,115.31,114.09,113.893284831,114.55
5260,2020-09-28,112.78,115.32,114.96,114.761784768,115.01
5259,2020-09-25,107.67,112.44,112.28,112.086405652,108.43
5258,2020-09-24,105.0,110.25,108.22,108.033405946,105.17
5257,2020-09-23,106.77,112.11,107.12,106.935302578,111.62
5256,2020-09-22,109.16,112.86,111.81,111.617216031,112.68
5255,2020-09-21,103.1,110.19,110.08,109.890198915,104.54
5254,2020-09-18,106.09,110.88,106.84,106.655785357,110.4
5253,2020-09-17,108.71,112.2,110.34,110.14975062,109.72
5252,2020-09-16,112.04,116.0,112.13,111.936664284,115.23
5251,2020-09-15,113.61,118.829,115.54,115.340784726,118.33
5250,2020-09-14,112.8,115.93,115.355,115.156103705,114.72
5249,2020-09-11,110.0,115.23,112.0,111.806888431,114.57
5248,2020-09-10,112.5,120.5,113.49,113.294319357,120.36
5247,2020-09-09,115.26,119.14,117.32,117.117715631,117.26
5246,2020-09-08,112.68,118.99,112.82,112.625474578,113.95
5245,2020-09-04,110.89,123.7,120.96,120.751439505,120.07
5244,2020-09-03,120.5,128.84,120.88,120.671577442,126.91
5243,2020-09-02,127.0,137.98,131.4,131.173438748,137.59
5242,2020-09-01,130.53,134.8,134.18,133.948645443,132.76
5241,2020-08-31,126.0,131.0,129.04,128.817507885,127.58
5240,2020-08-28,498.31,505.77,499.23,124.592305606,504.05
5239,2020-08-27,495.33,509.94,500.04,124.794456453,508.57
5238,2020-08-26,500.33,507.97,506.09,126.304348585,504.7165
5237,2020-08-25,492.21,500.7172,499.3,124.609775432,498.79
5236,2020-08-24,495.745,515.14,503.43,125.640495185,514.79
5235,2020-08-21,477.0,499.472,497.48,124.155559948,477.05
5234,2020-08-20,462.9335,473.568,473.1,118.07106901,463.0
5233,2020-08-19,462.44,468.65,462.83,115.507995921,463.933
5232,2020-08-18,456.03,464.0,462.25,115.363245931,457.41
5231,2020-08-17,455.8501,464.35,458.43,114.409892552,464.25
5230,2020-08-14,452.18,460.0,459.63,114.709375289,459.315
5229,2020-08-13,455.71,464.17,460.04,114.811698558,457.72
5228,2020-08-12,441.19,453.1,452.04,112.815146978,441.99
5227,2020-08-11,436.4267,449.93,437.5,109.186414483,447.875
5226,2020-08-10,440.0,455.1,450.91,112.533134068,450.4
5225,2020-08-07,441.17,454.7,444.45,110.920918668,452.82
5224,2020-08-06,439.19,457.65,455.61,113.496709309,441.62
5223,2020-08-05,435.59,441.57,440.25,109.670389749,437.51
5222,2020-08-04,433.55,443.16,438.66,109.274305888,436.53
5221,2020-08-03,431.57,446.5457,435.75,108.54939769,432.8
5220,2020-07-31,403.3,425.66,425.04,105.88143659,411.535
5219,2020-07-30,375.07,385.19,384.76,95.8473121176,376.75
5218,2020-07-29,374.85,380.92,380.16,94.7014091242,375.0
5217,2020-07-28,372.99,378.1986,373.01,92.9202772975,377.47
5216,2020-07-27,373.92,379.62,379.24,94.4722285255,374.84
5215,2020-07-24,356.58,371.88,370.46,92.2850484642,363.95
5214,2020-07-23,368.039,388.31,371.38,92.5142290629,387.9935
5213,2020-07-22,386.41,391.9,389.09,96.9259555875,386.77
5212,2020-07-21,386.97,397.0,388.0,96.6544263999,396.69
5211,2020-07-20,384.25,394.0,393.43,98.0070901508,385.67
5210,2020-07-17,383.36,388.59,385.31,95.9843222581,387.95
5209,2020-07-16,383.62,389.62,386.09,96.1786275483,386.25
5208,2020-07-15,385.96,396.99,390.9,97.3768435044,395.96
5207,2020-07-14,375.51,389.02,388.23,96.7117215496,379.36
5206,2020-07-13,381.03,399.82,381.91,95.1373504804,389.06
5205,2020-07-10,378.82,383.92,383.68,95.5782740235,381.34
5204,2020-07-09,378.69,385.27,383.01,95.4113707614,385.05
5203,2020-07-08,376.36,381.5,381.37,95.0028314333,376.72
5202,2020-07-07,372.23,378.62,372.69,92.8405623066,375.41
5201,2020-07-06,369.87,375.78,373.85,93.1295291485,370.0
5200,2020-07-02,363.64,370.47,364.11,90.7032041146,367.85
5199,2020-07-01,363.91,367.36,364.11,90.7032041146,365.12
5198,2020-06-30,360.0,365.98,364.8,90.8750895636,360.08
5197,2020-06-29,351.28,362.1736,361.78,90.1227793375,353.25
5196,2020-06-26,353.02,365.32,353.63,88.0925381644,364.41
5195,2020-06-25,357.57,365.0,364.84,90.8850539375,360.7
5194,2020-06-24,358.52,368.79,360.06,89.6943112617,365.0
5193,2020-06-23,362.27,372.38,366.53,91.3060487329,364.0
5192,2020-06-22,351.15,359.46,358.87,89.3978711395,351.34
5191,2020-06-19,345.15,356.56,349.72,87.11852062,354.64
5190,2020-06-18,349.22,353.45,351.73,87.6192304063,351.41
5189,2020-06-17,351.09,355.4,351.59,87.5843550978,355.15
5188,2020-06-16,344.72,353.2,352.08,87.7064186775,351.46
5187,2020-06-15,332.58,345.68,342.99,85.4420147188,333.25
5186,2020-06-12,334.22,347.8,338.8,84.3982465574,344.72
5185,2020-06-11,335.48,351.06,335.9,83.6758294529,349.31
5184,2020-06-10,346.09,354.77,352.84,87.8957417808,347.9
5183,2020-06-09,332.01,345.61,343.99,85.6911240652,332.14
5182,2020-06-08,327.32,333.6,333.46,83.0680026477,330.25
5181,2020-06-05,323.23,331.75,331.5,82.5797483288,323.35
