,Date,Low,High,Close,Adjusted Close,Open
5301,2020-11-24,456.6778,464.49,462.7,462.7,461.41
5300,2020-11-23,456.17,467.0,460.61,460.61,464.6334
5299,2020-11-20,462.36,470.0,462.92,462.92,465.16
5298,2020-11-19,459.26,471.04,466.41,466.41,460.0
5297,2020-11-18,459.26,467.9,459.47,459.47,466.71
5296,2020-11-17,460.0,469.9099,467.95,467.95,461.66
5295,2020-11-16,458.2501,469.53,460.95,460.95,460.43
5294,2020-11-13,459.0,470.6,469.34,469.34,467.45
5293,2020-11-12,461.15,474.933,462.58,462.58,473.49
5292,2020-11-11,457.5,470.12,467.75,467.75,458.49
5291,2020-11-10,446.0,468.01,452.0,452.0,466.72
5290,2020-11-09,470.76,499.41,471.14,471.14,494.6963
5289,2020-11-06,483.0,498.72,494.63,494.63,494.95
5288,2020-11-05,489.8,502.53,496.47,496.47,499.27
5287,2020-11-04,474.47,494.94,487.23,487.23,477.93
5286,2020-11-03,445.67,457.844,454.02,454.02,448.99
5285,2020-11-02,438.94,456.185,444.94,444.94,451.0
5284,2020-10-30,442.51,459.5,447.1,447.1,458.32
5283,2020-10-29,457.28,464.73,461.11,461.11,459.32
5282,2020-10-28,455.88,470.97,456.97,456.97,469.165
5281,2020-10-27,473.47,481.89,478.56,478.56,479.78
5280,2020-10-26,470.13,488.78,475.2,475.2,480.8835
5279,2020-10-23,479.51,488.51,488.5,488.5,486.41
5278,2020-10-22,479.4,496.86,483.6,483.6,496.72
5277,2020-10-21,490.57,499.81,495.96,495.96,492.05
5276,2020-10-20,491.91,500.165,494.58,494.58,495.25
5275,2020-10-19,493.195,507.75,495.2,495.2,507.75
5274,2020-10-16,500.7,510.34,502.82,502.82,504.0
5273,2020-10-15,491.85,502.5,501.15,501.15,499.26
5272,2020-10-14,501.6,516.95,506.31,506.31,514.34
5271,2020-10-13,511.9001,519.6,514.31,514.31,512.19
5270,2020-10-12,499.54,516.0,510.89,510.89,508.26
5269,2020-10-09,491.176,502.17,502.16,502.16,491.77
5268,2020-10-08,487.56,499.489,490.84,490.84,499.05
5267,2020-10-07,481.43,493.98,493.15,493.15,484.35
5266,2020-10-06,477.5,491.51,478.98,478.98,485.0
5265,2020-10-05,478.99,486.69,486.47,486.47,483.25
5264,2020-10-02,478.64,496.78,478.99,478.99,487.99
5263,2020-10-01,495.76,501.5,499.51,499.51,497.4252
5262,2020-09-30,486.22,497.24,490.43,490.43,488.13
5261,2020-09-29,484.17,493.45,489.33,489.33,489.94
5260,2020-09-28,481.18,489.39,488.51,488.51,487.97
5259,2020-09-25,466.01,481.58,479.78,479.78,469.23
5258,2020-09-24,460.27,471.425,467.67,467.67,466.93
5257,2020-09-23,468.2301,488.0,470.39,470.39,486.88
5256,2020-09-22,469.56,487.2,486.78,486.78,479.31
5255,2020-09-21,456.725,475.86,475.64,475.64,460.31
5254,2020-09-18,452.52,478.34,467.55,467.55,477.395
5253,2020-09-17,460.5,475.17,474.3,474.3,464.4422
5252,2020-09-16,475.5,505.5,476.0,476.0,505.5
5251,2020-09-15,491.49,499.6899,497.67,497.67,493.74
5250,2020-09-14,476.87,490.44,485.91,485.91,484.99
5249,2020-09-11,464.48,489.41,471.35,471.35,487.08
5248,2020-09-10,473.5001,501.85,476.26,476.26,491.15
5247,2020-09-09,462.48,483.49,479.46,479.46,473.905
5246,2020-09-08,461.18,481.48,462.13,462.13,471.8946
5245,2020-09-04,471.71,511.35,491.94,491.94,504.65
5244,2020-09-03,493.42,527.63,507.8,507.8,526.035
5243,2020-09-02,521.41,536.88,533.8,533.8,536.25
5242,2020-09-01,514.48,528.536,527.95,527.95,515.0
5241,2020-08-31,507.77,516.73,513.39,513.39,513.86
5240,2020-08-28,510.94,518.797,516.44,516.44,512.33
5239,2020-08-27,504.46,523.3238,510.32,510.32,519.01
5238,2020-08-26,492.23,533.6979,528.49,528.49,496.95
5237,2020-08-25,474.425,484.65,484.43,484.43,476.67
5236,2020-08-24,469.52,480.02,476.3,476.3,478.14
5235,2020-08-21,470.34,477.28,473.22,473.22,477.09
5234,2020-08-20,458.8868,479.8,478.48,478.48,460.99
5233,2020-08-19,457.5871,468.11,462.01,462.01,464.29
5232,2020-08-18,452.84,464.5,463.51,463.51,454.79
5231,2020-08-17,449.2,456.1,451.58,451.58,450.0
5230,2020-08-14,444.4262,452.814,447.6,447.6,451.39
5229,2020-08-13,446.07,455.9,450.02,450.02,446.07
5228,2020-08-12,437.37,447.9299,445.36,445.36,437.37
5227,2020-08-11,431.59,444.48,435.23,435.23,440.26
5226,2020-08-10,436.5,451.125,443.29,443.29,450.37
5225,2020-08-07,445.09,461.79,449.57,449.57,460.87
5224,2020-08-06,449.13,464.37,464.11,464.11,451.35
5223,2020-08-05,446.345,454.035,449.51,449.51,449.09
5222,2020-08-04,440.7,449.0799,446.92,446.92,448.26
5221,2020-08-03,442.28,450.74,447.97,447.97,449.84
5220,2020-07-31,434.8,444.4385,444.32,444.32,441.98
5219,2020-07-30,426.81,440.5,438.88,438.88,429.98
5218,2020-07-29,435.04,440.48,436.3,436.3,435.16
5217,2020-07-28,431.33,438.26,432.26,432.26,436.83
5216,2020-07-27,431.01,438.36,437.1,437.1,431.77
5215,2020-07-24,423.4406,435.0,430.31,430.31,425.0
5214,2020-07-23,430.3001,448.81,431.74,431.74,445.04
5213,2020-07-22,441.76,449.3712,445.05,445.05,447.55
5212,2020-07-21,441.75,456.99,444.28,444.28,456.07
5211,2020-07-20,433.0,456.89,455.27,455.27,434.06
5210,2020-07-17,423.7,433.5,432.42,432.42,428.12
5209,2020-07-16,418.51,430.59,426.29,426.29,428.43
5208,2020-07-15,428.73,439.63,433.01,433.01,434.91
5207,2020-07-14,416.29,437.21,433.78,433.78,435.74
5206,2020-07-13,440.64,470.61,442.47,442.47,469.77
5205,2020-07-10,455.48,467.21,466.2,466.2,460.83
5204,2020-07-09,451.88,463.8,460.84,460.84,460.44
5203,2020-07-08,452.0,458.24,457.68,457.68,453.76
5202,2020-07-07,448.72,459.44,449.36,449.36,452.59
5201,2020-07-06,444.69,455.53,452.59,452.59,448.0
5200,2020-07-02,441.36,448.16,442.95,442.95,445.0
5199,2020-07-01,433.62,442.05,439.81,439.81,434.8
5198,2020-06-30,423.86,436.91,435.31,435.31,426.68
5197,2020-06-29,416.032,428.48,424.2,424.2,427.11
5196,2020-06-26,424.7129,438.18,426.92,426.92,436.0
5195,2020-06-25,427.5801,437.99,436.95,436.95,430.01
5194,2020-06-24,427.47,442.67,431.68,431.68,440.0
5193,2020-06-23,436.01,446.15,440.55,440.55,440.07
5192,2020-06-22,428.54,438.95,438.64,438.64,428.96
5191,2020-06-19,419.65,429.27,428.01,428.01,423.76
5190,2020-06-18,413.0,420.84,420.46,420.46,413.5
5189,2020-06-17,411.36,417.46,413.49,413.49,414.0
5188,2020-06-16,405.475,414.68,411.67,411.67,407.83
5187,2020-06-15,397.0,406.11,401.34,401.34,398.8
5186,2020-06-12,395.41,411.72,406.54,406.54,409.3
5185,2020-06-11,387.37,404.2,387.67,387.67,400.0
5184,2020-06-10,399.49,409.98,406.82,406.82,399.59
5183,2020-06-09,394.15,402.31,397.16,397.16,397.03
5182,2020-06-08,385.84,398.1,397.78,397.78,391.0
5181,2020-06-05,382.0,396.17,392.9,392.9,384.64
5180,2020-06-04,382.28,395.7201,385.8,385.8,389.5
5179,2020-06-03,387.46,391.14,389.92,389.92,390.82
5178,2020-06-02,382.03,390.91,390.44,390.44,389.92
5177,2020-06-01,382.895,389.99,389.68,389.68,387.08
5176,2020-05-29,377.075,389.05,386.6,386.6,382.62
5175,2020-05-28,372.5,386.9,379.83,379.83,372.5
5174,2020-05-27,361.44,375.7,375.17,375.17,373.24
5173,2020-05-26,374.8103,391.27,376.63,376.63,391.0
5172,2020-05-22,380.95,386.52,385.26,385.26,381.39
5171,2020-05-21,380.6,385.12,382.17,382.17,382.0
5170,2020-05-20,377.06,384.4,383.63,383.63,377.21
5169,2020-05-19,368.89,376.0,372.2,372.2,369.88
5168,2020-05-18,367.21,375.49,367.97,367.97,371.59
5167,2020-05-15,351.53,365.48,365.3,365.3,351.57
5166,2020-05-14,348.01,357.0,355.39,355.39,354.0
5165,2020-05-13,352.71,367.43,358.56,358.56,366.45
5164,2020-05-12,364.55,372.72,365.1,365.1,371.46
5163,2020-05-11,364.5,373.63,371.42,371.42,365.84
5162,2020-05-08,365.41,371.0999,367.51,367.51,370.0
5161,2020-05-07,365.501,369.5,366.78,366.78,368.82
5160,2020-05-06,357.1301,366.79,362.52,362.52,357.92
5159,2020-05-05,352.39,359.7,356.13,356.13,353.38
5158,2020-05-04,340.0,350.596,349.11,349.11,340.74
5157,2020-05-01,340.26,350.3099,343.84,343.84,347.24
5156,2020-04-30,346.55,356.23,353.64,353.64,348.01
5155,2020-04-29,335.44,351.25,349.17,349.17,339.53
5154,2020-04-28,332.57,353.45,333.45,333.45,353.09
