,Date,Low,High,Close,Adjusted Close,Open
56,2021-03-03,91.11,101.46,93.32,93.32,99.41
55,2021-03-02,97.5001,109.54,98.5,98.5,106.9
54,2021-03-01,115.0,121.88,121.05,121.05,116.19
53,2021-02-26,109.5,117.9399,112.46,112.46,116.1
52,2021-02-25,112.73,127.3099,114.31,114.31,123.96
51,2021-02-24,118.34,125.32,122.53,122.53,122.01
50,2021-02-23,110.19,123.0,121.12,121.12,121.25
49,2021-02-22,125.73,134.0,126.22,126.22,132.99
48,2021-02-19,133.155,138.79,134.54,134.54,134.77
47,2021-02-18,131.0,137.3948,133.56,133.56,136.7
46,2021-02-17,136.7,147.0,140.06,140.06,146.01
45,2021-02-16,145.45,157.5,147.17,147.17,155.4
44,2021-02-12,152.03,160.88,153.73,153.73,158.86
43,2021-02-11,154.6,167.7899,156.56,156.56,162.86
42,2021-02-10,156.32,176.9399,161.45,161.45,170.2
41,2021-02-09,151.99,172.99,168.92,168.92,151.99
40,2021-02-08,145.8,151.9,150.8,150.8,150.0
39,2021-02-05,144.41,155.8999,146.6,146.6,155.07
38,2021-02-04,147.5,158.27,154.37,154.37,147.5
37,2021-02-03,143.63,149.992,147.05,147.05,149.93
36,2021-02-02,145.62,155.2999,146.88,146.88,149.0
35,2021-02-01,133.58,142.3,137.75,137.75,140.69
34,2021-01-29,136.7101,147.64,139.6,139.6,146.0
33,2021-01-28,139.49,154.03,148.0,148.0,149.91
32,2021-01-27,134.0323,160.43,149.09,149.09,139.08
31,2021-01-26,138.11,148.39,141.43,141.43,144.61
30,2021-01-25,127.36,151.0,147.83,147.83,127.6
29,2021-01-22,122.82,127.99,126.57,126.57,127.0
28,2021-01-21,128.15,134.4499,130.01,130.01,133.5
27,2021-01-20,123.48,131.85,131.38,131.38,129.12
26,2021-01-19,126.4,137.7899,126.83,126.83,136.0
25,2021-01-15,132.6,142.49,134.15,134.15,142.0
24,2021-01-14,137.2,151.8396,138.5,138.5,145.82
23,2021-01-13,134.0,145.0,143.14,143.14,134.0
22,2021-01-12,127.54,138.4405,133.98,133.98,138.3
21,2021-01-11,133.01,142.2574,135.62,135.62,136.0
20,2021-01-08,135.6,147.5,143.63,143.63,135.92
19,2021-01-07,115.9,137.0,133.58,133.58,117.98
18,2021-01-06,112.05,119.2,113.4,113.4,119.04
17,2021-01-05,117.5,128.1265,122.17,122.17,119.5
16,2021-01-04,119.06,131.205,120.01,120.01,131.14
15,2020-12-31,136.512,144.1,138.75,138.75,144.1
14,2020-12-30,141.0,151.5,146.84,146.84,141.65
13,2020-12-29,135.0,146.39,139.78,139.78,146.31
12,2020-12-28,143.13,168.7975,145.88,145.88,168.68
11,2020-12-24,156.87,172.5,161.0,161.0,168.0
10,2020-12-23,151.5801,183.9,161.06,161.06,166.9
9,2020-12-22,163.3,179.0,177.47,177.47,170.53
8,2020-12-21,141.0,168.77,160.89,160.89,142.0135
7,2020-12-18,115.09,145.0,137.59,137.59,116.67
6,2020-12-17,115.45,121.0,117.24,117.24,118.44
5,2020-12-16,104.0,116.71,113.69,113.69,105.0
4,2020-12-15,98.1,109.89,102.0,102.0,104.57
3,2020-12-14,100.66,123.83,102.36,102.36,122.16
2,2020-12-11,116.0,133.0,119.58,119.58,123.82
1,2020-12-10,96.0,131.7455,130.0,130.0,99.48
0,2020-12-09,90.03,115.0,92.49,92.49,100.0
