,Date,Low,High,Close,Adjusted Close,Open
1558,2020-11-25,274.05,279.33,277.72,277.72,275.7
1557,2020-11-24,272.8,280.61,279.96,279.96,276.235
1556,2020-11-23,266.4107,275.73,270.11,270.11,274.75
1555,2020-11-20,261.9,272.3699,270.74,270.74,263.97
1554,2020-11-19,253.5601,261.4,259.89,259.89,255.0
1553,2020-11-18,252.55,258.31,255.83,255.83,257.76
1552,2020-11-17,256.54,260.28,256.8,256.8,260.28
1551,2020-11-16,257.03,262.57,258.31,258.31,260.42
1550,2020-11-13,257.17,265.44,260.84,260.84,264.72
1549,2020-11-12,263.04,271.2,264.31,264.31,271.04
1548,2020-11-11,261.205,271.92,265.65,265.65,261.92
1547,2020-11-10,264.33,280.0,266.54,266.54,279.97
1546,2020-11-09,290.5,304.0,290.53,290.53,303.77
1545,2020-11-06,289.786,300.89,299.95,299.95,291.49
1544,2020-11-05,279.6,291.25,287.75,287.75,289.09
1543,2020-11-04,285.3,299.17,295.71,295.71,287.79
1542,2020-11-03,280.78,294.28,285.57,285.57,286.2
1541,2020-11-02,305.39,311.44,310.84,310.84,310.95
1540,2020-10-30,300.19,310.83,304.69,304.69,308.55
1539,2020-10-29,308.91,315.58,312.56,312.56,309.44
1538,2020-10-28,306.0,313.5,307.94,307.94,313.5
1537,2020-10-27,305.61,319.32,317.14,317.14,307.75
1536,2020-10-26,303.2,315.4599,306.87,306.87,309.92
1535,2020-10-23,304.06,310.33,309.92,309.92,307.27
1534,2020-10-22,304.2101,311.85,306.28,306.28,311.46
1533,2020-10-21,307.7,314.0,307.97,307.97,311.75
1532,2020-10-20,307.06,311.8,309.81,309.81,307.6
1531,2020-10-19,303.41,313.81,305.29,305.29,309.89
1530,2020-10-16,302.95,310.0,307.31,307.31,303.99
1529,2020-10-15,292.61,299.8628,299.46,299.46,293.8
1528,2020-10-14,300.8,309.96,301.04,301.04,309.0
1527,2020-10-13,303.03,310.01,308.78,308.78,306.36
1526,2020-10-12,301.2848,309.64,306.34,306.34,303.95
1525,2020-10-09,297.74,302.61,299.74,299.74,298.55
1524,2020-10-08,295.441,302.3,300.54,300.54,298.11
1523,2020-10-07,292.87,299.51,296.5,296.5,297.99
1522,2020-10-06,286.91,296.84,292.39,292.39,287.41
1521,2020-10-05,284.88,290.0,288.27,288.27,289.06
1520,2020-10-02,286.51,291.9794,288.17,288.17,286.62
1519,2020-10-01,288.25,295.59,290.05,290.05,295.26
1518,2020-09-30,283.71,295.0,293.98,293.98,284.01
1517,2020-09-29,274.9,279.3,276.93,276.93,275.43
1516,2020-09-28,274.1989,278.84,276.01,276.01,275.53
1515,2020-09-25,264.56,271.81,271.09,271.09,267.57
1514,2020-09-24,267.3338,271.25,269.73,269.73,267.93
1513,2020-09-23,271.5,277.83,272.95,272.95,275.4
1512,2020-09-22,270.05,276.32,275.29,275.29,276.02
1511,2020-09-21,266.4,274.22,273.82,273.82,269.1
1510,2020-09-18,270.55,277.27,272.41,272.41,275.98
1509,2020-09-17,272.3213,275.9,275.72,275.72,273.11
1508,2020-09-16,278.0,283.605,278.14,278.14,281.03
1507,2020-09-15,274.8,279.1,277.96,277.96,278.0
1506,2020-09-14,271.76,276.29,274.1,274.1,275.36
1505,2020-09-11,268.12,274.53,271.61,271.61,272.63
1504,2020-09-10,267.4,277.1,267.55,267.55,274.9
1503,2020-09-09,270.88,275.64,273.15,273.15,274.45
1502,2020-09-08,266.59,273.97,270.02,270.02,270.23
1501,2020-09-04,267.39,283.78,281.39,281.39,279.6
1500,2020-09-03,278.16,290.7334,282.5,282.5,289.0
1499,2020-09-02,289.79,299.0,296.07,296.07,299.0
1498,2020-09-01,288.87,298.0,298.0,298.0,289.2
1497,2020-08-31,283.61,289.19,287.03,287.03,288.62
1496,2020-08-28,283.57,289.5,289.0,289.0,285.09
1495,2020-08-27,282.1,290.25,284.17,284.17,290.17
1494,2020-08-26,284.1,292.48,291.96,291.96,289.26
1493,2020-08-25,276.04,289.12,286.0,286.0,278.06
1492,2020-08-24,271.62,276.97,276.02,276.02,273.24
1491,2020-08-21,258.31,267.43,265.8,265.8,259.03
1490,2020-08-20,254.18,258.88,257.97,257.97,256.89
1489,2020-08-19,257.38,261.29,260.59,260.59,260.89
1488,2020-08-18,256.06,261.42,259.2,259.2,258.71
1487,2020-08-17,250.085,257.375,256.96,256.96,253.0
1486,2020-08-14,251.64,255.77,253.97,253.97,255.49
1485,2020-08-13,252.8799,256.97,253.72,253.72,256.39
1484,2020-08-12,248.68,256.08,255.19,255.19,249.25
1483,2020-08-11,247.83,252.88,248.42,248.42,251.29
1482,2020-08-10,246.1,251.7499,248.13,248.13,249.34
1481,2020-08-07,247.57,257.76,252.1,252.1,257.41
1480,2020-08-06,259.2,265.7,265.68,265.68,263.42
1479,2020-08-05,261.755,265.976,264.91,264.91,263.74
1478,2020-08-04,258.82,262.56,262.2,262.2,260.08
1477,2020-08-03,254.0,260.65,257.94,257.94,254.02
1476,2020-07-31,248.1,254.4,251.02,251.02,254.2
1475,2020-07-30,249.62,253.86,252.74,252.74,251.7
1474,2020-07-29,250.1,254.3,252.45,252.45,250.34
1473,2020-07-28,248.53,251.65,249.05,249.05,251.15
1472,2020-07-27,245.81,252.87,250.86,250.86,247.11
1471,2020-07-24,241.89,249.48,249.0,249.0,244.96
1470,2020-07-23,248.69,257.66,251.88,251.88,252.1
1469,2020-07-22,249.6,256.27,251.7,251.7,255.76
1468,2020-07-21,256.52,261.92,257.9,257.9,261.21
1467,2020-07-20,252.43,257.67,254.81,254.81,256.45
1466,2020-07-17,244.48,247.93,247.14,247.14,246.55
1465,2020-07-16,240.74,245.05,242.5,242.5,241.77
1464,2020-07-15,246.54,252.5,249.21,249.21,251.48
1463,2020-07-14,241.23,249.75,248.58,248.58,246.57
1462,2020-07-13,250.68,265.66,251.67,251.67,261.45
1461,2020-07-10,255.71,261.9,261.01,261.01,260.21
1460,2020-07-09,255.91,268.0,261.58,261.58,265.55
1459,2020-07-08,244.02,258.49,257.68,257.68,244.86
1458,2020-07-07,236.13,241.3,236.51,236.51,241.01
1457,2020-07-06,232.82,240.48,240.0,240.0,233.31
1456,2020-07-02,220.06,225.02,223.6,223.6,221.85
1455,2020-07-01,214.74,216.55,215.95,215.95,215.81
1454,2020-06-30,212.89,216.43,215.7,215.7,215.74
1453,2020-06-29,211.82,216.5,215.02,215.02,215.03
1452,2020-06-26,213.5,222.26,215.71,215.71,222.21
1451,2020-06-25,220.87,224.69,222.16,222.16,224.6
1450,2020-06-24,224.2524,231.03,226.22,226.22,228.3
1449,2020-06-23,224.53,230.225,228.75,228.75,225.12
1448,2020-06-22,219.445,222.08,221.41,221.41,220.92
1447,2020-06-19,220.09,226.5,220.64,220.64,226.38
1446,2020-06-18,222.92,226.03,223.54,223.54,223.74
1445,2020-06-17,222.5,225.0,224.25,224.25,224.4
1444,2020-06-16,220.1001,224.84,222.62,222.62,221.0
1443,2020-06-15,212.75,217.72,217.03,217.03,214.11
1442,2020-06-12,213.88,219.5,217.64,217.64,218.5
1441,2020-06-11,213.56,219.95,215.24,215.24,218.0
1440,2020-06-10,220.6,225.0,223.68,223.68,222.0
1439,2020-06-09,216.2,220.72,220.72,220.72,216.31
1438,2020-06-08,215.33,220.4,219.0,219.0,219.6
1437,2020-06-05,218.7,220.59,219.55,219.55,220.0
1436,2020-06-04,216.32,220.0,218.04,218.04,217.28
1435,2020-06-03,213.75,218.97,218.61,218.61,215.6
1434,2020-06-02,207.17,214.57,214.33,214.33,207.21
1433,2020-06-01,203.94,207.2,206.57,206.57,205.9
1432,2020-05-29,196.7,207.88,207.39,207.39,200.0
1431,2020-05-28,197.62,202.37,199.49,199.49,199.0
1430,2020-05-27,196.75,202.99,201.18,201.18,202.99
1429,2020-05-26,201.0,206.8,201.72,201.72,205.94
1428,2020-05-22,198.99,204.88,199.7,199.7,203.23
1427,2020-05-21,209.53,214.58,212.16,212.16,211.29
1426,2020-05-20,210.58,221.1574,216.79,216.79,220.0
1425,2020-05-19,215.19,220.59,217.2,217.2,216.73
1424,2020-05-18,210.37,215.47,215.28,215.28,212.5
1423,2020-05-15,200.1,204.4899,203.68,203.68,200.7
1422,2020-05-14,194.03,201.77,201.3,201.3,195.5
1421,2020-05-13,197.98,204.68,199.46,199.46,203.62
1420,2020-05-12,200.02,208.05,200.31,200.31,206.95
1419,2020-05-11,202.38,206.64,205.4,205.4,202.78
1418,2020-05-08,198.68,203.02,201.19,201.19,199.8
1417,2020-05-07,194.78,198.09,196.49,196.49,198.0
1416,2020-05-06,194.93,198.91,195.17,195.17,197.67
1415,2020-05-05,194.2,198.27,195.02,195.02,196.38
1414,2020-05-04,189.53,195.0,191.15,191.15,194.76
1413,2020-05-01,192.86,197.38,194.48,194.48,195.75
1412,2020-04-30,199.29,206.7,202.67,202.67,206.25
1411,2020-04-29,202.51,207.08,206.7,206.7,202.93
1410,2020-04-28,199.407,205.19,201.15,201.15,204.81
1409,2020-04-27,202.03,207.78,203.69,203.69,207.55
1408,2020-04-24,202.82,206.5,204.36,204.36,205.89
1407,2020-04-23,203.46,210.56,205.24,205.24,210.24
1406,2020-04-22,209.21,212.0,209.96,209.96,212.0
1405,2020-04-21,205.03,212.13,207.34,207.34,209.9
1404,2020-04-20,209.36,216.1,212.13,212.13,209.87
1403,2020-04-17,208.8514,214.9797,209.5,209.5,214.9797
1402,2020-04-16,209.12,213.25,212.66,212.66,210.53
1401,2020-04-15,201.31,209.15,208.17,208.17,204.77
1400,2020-04-14,204.25,207.97,204.78,204.78,204.95
1399,2020-04-13,195.53,200.325,199.44,199.44,197.4
1398,2020-04-09,193.4,200.35,196.37,196.37,198.65
1397,2020-04-08,193.8835,198.86,195.98,195.98,198.34
1396,2020-04-07,197.05,201.45,198.0,198.0,200.05
1395,2020-04-06,192.7,196.88,196.45,196.45,194.74
1394,2020-04-03,185.41,190.55,187.11,187.11,190.12
1393,2020-04-02,185.6922,191.3,188.9,188.9,186.08
1392,2020-04-01,185.04,192.87,187.56,187.56,189.5
1391,2020-03-31,190.6,196.79,194.48,194.48,192.0
1390,2020-03-30,187.01,191.48,191.27,191.27,187.48
1389,2020-03-27,188.0,192.74,188.59,188.59,189.97
1388,2020-03-26,187.6,196.32,195.32,195.32,188.64
1387,2020-03-25,184.5151,195.19,188.56,188.56,185.82
1386,2020-03-24,181.18,188.8,185.75,185.75,183.09
1385,2020-03-23,169.95,178.5,176.34,176.34,175.27
1384,2020-03-20,180.0,188.3,181.3,181.3,187.74
1383,2020-03-19,177.39,187.25,180.88,180.88,179.26
1382,2020-03-18,170.0,182.41,180.0,180.0,176.0
1381,2020-03-17,179.69,189.39,184.81,184.81,181.26
1380,2020-03-16,174.5,188.0,178.85,178.85,176.15
1379,2020-03-13,187.81,195.99,194.0,194.0,194.9
1378,2020-03-12,183.93,190.4865,185.1,185.1,186.5
1377,2020-03-11,196.11,203.1,198.91,198.91,201.65
1376,2020-03-10,200.8,207.45,206.39,206.39,205.53
1375,2020-03-09,193.93,199.89,197.66,197.66,195.62
1374,2020-03-06,201.1,207.0,204.64,204.64,206.7
1373,2020-03-05,209.14,215.15,211.46,211.46,210.0
1372,2020-03-04,208.85,212.7,211.96,211.96,209.49
1371,2020-03-03,202.2398,211.39,207.41,207.41,211.08
1370,2020-03-02,203.7563,211.11,210.98,210.98,208.59
1369,2020-02-28,198.561,208.92,208.0,208.0,198.98
1368,2020-02-27,201.86,209.97,205.03,205.03,205.01
1367,2020-02-26,206.79,213.08,208.74,208.74,206.8
1366,2020-02-25,204.1,209.95,205.61,205.61,208.51
1365,2020-02-24,202.51,207.28,206.16,206.16,203.55
1364,2020-02-21,211.56,217.6,212.59,212.59,217.54
1363,2020-02-20,214.22,222.5,218.04,218.04,222.5
1362,2020-02-19,220.75,223.56,222.14,222.14,221.52
