,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,28.4801,29.04,29.03,29.03,28.71
5301,2020-11-24,27.92,28.99,28.98,28.98,27.93
5300,2020-11-23,27.06,27.52,27.39,27.39,27.11
5299,2020-11-20,26.63,26.9459,26.81,26.81,26.74
5298,2020-11-19,26.65,27.01,26.98,26.98,26.93
5297,2020-11-18,26.96,27.93,26.98,26.98,27.63
5296,2020-11-17,27.01,27.6,27.55,27.55,27.25
5295,2020-11-16,27.18,28.0,27.58,27.58,27.86
5294,2020-11-13,26.755,27.21,27.0,27.0,26.88
5293,2020-11-12,26.31,26.9,26.69,26.69,26.84
5292,2020-11-11,27.12,27.77,27.34,27.34,27.75
5291,2020-11-10,27.18,27.76,27.66,27.66,27.485
5290,2020-11-09,26.3,28.27,27.76,27.76,26.6003
5289,2020-11-06,24.23,24.96,24.31,24.31,24.93
5288,2020-11-05,23.855,24.7879,24.61,24.61,23.9
5287,2020-11-04,23.265,24.14,23.68,23.68,23.89
5286,2020-11-03,24.51,24.94,24.69,24.69,24.58
5285,2020-11-02,23.47,24.26,24.08,24.08,23.89
5284,2020-10-30,23.24,23.84,23.7,23.7,23.49
5283,2020-10-29,23.12,23.75,23.54,23.54,23.36
5282,2020-10-28,23.12,23.66,23.47,23.47,23.41
5281,2020-10-27,23.81,24.39,23.85,23.85,24.29
5280,2020-10-26,24.15,24.58,24.54,24.54,24.47
5279,2020-10-23,24.71,25.26,24.9,24.9,25.24
5278,2020-10-22,24.0,24.91,24.87,24.87,24.05
5277,2020-10-21,24.01,24.34,24.05,24.05,24.22
5276,2020-10-20,23.88,24.48,24.14,24.14,23.89
5275,2020-10-19,23.69,24.32,23.72,23.72,24.3
5274,2020-10-16,23.94,24.35,24.24,24.24,24.2
5273,2020-10-15,23.48,24.2,24.15,24.15,23.59
5272,2020-10-14,23.59,24.59,23.62,23.62,24.35
5271,2020-10-13,24.84,25.68,24.95,24.95,25.64
5270,2020-10-12,25.24,25.83,25.68,25.68,25.3
5269,2020-10-09,25.04,25.49,25.36,25.36,25.34
5268,2020-10-08,24.81,25.3,25.24,25.24,24.95
5267,2020-10-07,24.6,25.11,24.88,24.88,24.63
5266,2020-10-06,24.28,25.19,24.37,24.37,24.92
5265,2020-10-05,24.38,24.71,24.62,24.62,24.52
5264,2020-10-02,23.57,24.431,24.21,24.21,23.64
5263,2020-10-01,23.863,24.41,24.1,24.1,24.27
5262,2020-09-30,23.77,24.32,24.09,24.09,23.78
5261,2020-09-29,23.525,23.99,23.77,23.77,23.98
5260,2020-09-28,23.79,24.31,24.09,24.09,23.88
5259,2020-09-25,23.13,23.55,23.49,23.49,23.28
5258,2020-09-24,22.95,23.82,23.34,23.34,23.38
5257,2020-09-23,23.26,24.26,23.26,23.26,24.1
5256,2020-09-22,23.81,24.595,23.94,23.94,24.27
5255,2020-09-21,24.03,24.78,24.47,24.47,24.57
5254,2020-09-18,25.1,25.58,25.21,25.21,25.15
5253,2020-09-17,25.1,25.4816,25.35,25.35,25.13
5252,2020-09-16,25.05,25.91,25.6,25.6,25.28
5251,2020-09-15,25.19,25.825,25.28,25.28,25.77
5250,2020-09-14,25.54,25.99,25.75,25.75,25.67
5249,2020-09-11,25.09,25.58,25.5,25.5,25.22
5248,2020-09-10,25.08,25.89,25.14,25.14,25.7
5247,2020-09-09,25.23,25.72,25.51,25.51,25.64
5246,2020-09-08,25.39,26.32,25.48,25.48,26.14
5245,2020-09-04,25.8,26.76,26.54,26.54,26.26
5244,2020-09-03,25.46,26.62,25.66,25.66,26.2
5243,2020-09-02,25.485,26.1579,26.02,25.83874613,25.53
5242,2020-09-01,25.4,25.9,25.71,25.5309055728,25.58
5241,2020-08-31,25.69,26.14,25.74,25.5606965944,26.09
5240,2020-08-28,25.99,26.47,26.3,26.1167956656,26.4
5239,2020-08-27,25.44,26.22,26.05,25.8685371517,25.49
5238,2020-08-26,25.54,25.94,25.56,25.3819504644,25.94
5237,2020-08-25,25.73,26.19,26.0,25.8188854489,26.04
5236,2020-08-24,25.04,25.7,25.69,25.5110448916,25.22
5235,2020-08-21,24.9,25.43,24.98,24.8059907121,24.98
5234,2020-08-20,25.02,25.325,25.1,24.9251547988,25.16
5233,2020-08-19,25.39,26.08,25.5,25.3223684211,25.66
5232,2020-08-18,25.46,25.985,25.53,25.3521594427,25.87
5231,2020-08-17,25.84,26.41,25.9,25.7195820433,26.31
5230,2020-08-14,25.92,26.6601,26.47,26.2856114551,26.06
5229,2020-08-13,26.14,26.67,26.35,26.1664473684,26.49
5228,2020-08-12,26.41,27.57,26.73,26.5438003096,27.48
5227,2020-08-11,26.78,27.75,26.92,26.7324767802,27.28
5226,2020-08-10,26.21,26.81,26.56,26.3749845201,26.31
5225,2020-08-07,25.26,26.1911,26.11,25.928119195,25.34
5224,2020-08-06,25.28,25.665,25.47,25.2925773994,25.45
5223,2020-08-05,25.25,25.59,25.39,25.2131346749,25.32
5222,2020-08-04,24.86,25.06,25.01,24.8357817337,24.96
5221,2020-08-03,24.69,25.31,24.99,24.8159210526,25.03
5220,2020-07-31,24.46,24.95,24.88,24.7066873065,24.93
5219,2020-07-30,24.345,24.95,24.84,24.6669659443,24.72
5218,2020-07-29,24.19,25.29,25.27,25.0939705882,24.36
5217,2020-07-28,24.075,24.56,24.36,24.1903095975,24.13
5216,2020-07-27,23.875,24.27,24.14,23.9718421053,24.22
5215,2020-07-24,24.27,24.83,24.35,24.180379257,24.56
5214,2020-07-23,24.11,24.64,24.54,24.3690557276,24.52
5213,2020-07-22,23.965,24.33,24.31,24.1406578947,24.24
5212,2020-07-21,23.69,24.48,24.42,24.2498916409,23.71
5211,2020-07-20,23.11,23.7,23.58,23.4157430341,23.19
5210,2020-07-17,23.2,23.98,23.22,23.058250774,23.88
5209,2020-07-16,23.54,24.22,23.93,23.7633049536,23.75
5208,2020-07-15,24.28,24.87,24.6,24.4286377709,24.76
5207,2020-07-14,23.45,24.15,24.14,23.9718421053,23.89
5206,2020-07-13,23.86,24.51,24.19,24.021493808,24.37
5205,2020-07-10,22.68,24.05,24.02,23.8526780186,22.71
5204,2020-07-09,22.39,23.16,22.77,22.6113854489,22.94
5203,2020-07-08,22.7,23.19,23.1,22.9390866873,23.03
5202,2020-07-07,22.9,23.39,23.01,22.8497136223,23.38
5201,2020-07-06,23.46,24.08,23.66,23.4951857585,23.82
5200,2020-07-02,23.22,23.99,23.29,23.1277631579,23.84
5199,2020-07-01,23.23,24.07,23.26,23.0979721362,24.03
5198,2020-06-30,23.1,23.91,23.75,23.5845588235,23.2
5197,2020-06-29,23.1,23.835,23.39,23.2270665635,23.41
5196,2020-06-26,23.02,24.11,23.15,22.9887383901,24.09
5195,2020-06-25,23.55,24.77,24.72,24.5478018576,23.7
5194,2020-06-24,23.68,24.54,23.81,23.6441408669,24.54
5193,2020-06-23,24.76,25.41,24.79,24.6173142415,25.01
5192,2020-06-22,24.61,25.03,24.62,24.448498452,24.89
5191,2020-06-19,24.49,25.49,25.25,25.0741099071,25.44
5190,2020-06-18,24.58,25.49,25.04,24.8655727554,24.7
5189,2020-06-17,24.92,25.9,25.0,24.8258513932,25.9
5188,2020-06-16,24.86,26.24,25.8,25.6202786378,26.18
5187,2020-06-15,23.69,25.17,25.15,24.9748065015,23.76
5186,2020-06-12,24.04,25.05,24.78,24.6073839009,25.03
5185,2020-06-11,23.68,25.69,23.93,23.7633049536,24.98
