,Date,Low,High,Close,Adjusted Close,Open
5301,2020-11-24,49.92,52.49,52.34,52.34,50.0
5300,2020-11-23,48.79,49.98,49.81,49.81,49.09
5299,2020-11-20,49.1,49.68,49.17,49.17,49.28
5298,2020-11-19,49.0,49.735,49.48,49.48,49.2109
5297,2020-11-18,49.04,50.38,49.14,49.14,49.6
5296,2020-11-17,48.98,49.99,49.78,49.78,49.19
5295,2020-11-16,49.25,49.75,49.54,49.54,49.4
5294,2020-11-13,47.73,49.245,49.0,49.0,47.81
5293,2020-11-12,47.25,48.09,47.98,47.98,47.6275
5292,2020-11-11,47.12,47.97,47.67,47.67,47.78
5291,2020-11-10,45.95,47.96,47.77,47.77,46.1655
5290,2020-11-09,46.72,48.23,47.18,47.18,47.6
5289,2020-11-06,43.95,44.7,44.53,44.53,44.57
5288,2020-11-05,44.21,44.81,44.35,44.35,44.58
5287,2020-11-04,43.4,44.61,43.7,43.7,44.27
5286,2020-11-03,41.7521,42.98,42.62,42.62,41.95
5285,2020-11-02,40.965,42.93,41.4,41.4,42.75
5284,2020-10-30,41.7464,43.05,42.24,42.24,42.47
5283,2020-10-29,41.89,43.69,43.06,43.06,42.08
5282,2020-10-28,41.91,43.08,41.98,41.98,42.91
5281,2020-10-27,43.36,43.84,43.44,43.44,43.6
5280,2020-10-26,43.55,44.82,43.77,43.77,44.71
5279,2020-10-23,44.6,45.55,45.06,45.06,45.4
5278,2020-10-22,44.36,45.235,45.11,45.11,44.5
5277,2020-10-21,43.97,44.9,44.52,44.52,44.0
5276,2020-10-20,44.13,44.66,44.27,44.27,44.63
5275,2020-10-19,44.2,45.76,44.33,44.33,45.56
5274,2020-10-16,44.9,45.885,45.56,45.56,45.225
5273,2020-10-15,44.525,45.15,45.11,45.11,45.03
5272,2020-10-14,44.99,46.005,45.28,45.28,45.8
5271,2020-10-13,45.38,46.31,45.89,45.89,46.13
5270,2020-10-12,44.922,46.26,45.99,45.99,45.3
5269,2020-10-09,44.68,45.63,44.85,44.85,45.3801
5268,2020-10-08,44.83,45.39,45.3,45.3,45.0895
5267,2020-10-07,44.26,45.105,44.96,44.96,45.03
5266,2020-10-06,44.37,45.52,44.51,44.51,45.28
5265,2020-10-05,45.02,45.93,45.81,45.5744993295,45.3
5264,2020-10-02,45.11,45.99,45.15,44.9178922664,45.8
5263,2020-10-01,46.17,46.77,46.44,46.2012606169,46.566
5262,2020-09-30,45.75,46.72,46.26,46.0221859633,46.54
5261,2020-09-29,46.17,46.87,46.2,45.9624944122,46.85
5260,2020-09-28,46.24,47.07,46.76,46.5196155565,46.89
5259,2020-09-25,45.22,46.33,46.15,45.9127514528,45.35
5258,2020-09-24,44.905,46.08,45.7,45.465064819,45.19
5257,2020-09-23,45.245,46.38,45.36,45.1268126956,46.2
5256,2020-09-22,44.84,46.475,46.19,45.9525458203,44.94
5255,2020-09-21,43.41,45.44,44.68,44.4503084488,44.92
5254,2020-09-18,44.29,45.85,45.26,45.0273267769,45.48
5253,2020-09-17,45.02,46.43,45.58,45.3456817166,45.94
5252,2020-09-16,46.7,47.5,46.81,46.5693585159,47.05
5251,2020-09-15,45.05,46.74,46.46,46.2211578006,45.16
5250,2020-09-14,44.71,45.49,45.27,45.0372753688,45.02
5249,2020-09-11,43.97,44.74,44.67,44.440359857,44.09
5248,2020-09-10,43.86,45.01,44.02,43.7937013858,44.65
5247,2020-09-09,43.71,44.99,44.6,44.3707197139,43.99
5246,2020-09-08,43.12,44.26,43.81,43.5847809566,43.81
5245,2020-09-04,43.9,44.97,44.43,44.2015936522,44.91
5244,2020-09-03,44.09,45.94,44.44,44.2115422441,45.61
5243,2020-09-02,45.01,45.93,45.17,44.9377894502,45.05
5242,2020-09-01,44.24,45.09,45.05,44.8184063478,44.435
5241,2020-08-31,44.25,45.13,44.81,44.579640143,44.26
5240,2020-08-28,43.93,44.57,44.56,44.3309253464,44.53
5239,2020-08-27,44.24,44.795,44.54,44.3110281627,44.56
5238,2020-08-26,42.91,44.36,44.2,43.9727760393,43.02
5237,2020-08-25,43.18,43.78,43.41,43.1868372821,43.765
5236,2020-08-24,42.85,43.82,43.8,43.5748323648,42.86
5235,2020-08-21,42.72,43.23,43.07,42.8485851587,43.04
5234,2020-08-20,42.9,43.435,43.27,43.047556996,43.23
5233,2020-08-19,43.16,43.759,43.32,43.0972999553,43.66
5232,2020-08-18,43.28,43.735,43.54,43.3161689763,43.71
5231,2020-08-17,43.3,43.95,43.53,43.3062203844,43.87
5230,2020-08-14,43.2,44.18,43.77,43.5449865892,43.62
