,Date,Low,High,Close,Adjusted Close,Open
4137,2020-11-25,245.05,266.095,246.82,246.82,263.73
4136,2020-11-24,257.82,262.31,260.84,260.84,260.0
4135,2020-11-23,254.61,261.74,257.64,257.64,261.23
4134,2020-11-20,257.82,265.02,258.04,258.04,263.59
4133,2020-11-19,255.66,267.09,264.65,264.65,256.84
4132,2020-11-18,255.85,262.66,257.16,257.16,256.4
4131,2020-11-17,250.463,258.27,256.17,256.17,253.74
4130,2020-11-16,248.18,253.49,249.89,249.89,249.52
4129,2020-11-13,247.56,253.79,249.51,249.51,252.84
4128,2020-11-12,246.3607,254.97,249.42,249.42,247.4
4127,2020-11-11,251.21,256.74,254.18,254.18,253.51
4126,2020-11-10,242.9,259.0,247.66,247.66,258.06
4125,2020-11-09,257.25,270.92,259.28,259.28,260.95
4124,2020-11-06,254.49,261.75,260.15,260.15,260.0
4123,2020-11-05,255.44,260.9186,260.22,260.22,258.11
4122,2020-11-04,243.24,252.875,250.74,250.74,246.02
4121,2020-11-03,233.28,240.94,237.13,237.13,235.1
4120,2020-11-02,228.99,238.5,232.45,232.45,235.12
4119,2020-10-30,228.66,237.75,232.27,232.27,235.82
4118,2020-10-29,237.13,242.52,237.14,237.14,242.52
4117,2020-10-28,238.01,245.45,238.43,238.43,244.6
4116,2020-10-27,245.765,251.75,250.3,250.3,248.0
4115,2020-10-26,237.38,248.11,241.98,241.98,245.3
4114,2020-10-23,246.81,250.57,250.52,250.52,250.1
4113,2020-10-22,246.13,255.22,249.67,249.67,253.89
4112,2020-10-21,251.85,258.31,254.23,254.23,256.45
4111,2020-10-20,254.05,259.18,255.97,255.97,256.12
4110,2020-10-19,254.5,261.4799,255.01,255.01,259.76
4109,2020-10-16,258.49,262.52,258.55,258.55,259.24
4108,2020-10-15,254.02,260.52,257.72,257.72,258.11
4107,2020-10-14,258.7459,270.16,261.83,261.83,270.0
4106,2020-10-13,264.23,268.7894,266.83,266.83,266.42
4105,2020-10-12,265.2927,270.0,267.07,267.07,270.0
4104,2020-10-09,261.5,266.05,265.98,265.98,262.9
4103,2020-10-08,257.08,264.62,260.22,260.22,264.2
4102,2020-10-07,252.2,260.74,259.98,259.98,252.2
4101,2020-10-06,249.0,257.29,250.14,250.14,252.73
4100,2020-10-05,249.0,253.28,251.53,251.53,250.0
4099,2020-10-02,247.21,254.95,247.85,247.85,249.75
4098,2020-10-01,250.81,254.67,253.45,253.45,253.18
4097,2020-09-30,246.221,255.4068,251.32,251.32,246.65
4096,2020-09-29,244.5,247.8965,247.45,247.45,245.26
4095,2020-09-28,242.21,248.58,246.67,246.67,247.56
4094,2020-09-25,235.05,243.945,242.74,242.74,237.39
4093,2020-09-24,233.63,239.9574,237.55,237.55,235.84
4092,2020-09-23,235.35,248.77,235.99,235.99,248.485
4091,2020-09-22,241.26,248.57,247.78,247.78,246.74
4090,2020-09-21,236.8,245.13,245.05,245.05,238.97
4089,2020-09-18,238.7101,248.11,242.78,242.78,245.13
4088,2020-09-17,241.31,248.815,244.53,244.53,246.12
4087,2020-09-16,250.23,255.43,250.6,250.6,254.67
4086,2020-09-15,248.5101,251.94,251.68,251.68,251.37
4085,2020-09-14,244.04,248.87,246.64,246.64,246.31
4084,2020-09-11,239.45,251.3,243.1,243.1,250.72
4083,2020-09-10,246.97,256.5071,247.8,247.8,254.81
4082,2020-09-09,242.96,253.45,250.43,250.43,246.4
4081,2020-09-08,240.1401,253.675,241.27,241.27,240.565
4080,2020-09-04,243.2,265.67,254.7,254.7,262.98
4079,2020-09-03,257.41,271.75,265.01,265.01,270.58
4078,2020-09-02,268.57,284.5,276.69,276.69,283.47
4077,2020-09-01,270.58,281.93,281.25,281.25,271.0
4076,2020-08-31,265.91,274.71,272.65,272.65,270.0
