,Date,Low,High,Close,Adjusted Close,Open
5301,2020-11-24,868.73,894.06,869.91,869.91,892.86
5300,2020-11-23,876.32,910.0,887.79,887.79,906.04
5299,2020-11-20,890.81,901.405,892.06,892.06,894.45
5298,2020-11-19,878.75,899.1,894.75,894.75,883.08
5297,2020-11-18,883.185,911.52,885.52,885.52,910.9
5296,2020-11-17,901.09,921.8,914.08,914.08,912.1
5295,2020-11-16,910.64,924.29,915.56,915.56,918.76
5294,2020-11-13,906.01,923.955,917.08,917.08,906.01
5293,2020-11-12,877.3192,905.71,901.36,901.36,897.12
5292,2020-11-11,893.89,917.07,898.67,898.67,898.94
5291,2020-11-10,881.6,905.88,886.13,886.13,883.6086
5290,2020-11-09,911.73,935.4988,911.92,911.92,929.72
5289,2020-11-06,893.585,906.54,902.65,902.65,906.54
5288,2020-11-05,900.17,921.1574,903.6,903.6,919.8
5287,2020-11-04,895.45,923.58,902.5,902.5,896.46
5286,2020-11-03,855.83,882.99,879.94,879.94,855.83
5285,2020-11-02,830.87,854.72,850.88,850.88,834.77
5284,2020-10-30,811.5415,841.98,823.61,823.61,826.99
5283,2020-10-29,796.2,836.87,828.26,828.26,798.51
5282,2020-10-28,781.01,817.44,793.35,793.35,804.02
5281,2020-10-27,820.55,837.26,828.88,828.88,832.91
5280,2020-10-26,811.75,831.86,830.75,830.75,813.03
5279,2020-10-23,812.035,828.8,819.81,819.81,822.69
5278,2020-10-22,810.655,823.0,822.05,822.05,823.0
5277,2020-10-21,819.64,840.54,825.49,825.49,835.28
5276,2020-10-20,831.615,842.75,835.63,835.63,842.75
5275,2020-10-19,832.5,865.695,836.01,836.01,864.33
5274,2020-10-16,859.59,877.3475,860.63,860.63,873.39
5273,2020-10-15,853.27,871.98,867.39,867.39,855.2
5272,2020-10-14,866.36,887.03,869.41,869.41,882.98
5271,2020-10-13,882.7501,889.525,883.22,883.22,885.34
5270,2020-10-12,876.0103,890.0,882.3,882.3,881.8
5269,2020-10-09,872.45,881.9999,874.37,874.37,872.45
5268,2020-10-08,867.01,882.76,868.89,868.89,880.0
5267,2020-10-07,867.43,879.21,875.72,875.72,871.8
