,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,147.235,150.27,149.09,149.09,150.27
5301,2020-11-24,147.849,151.86,151.49,151.49,148.16
5300,2020-11-23,141.7,147.75,145.98,145.98,142.45
5299,2020-11-20,140.86,142.61,141.07,141.07,141.71
5298,2020-11-19,141.7,143.2996,141.72,141.72,142.57
5297,2020-11-18,143.35,145.48,143.9,143.9,144.5
5296,2020-11-17,142.56,144.83,144.5,144.5,144.4
5295,2020-11-16,141.57,144.74,144.67,144.67,141.57
5294,2020-11-13,136.52,141.19,138.36,138.36,140.9
5293,2020-11-12,134.105,138.49,135.52,135.52,136.34
5292,2020-11-11,136.62,142.0,137.82,137.82,141.47
5291,2020-11-10,137.67,142.37,142.11,142.11,139.97
5290,2020-11-09,138.065,147.68,142.59,142.59,140.26
5289,2020-11-06,124.6147,128.04,127.46,127.46,126.255
5288,2020-11-05,125.8,128.62,126.96,126.96,126.78
5287,2020-11-04,123.41,126.86,125.07,125.07,123.58
5286,2020-11-03,121.37,125.07,124.02,124.02,121.605
5285,2020-11-02,119.81,122.93,120.13,120.13,122.24
5284,2020-10-30,119.0881,121.75,121.25,121.25,120.64
5283,2020-10-29,117.23,122.63,121.54,121.54,118.16
5282,2020-10-28,118.32,121.53,118.47,118.47,121.01
5281,2020-10-27,123.03,124.61,123.31,123.31,124.03
5280,2020-10-26,122.95,127.11,124.06,124.06,127.11
5279,2020-10-23,126.35,128.5,128.35,128.35,128.1
5278,2020-10-22,125.97,128.1,127.56,127.56,126.67
5277,2020-10-21,123.835,127.56,126.63,126.63,124.36
5276,2020-10-20,123.64,125.73,124.95,124.95,124.58
5275,2020-10-19,123.71,127.4,124.23,124.23,127.37
5274,2020-10-16,126.33,128.12,126.81,126.81,127.81
5273,2020-10-15,124.43,127.4,127.36,127.36,125.0
5272,2020-10-14,125.29,129.5,126.59,126.59,129.14
5271,2020-10-13,127.9,131.36,128.96,128.96,129.8
5270,2020-10-12,123.73,125.94,124.97,124.97,124.9
5269,2020-10-09,123.33,125.5495,124.98,124.98,123.85
5268,2020-10-08,122.4201,123.75,123.09,123.09,123.58
5267,2020-10-07,120.93,123.3098,122.91,122.91,121.95
5266,2020-10-06,120.61,124.19,120.93,120.93,123.13
5265,2020-10-05,122.33,123.595,123.37,123.37,123.26
5264,2020-10-02,121.69,123.6775,122.55,122.55,121.99
5263,2020-10-01,122.42,125.47,123.31,123.31,124.94
5262,2020-09-30,123.24,125.55,124.08,124.08,123.24
5261,2020-09-29,123.675,126.29,125.4,125.4,125.92
5260,2020-09-28,125.37,126.86,125.99,125.99,125.75
5259,2020-09-25,120.98,124.19,124.0,124.0,121.36
5258,2020-09-24,120.78,123.8,122.49,122.49,121.93
5257,2020-09-23,122.901,127.3,123.28,123.28,127.07
5256,2020-09-22,124.7,127.47,127.21,127.21,125.26
5255,2020-09-21,123.59,126.8858,125.41,125.41,125.98
5254,2020-09-18,128.1201,130.79,128.63,128.63,129.5
5253,2020-09-17,128.6,131.77,130.22,130.22,130.55
5252,2020-09-16,131.4,133.62,132.09,132.09,132.17
5251,2020-09-15,131.005,132.54,131.24,131.24,131.46
5250,2020-09-14,130.904,132.93,131.25,131.25,132.53
5249,2020-09-11,131.09,133.74,131.75,131.75,133.74
5248,2020-09-10,132.74,136.75,133.22,133.22,133.58
5247,2020-09-09,132.26,135.55,133.36,133.36,134.28
5246,2020-09-08,130.86,137.14,134.2,134.2,131.99
5245,2020-09-04,129.42,134.88,131.99,131.99,133.75
5244,2020-09-03,132.02,137.2374,133.24,133.24,135.24
5243,2020-09-02,133.264,135.92,135.39,135.39,133.63
5242,2020-09-01,130.89,133.61,133.55,133.55,131.92
5241,2020-08-31,131.25,135.54,131.87,131.87,135.25
5240,2020-08-28,133.5801,136.8,135.54,135.54,134.5
5239,2020-08-27,132.82,136.36,133.73,133.73,133.0
5238,2020-08-26,129.52,132.6,132.18,132.18,130.0
5237,2020-08-25,129.31,131.09,129.79,129.79,130.83
5236,2020-08-24,127.93,130.88,130.69,130.69,128.15
