,Date,Low,High,Close,Adjusted Close,Open
2144,2020-11-24,267.87,277.8199,276.92,276.92,268.49
2143,2020-11-23,264.53,270.9471,268.43,268.43,270.89
2142,2020-11-20,269.41,273.0,269.7,269.7,272.56
2141,2020-11-19,269.19,273.47,272.94,272.94,271.025
2140,2020-11-18,271.84,277.3889,271.97,271.97,274.52
2139,2020-11-17,273.29,277.68,275.0,275.0,277.68
2138,2020-11-16,274.63,279.41,278.96,278.96,275.05
2137,2020-11-13,273.1,277.76,276.95,276.95,277.72
2136,2020-11-12,274.43,279.75,275.08,275.08,277.18
2135,2020-11-11,272.48,278.4,276.48,276.48,273.47
2134,2020-11-10,264.0,274.0,272.43,272.43,273.1
2133,2020-11-09,278.53,292.58,278.77,278.77,289.87
2132,2020-11-06,288.06,294.6,293.41,293.41,293.95
2131,2020-11-05,288.95,297.38,294.68,294.68,291.8965
2130,2020-11-04,278.62,288.94,287.38,287.38,281.0
2129,2020-11-03,260.88,270.05,265.3,265.3,263.16
2128,2020-11-02,257.34,270.47,261.36,261.36,264.6
2127,2020-10-30,259.1,276.7,263.11,263.11,274.5
2126,2020-10-29,273.78,283.6,280.83,280.83,276.55
2125,2020-10-28,267.26,278.79,267.67,267.67,278.79
2124,2020-10-27,276.31,284.51,283.29,283.29,278.76
2123,2020-10-26,274.26,285.23,277.11,277.11,283.16
2122,2020-10-23,276.82,285.24,284.79,284.79,278.8024
2121,2020-10-22,275.04,282.45,278.12,278.12,279.87
2120,2020-10-21,276.37,283.05,278.73,278.73,279.56
2119,2020-10-20,262.88,269.7,267.56,267.56,263.06
2118,2020-10-19,259.88,268.55,261.4,261.4,265.53
2117,2020-10-16,265.3,271.37,265.93,265.93,267.375
2116,2020-10-15,263.67,269.04,266.72,266.72,267.6
2115,2020-10-14,271.5,278.75,271.82,271.82,277.62
2114,2020-10-13,273.39,279.1,276.14,276.14,277.58
2113,2020-10-12,267.87,280.18,275.75,275.75,270.2
2112,2020-10-09,262.17,264.75,264.45,264.45,264.52
2111,2020-10-08,259.1488,264.62,263.76,263.76,259.75
2110,2020-10-07,254.82,260.18,258.12,258.12,259.21
2109,2020-10-06,258.24,265.69,258.66,258.66,261.78
2108,2020-10-05,260.8401,264.865,264.65,264.65,262.2
2107,2020-10-02,259.18,265.15,259.94,259.94,261.21
2106,2020-10-01,264.8,268.33,266.63,266.63,265.35
2105,2020-09-30,260.1,266.085,261.9,261.9,261.98
2104,2020-09-29,256.9,263.33,261.79,261.79,257.81
