,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,271.212,274.74,273.96,273.96,273.48
5301,2020-11-24,272.57,275.545,273.31,273.31,274.0
5300,2020-11-23,269.55,273.689,271.4,271.4,270.01
5299,2020-11-20,268.87,272.37,269.81,269.81,271.45
5298,2020-11-19,268.7,272.38,270.93,270.93,270.42
5297,2020-11-18,269.0,275.38,269.83,269.83,270.5
5296,2020-11-17,269.4001,273.529,272.47,272.47,272.1
5295,2020-11-16,276.4,281.29,279.57,279.57,279.18
5294,2020-11-13,275.26,279.73,277.17,277.17,276.42
5293,2020-11-12,273.84,283.6943,276.24,276.24,283.0
5292,2020-11-11,276.1701,281.69,277.75,277.75,277.32
5291,2020-11-10,269.25,275.79,275.57,275.57,272.785
5290,2020-11-09,269.47,288.42,269.97,269.97,287.98
5289,2020-11-06,282.85,286.7799,284.24,284.24,286.73
5288,2020-11-05,284.08,288.998,285.85,285.85,288.35
5287,2020-11-04,276.01,287.04,282.72,282.72,276.76
5286,2020-11-03,273.72,279.53,277.37,277.37,274.85
5285,2020-11-02,268.52,274.78,270.74,270.74,270.15
5284,2020-10-30,262.03,269.62,266.71,266.71,268.82
5283,2020-10-29,267.3119,273.7,269.63,269.63,269.69
5282,2020-10-28,268.6901,273.6696,269.72,269.72,270.25
5281,2020-10-27,276.1157,279.73,276.84,276.84,276.99
5280,2020-10-26,272.0,281.5299,276.04,276.04,279.64
5279,2020-10-23,279.55,283.19,283.0,283.0,282.38
5278,2020-10-22,280.65,285.68,281.16,281.16,283.93
5277,2020-10-21,283.28,288.0187,284.51,284.51,285.39
5276,2020-10-20,284.13,289.79,286.04,286.04,285.14
5275,2020-10-19,283.38,290.11,283.73,283.73,289.76
5274,2020-10-16,287.25,292.655,287.66,287.66,288.25
5273,2020-10-15,283.12,290.25,287.54,287.54,284.12
5272,2020-10-14,285.15,290.3,287.09,287.09,289.51
5271,2020-10-13,285.7,290.77,290.36,290.36,285.7
5270,2020-10-12,286.06,288.33,286.91,286.91,287.39
5269,2020-10-09,284.09,287.28,285.92,285.92,285.47
5268,2020-10-08,281.1707,284.95,284.52,284.52,283.84
5267,2020-10-07,280.0,284.0,282.79,282.79,280.85
5266,2020-10-06,275.77,283.0,276.47,276.47,282.5
5265,2020-10-05,279.7,282.42,282.1,282.1,280.92
5264,2020-10-02,274.1032,281.08,279.31,279.31,274.94
5263,2020-10-01,275.85,280.0,277.62,277.62,279.44
5262,2020-09-30,272.52,279.915,277.71,277.71,273.48
5261,2020-09-29,271.1138,273.8415,272.11,272.11,273.4
5260,2020-09-28,270.3,274.22,272.33,272.33,271.93
5259,2020-09-25,263.9194,270.15,268.55,268.55,264.19
5258,2020-09-24,263.8801,269.7,265.7,265.7,265.71
5257,2020-09-23,264.685,276.62,266.55,266.55,275.42
5256,2020-09-22,270.63,273.52,273.31,273.31,271.68
