,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,142.86,144.17,143.68,143.68,144.06
5301,2020-11-24,143.61,144.765,143.87,143.87,144.0
5300,2020-11-23,143.04,146.01,143.87,143.87,146.01
5299,2020-11-20,146.13,147.94,146.36,145.339682496,147.05
5298,2020-11-19,145.5869,147.46,147.14,146.114244892,147.3
5297,2020-11-18,147.37,149.76,147.37,146.342641496,148.87
5296,2020-11-17,149.12,150.63,149.35,148.308838349,150.0
5295,2020-11-16,149.801,151.3,150.85,149.798381419,150.92
5294,2020-11-13,148.41,150.41,149.9,148.855004141,149.09
5293,2020-11-12,146.7536,148.65,148.3,147.2661582,147.61
5292,2020-11-11,146.86,149.2,147.8,146.769643843,149.17
5291,2020-11-10,146.26,148.75,148.28,147.246297626,147.25
5290,2020-11-09,144.92,148.99,146.08,145.061634456,148.425
5289,2020-11-06,139.65,143.19,142.25,141.258334484,140.4
5288,2020-11-05,139.26,141.83,139.76,138.785692987,140.55
5287,2020-11-04,138.7,142.54,139.4,138.42820265,139.49
5286,2020-11-03,137.78,140.96,138.5,137.534476808,140.02
5285,2020-11-02,137.49,139.01,138.69,137.723152264,138.98
5284,2020-10-30,133.65,137.54,137.11,136.154166897,136.68
5283,2020-10-29,136.05,138.7,137.19,136.233609194,138.0
5282,2020-10-28,138.18,141.98,138.36,137.395452789,141.425
5281,2020-10-27,142.92,144.29,143.15,142.152060326,143.74
5280,2020-10-26,142.75,144.77,143.97,142.966343871,144.43
5279,2020-10-23,144.35,147.47,145.24,144.227490337,145.88
5278,2020-10-22,143.84,145.69,145.08,144.068605743,144.16
5277,2020-10-21,143.91,145.34,143.93,142.926622722,144.12
5276,2020-10-20,144.12,145.75,144.55,143.542300525,144.66
5275,2020-10-19,144.13,148.9,144.32,143.31390392,148.53
5274,2020-10-16,147.01,148.76,148.1,147.067552457,147.6
5273,2020-10-15,146.33,147.9,147.19,146.163896328,147.48
5272,2020-10-14,147.39,149.03,148.1,147.067552457,148.82
5271,2020-10-13,147.77,150.12,148.36,147.325739923,149.0
5270,2020-10-12,151.02,153.142,151.84,150.781479845,151.6
5269,2020-10-09,149.445,151.48,150.97,149.917544865,149.65
5268,2020-10-08,148.04,149.85,148.89,147.852045141,148.5
5267,2020-10-07,145.81,148.23,147.88,146.84908614,146.49
5266,2020-10-06,145.87,148.61,146.26,145.240379625,148.28
5265,2020-10-05,146.42,148.38,148.23,147.19664619,147.0
5264,2020-10-02,145.83,148.41,146.24,145.22051905,146.21
5263,2020-10-01,146.46,149.65,147.32,146.292990061,149.31
5262,2020-09-30,146.84,149.73,148.88,147.842114854,147.45
5261,2020-09-29,146.06,147.92,147.06,146.034802595,147.6
5260,2020-09-28,146.42,148.29,147.11,146.084454031,146.73
5259,2020-09-25,143.89,146.25,145.66,144.644562396,144.0
5258,2020-09-24,143.34,145.25,144.67,143.66146397,144.56
5257,2020-09-23,144.38,147.55,144.44,143.433067366,147.48
5256,2020-09-22,143.72,145.35,144.21,143.204670762,144.69
5255,2020-09-21,142.96,147.93,145.1,144.088466317,147.58
5254,2020-09-18,146.2,149.65,149.18,148.140023468,146.51
5253,2020-09-17,146.05,148.63,147.17,146.144035754,148.04
5252,2020-09-16,148.3501,150.06,148.4,147.365461071,149.39
5251,2020-09-15,148.52,150.59,148.89,147.852045141,149.45
5250,2020-09-14,148.01,149.47,148.35,147.315809636,148.12
5249,2020-09-11,146.63,148.53,147.78,146.749783269,147.05
5248,2020-09-10,146.52,149.78,146.91,145.885848288,149.25
5247,2020-09-09,148.12,151.1,149.7,148.656398399,148.15
5246,2020-09-08,146.9,150.89,147.26,146.233408338,150.25
5245,2020-09-04,147.13,150.95,148.59,147.554136527,150.17
5244,2020-09-03,148.3,155.47,149.55,148.507444092,154.83
5243,2020-09-02,149.245,154.33,153.83,152.757606985,150.79
5242,2020-09-01,150.07,154.08,151.52,150.463710657,153.87
5241,2020-08-31,152.2605,154.4,153.41,152.340534925,153.0
5240,2020-08-28,151.9,153.7,153.64,152.56893153,152.74
5239,2020-08-27,151.89,153.26,152.98,151.913532579,152.42
5238,2020-08-26,150.64,152.65,152.3,151.238273054,151.86
5237,2020-08-25,151.535,153.07,152.06,150.999946162,152.78
5236,2020-08-24,150.35,152.9,152.15,151.089318747,152.74
5235,2020-08-21,150.5901,153.65,152.76,150.694726637,151.78
5234,2020-08-20,149.5457,151.58,151.42,149.37284307,149.75
5233,2020-08-19,149.32,151.58,150.39,148.356768388,149.58
5232,2020-08-18,148.57,150.1,150.09,148.060824306,149.26
5231,2020-08-17,148.23,150.23,148.99,146.975696004,148.32
5230,2020-08-14,147.58,149.34,148.24,146.235835799,147.61
5229,2020-08-13,147.53,149.19,148.0,145.999080533,148.54
5228,2020-08-12,147.49,150.24,149.66,147.636637788,147.54
5227,2020-08-11,146.37,149.23,146.97,144.983005851,149.14
5226,2020-08-10,147.72,149.01,148.03,146.028674942,148.86
5225,2020-08-07,147.15,148.65,148.6,146.590968698,147.51
5224,2020-08-06,146.5,149.25,147.55,145.55516441,148.4
5223,2020-08-05,147.8,149.31,148.4,146.393672643,149.1
5222,2020-08-04,145.8247,147.22,147.22,145.22962592,146.99
5221,2020-08-03,146.15,147.79,147.35,145.357868355,146.39
5220,2020-07-31,143.96,147.45,145.76,143.78936472,146.66
5219,2020-07-30,146.14,147.5,146.84,144.854763416,147.44
5218,2020-07-29,146.07,147.47,146.54,144.558819334,146.39
5217,2020-07-28,146.75,147.99,146.83,144.844898613,147.4
5216,2020-07-27,146.86,148.92,147.18,145.190166709,147.37
5215,2020-07-24,147.03,150.6,148.12,146.117458166,150.5
5214,2020-07-23,149.28,150.85,149.61,147.587313774,150.21
5213,2020-07-22,147.85,150.405,150.01,147.981905884,149.93
5212,2020-07-21,149.5,151.67,149.74,147.71555621,149.6
5211,2020-07-20,148.43,150.32,149.6,147.577448972,150.23
5210,2020-07-17,148.69,150.58,149.35,147.330828903,150.0
5209,2020-07-16,146.68,149.34,149.25,147.232180876,148.68
5208,2020-07-15,148.23,150.21,148.26,146.255565405,149.73
5207,2020-07-14,145.26,148.39,147.92,145.920162111,145.32
5206,2020-07-13,143.28,146.64,145.21,143.246800569,143.61
5205,2020-07-10,141.43,142.87,142.37,140.445196591,142.75
5204,2020-07-09,140.58,144.43,142.49,140.563574224,142.76
5203,2020-07-08,141.7,143.39,143.27,141.333028838,142.87
5202,2020-07-07,141.23,143.97,142.85,140.918707123,141.39
5201,2020-07-06,141.88,143.77,142.98,141.046949559,142.17
5200,2020-07-02,140.33,141.84,140.97,139.064124208,141.25
5199,2020-07-01,140.06,141.39,140.38,138.482100846,140.69
5198,2020-06-30,137.84,141.02,140.63,138.728720915,139.4
5197,2020-06-29,137.98,139.7,139.04,137.160217279,138.74
5196,2020-06-26,137.02,139.6,137.81,135.946846543,139.53
5195,2020-06-25,137.54,140.57,139.67,137.781699852,140.57
5194,2020-06-24,138.72,142.19,139.82,137.929671893,141.49
5193,2020-06-23,142.68,144.08,142.86,140.928571926,143.74
5192,2020-06-22,142.03,143.66,143.39,141.451406471,143.47
5191,2020-06-19,143.25,145.88,143.83,141.885457791,145.79
5190,2020-06-18,141.87,144.12,143.41,141.471136076,142.52
5189,2020-06-17,143.47,145.42,144.02,142.072889043,144.9
5188,2020-06-16,142.77,145.42,144.46,142.506940364,144.09
5187,2020-06-15,139.39,142.4,141.25,139.340338685,141.0
5186,2020-06-12,140.28,143.71,142.15,140.228170931,142.84
5185,2020-06-11,140.75,149.17,140.87,138.965476181,148.58
5184,2020-06-10,146.6,150.03,147.8,145.801784479,146.6
5183,2020-06-09,145.65,149.33,145.96,143.986660775,148.25
5182,2020-06-08,145.74,147.61,146.77,144.785709796,145.88
5181,2020-06-05,146.6,149.64,147.3,145.308544342,147.69
5180,2020-06-04,145.58,148.37,146.73,144.746250586,146.8
5179,2020-06-03,146.45,149.14,148.65,146.640292711,148.52
5178,2020-06-02,146.12,148.35,148.25,146.245700602,147.06
5177,2020-06-01,146.01,148.34,147.19,145.200031512,147.29
5176,2020-05-29,145.33,149.35,148.75,146.738940739,147.96
5175,2020-05-28,145.81,148.11,146.97,144.983005851,146.02
5174,2020-05-27,143.01,145.25,144.89,142.931126882,144.32
5173,2020-05-26,144.3,146.44,144.56,142.605588391,146.19
5172,2020-05-22,144.06,146.29,144.37,142.418157139,144.57
5171,2020-05-21,145.82,148.5,146.71,143.721060902,148.5
5170,2020-05-20,147.27,150.39,147.68,144.671298984,149.75
5169,2020-05-19,148.4,151.1,149.02,145.983999016,150.1
5168,2020-05-18,150.46,153.62,150.52,147.453439349,152.49
5167,2020-05-15,145.66,150.48,150.44,147.375069198,147.87
5166,2020-05-14,144.26,147.76,147.64,144.632113909,145.39
5165,2020-05-13,146.01,148.95,147.13,144.132504195,146.08
5164,2020-05-12,147.03,150.34,147.14,144.142300464,150.1
5163,2020-05-11,148.12,150.1,149.11,146.072165436,148.45
5162,2020-05-08,147.89,149.18,148.7,145.670518411,148.92
5161,2020-05-07,147.13,149.53,147.59,144.583132564,149.37
5160,2020-05-06,148.04,150.32,148.08,145.06314974,150.0
5159,2020-05-05,148.64,150.78,149.5,146.454219922,149.0
5158,2020-05-04,147.09,149.08,148.27,145.249278849,148.77
5157,2020-05-01,146.79,149.67,148.29,145.268871387,149.62
5156,2020-04-30,147.16,150.43,150.04,146.983218442,148.46
5155,2020-04-29,149.16,151.63,150.24,147.17914382,151.38
5154,2020-04-28,150.7,153.1,151.39,148.305714743,151.25
5153,2020-04-27,154.0,156.05,154.29,151.146632721,154.81
5152,2020-04-24,153.64,156.3,154.86,151.705020048,155.57
5151,2020-04-23,153.7,157.0,155.51,152.341777526,154.25
5150,2020-04-22,151.73,155.0,152.99,149.873117765,152.81
5149,2020-04-21,148.57,151.64,149.68,146.630552762,150.12
5148,2020-04-20,150.09,153.0,151.67,148.580010272,150.93
5147,2020-04-17,149.6,152.3,152.02,148.922879683,151.99
5146,2020-04-16,146.44,150.68,149.67,146.620756493,148.31
5145,2020-04-15,143.54,147.91,147.66,144.651706446,145.55
5144,2020-04-14,144.05,147.42,146.03,143.054914617,145.42
5143,2020-04-13,137.84,141.49,139.77,136.922450291,140.0
5142,2020-04-09,140.28,145.42,141.23,138.352705549,144.01
5141,2020-04-08,137.3,144.13,143.26,140.341348134,137.75
5140,2020-04-07,137.26,142.03,137.48,134.679104715,139.86
5139,2020-04-06,135.54,140.97,139.76,136.912654022,137.01
5138,2020-04-03,131.58,134.79,134.17,131.436539712,132.38
5137,2020-04-02,127.22,134.0,133.15,130.437320285,129.12
5136,2020-04-01,125.5,130.23,128.81,126.185739587,127.7
5135,2020-03-31,130.05,135.71,131.13,128.458473969,134.99
5134,2020-03-30,127.5,133.99,133.01,130.300172521,128.46
5133,2020-03-27,120.58,127.62,123.16,120.650847663,121.65
5132,2020-03-26,120.38,127.1,126.57,123.991375355,120.57
5131,2020-03-25,116.7,123.96,119.4,116.96745056,118.91
5130,2020-03-24,113.86,119.65,119.18,116.751932644,118.76
5129,2020-03-23,109.16,118.56,111.14,108.875732456,117.0
5128,2020-03-20,118.13,127.44,119.89,117.447467736,126.83
5127,2020-03-19,126.15,134.99,127.05,124.461596262,134.99
5126,2020-03-18,128.71,135.67,134.96,132.210444955,131.02
5125,2020-03-17,127.81,136.77,136.59,133.807236784,128.55
5124,2020-03-16,122.43,133.76,127.13,124.539966413,123.57
5123,2020-03-13,124.65,134.92,134.29,131.554094939,129.32
5122,2020-03-12,124.5,133.76,125.41,122.855008164,127.31
5121,2020-03-11,131.5,138.75,131.8,129.114823985,138.09
5120,2020-03-10,134.23,141.95,141.64,138.754352574,139.97
5119,2020-03-09,134.9,139.68,136.44,133.660292751,136.33
5118,2020-03-06,137.41,143.01,142.03,139.136407061,138.48
5117,2020-03-05,139.84,142.68,142.01,139.116814523,140.8
5116,2020-03-04,137.14,143.64,143.48,140.55686605,137.68
5115,2020-03-03,133.1,140.99,135.59,132.827609895,140.0
5114,2020-03-02,134.01,140.13,140.02,137.167357014,134.78
5113,2020-02-28,130.82,137.29,134.48,131.740224048,135.36
5112,2020-02-27,138.95,144.77,139.12,136.285692813,142.56
5111,2020-02-26,143.59,146.22,143.68,140.752791428,145.35
5110,2020-02-25,143.83,146.75,144.65,141.70302951,145.99
5109,2020-02-24,145.25,149.0,145.91,142.93735939,146.5
5108,2020-02-21,147.54,150.24,149.93,145.925359481,148.09
5107,2020-02-20,147.4,149.38,148.37,144.407027188,148.61
5106,2020-02-19,148.58,149.76,148.94,144.961802449,149.21
5105,2020-02-18,149.06,150.74,149.14,145.156460435,150.47
5104,2020-02-14,149.15,150.64,150.13,146.120017468,150.56
5103,2020-02-13,149.88,151.04,150.09,146.08108587,150.16
5102,2020-02-12,150.92,152.15,151.09,147.054375802,151.87
5101,2020-02-11,151.54,152.38,151.99,147.930336741,152.29
5100,2020-02-10,150.89,151.91,151.86,147.80380905,151.68
5099,2020-02-07,151.55,153.46,151.89,147.833007748,153.34
5098,2020-02-06,152.74,154.5,153.53,149.429203236,154.25
5097,2020-02-05,151.31,154.02,153.99,149.876916604,151.72
5096,2020-02-04,151.2,152.75,151.6,147.550753667,151.49
5095,2020-02-03,149.24,150.49,150.17,146.158949065,149.42
5094,2020-01-31,148.64,150.0,148.87,144.893672153,149.75
5093,2020-01-30,149.05,150.51,150.36,146.343874152,150.03
5092,2020-01-29,149.13,151.19,150.54,146.51906634,149.45
5091,2020-01-28,148.15,150.57,149.5,145.50684481,148.46
5090,2020-01-27,147.0,149.46,148.75,144.776877362,147.52
5089,2020-01-24,147.93,148.95,148.32,144.358362691,148.58
5088,2020-01-23,146.76,148.77,148.53,144.562753577,148.04
5087,2020-01-22,146.0,149.18,148.25,144.290232396,146.7
5086,2020-01-21,148.5,150.17,149.27,145.282988126,148.58
5085,2020-01-17,147.93,149.41,149.17,145.185659133,148.41
5084,2020-01-16,146.2,148.84,148.2,144.241567899,147.42
5083,2020-01-15,146.24,147.4,147.01,143.08335288,146.4
5082,2020-01-14,144.73,146.61,146.52,142.606440814,145.05
5081,2020-01-13,144.72,145.79,145.7,141.808343069,145.48
5080,2020-01-10,144.9,146.18,145.06,141.185437513,145.75
5079,2020-01-09,144.99,146.03,145.39,141.506623191,145.76
5078,2020-01-08,143.7,145.98,144.96,141.08810852,144.87
5077,2020-01-07,141.38,145.45,144.98,141.107574319,144.01
5076,2020-01-06,142.85,144.2,144.1,140.251079179,144.0
5075,2020-01-03,143.0,145.37,144.28,140.426271366,143.5
5074,2020-01-02,145.08,146.02,145.97,142.071131351,145.87
5073,2019-12-31,144.78,146.01,145.87,141.973802358,145.1
5072,2019-12-30,145.03,146.2,145.3,141.419027097,145.78
5071,2019-12-27,145.54,146.55,145.75,141.857007566,146.2
5070,2019-12-26,145.16,146.18,145.83,141.934870761,145.97
