,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,120.465,122.38,122.03,122.03,121.37
5301,2020-11-24,119.71,123.5,123.32,123.32,120.07
5300,2020-11-23,115.57,118.17,117.87,117.87,116.05
5299,2020-11-20,114.09,115.65,114.57,114.57,114.43
5298,2020-11-19,113.56,115.82,115.56,115.56,114.18
5297,2020-11-18,115.2,118.61,115.25,115.25,117.34
5296,2020-11-17,114.58,116.44,116.11,116.11,115.39
5295,2020-11-16,115.7318,118.61,117.3,117.3,117.79
5294,2020-11-13,113.5701,114.86,114.08,114.08,114.7
5293,2020-11-12,112.055,113.955,113.37,113.37,112.53
5292,2020-11-11,113.96,116.96,114.78,114.78,116.89
5291,2020-11-10,114.69,117.45,116.52,116.52,117.35
5290,2020-11-09,110.35,118.9,116.9,116.9,113.16
5289,2020-11-06,102.39,105.1,102.96,102.96,105.03
5288,2020-11-05,101.0,105.095,104.35,104.35,101.06
5287,2020-11-04,98.93,102.07,100.25,100.25,101.0
5286,2020-11-03,102.69,104.74,103.41,103.41,103.02
5285,2020-11-02,97.86,100.88,100.25,100.25,99.39
5284,2020-10-30,96.23,98.42,98.04,98.04,97.91
5283,2020-10-29,95.2397,97.98,97.17,97.17,96.12
5282,2020-10-28,96.07,98.3,96.54,96.54,97.5
5281,2020-10-27,99.16,100.92,99.33,99.33,100.51
5280,2020-10-26,100.25,102.7,101.24,101.24,102.65
5279,2020-10-23,102.93,104.45,103.81,103.81,103.5
5278,2020-10-22,99.31,103.24,102.88,102.88,99.32
5277,2020-10-21,99.33,100.99,99.37,99.37,100.36
5276,2020-10-20,100.12,101.77,100.37,100.37,100.31
5275,2020-10-19,99.56,101.87,99.8,99.8,101.6
5274,2020-10-16,100.723,102.33,101.51,101.51,101.41
5273,2020-10-15,99.04,101.78,101.72,101.72,99.1
5272,2020-10-14,100.1,101.925,100.22,100.22,101.03
5271,2020-10-13,100.26,103.22,100.78,100.78,103.0
5270,2020-10-12,100.85,103.0,102.44,102.44,101.1
5269,2020-10-09,100.11,102.105,101.2,101.2,102.0
5268,2020-10-08,99.895,101.92,101.78,101.78,100.51
5267,2020-10-07,98.6658,100.35,99.73,99.73,98.96
5266,2020-10-06,97.5101,100.86,98.02,98.02,100.07
5265,2020-10-05,97.53,99.25,99.04,99.04,98.32
5264,2020-10-02,95.09,98.59,97.89,97.0084610766,95.25
5263,2020-10-01,96.03,97.77,96.97,96.0967460476,97.12
5262,2020-09-30,95.26,97.1975,96.27,95.4030498299,95.35
5261,2020-09-29,94.332,96.03,95.35,94.4913348009,96.03
5260,2020-09-28,94.35,96.93,96.16,95.2940404243,95.06
5259,2020-09-25,91.87,93.715,93.47,92.628264959,92.05
5258,2020-09-24,91.38,94.3,92.66,91.8255593356,92.32
5257,2020-09-23,92.6617,95.35,92.74,91.9048389033,94.78
5256,2020-09-22,93.67,95.66,94.27,93.4210606364,94.96
5255,2020-09-21,93.82,96.05,95.31,94.451695017,95.2
5254,2020-09-18,97.44,99.49,98.35,97.4643185912,97.89
5253,2020-09-17,97.71,99.3433,98.56,97.6724274565,98.7
5252,2020-09-16,98.76,101.13,99.7,98.8021612968,99.43
5251,2020-09-15,99.14,102.85,99.28,98.3859435661,102.73
5250,2020-09-14,101.37,103.46,102.47,101.54721633,101.51
5249,2020-09-11,99.59,101.36,101.07,100.159823894,99.97
5248,2020-09-10,99.64,102.42,99.83,98.9309905944,101.4
5247,2020-09-09,99.56,101.69,100.87,99.961624975,100.8
5246,2020-09-08,99.48,103.57,99.92,99.0201801081,102.98
5245,2020-09-04,101.37,105.21,103.52,102.587760656,104.05
5244,2020-09-03,100.64,104.99,101.33,100.417482489,103.32
5243,2020-09-02,99.56,101.94,101.65,100.73460076,99.95
5242,2020-09-01,99.04,100.8712,100.14,99.2381989194,99.55
5241,2020-08-31,100.02,102.18,100.19,99.2877486492,102.12
5240,2020-08-28,101.81,103.25,102.77,101.844514709,103.14
