,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,52.79,53.28,52.93,52.93,53.07
5301,2020-11-24,53.02,53.59,53.22,53.22,53.14
5300,2020-11-23,52.2,53.17,52.68,52.68,52.95
5299,2020-11-20,52.59,53.25,52.67,52.67,53.19
5298,2020-11-19,51.95,53.23,53.13,53.13,52.49
5297,2020-11-18,52.56,54.02,52.61,52.61,53.75
5296,2020-11-17,53.025,53.75,53.68,53.68,53.66
5295,2020-11-16,53.28,54.62,53.85,53.85,54.5
5294,2020-11-13,52.8901,53.5,53.45,53.45,53.25
5293,2020-11-12,52.605,53.21,53.01,53.01,53.05
5292,2020-11-11,53.33,54.3,53.58,53.58,53.93
5291,2020-11-10,52.45,54.28,53.98,53.98,52.57
5290,2020-11-09,52.07,53.26,52.57,52.57,52.5
5289,2020-11-06,49.25,49.99,49.45,49.45,49.65
5288,2020-11-05,49.34,50.21,49.44,49.44,49.76
5287,2020-11-04,49.08,50.21,49.17,49.17,49.43
5286,2020-11-03,49.0,49.96,49.35,49.35,49.22
5285,2020-11-02,48.24,48.95,48.62,48.62,48.75
5284,2020-10-30,47.365,48.1216,48.06,48.06,47.81
5283,2020-10-29,47.3,48.475,48.02,48.02,47.73
5282,2020-10-28,47.78,49.15,47.96,47.96,49.0
5281,2020-10-27,49.5533,50.285,49.9,49.9,49.81
5280,2020-10-26,49.2,50.51,49.8,49.8,50.34
5279,2020-10-23,50.465,51.18,50.52,50.52,51.0
5278,2020-10-22,50.38,51.2,50.68,50.68,51.17
5277,2020-10-21,49.77,50.43,49.99,49.99,49.96
5276,2020-10-20,49.79,50.62,50.25,50.25,49.89
5275,2020-10-19,49.46,50.48,49.62,49.62,50.03
5274,2020-10-16,49.87,50.35,50.03,50.03,49.99
5273,2020-10-15,49.3,50.13,49.99,49.99,49.4
5272,2020-10-14,49.65,50.49,50.12,50.12,50.05
5271,2020-10-13,49.9,50.99,50.22,50.22,50.99
5270,2020-10-12,50.83,51.525,51.09,51.09,50.84
5269,2020-10-09,50.6,51.23,50.81,50.81,50.67
5268,2020-10-08,49.535,50.54,50.46,50.46,49.71
5267,2020-10-07,48.95,49.76,49.56,49.56,49.02
5266,2020-10-06,48.83,49.725,48.94,48.94,49.55
5265,2020-10-05,49.12,49.55,49.38,49.38,49.43
5264,2020-10-02,48.55,49.58,49.36,49.36,48.76
5263,2020-10-01,48.59,49.6577,49.18,49.18,49.44
5262,2020-09-30,48.8916,49.62,49.37,49.37,49.27
5261,2020-09-29,48.91,49.555,48.92,48.92,49.39
5260,2020-09-28,49.14,49.71,49.28,49.28,49.31
5259,2020-09-25,47.98,48.76,48.72,48.72,48.2
5258,2020-09-24,47.56,49.1,48.7,48.7,48.21
5257,2020-09-23,48.17,49.92,48.21,48.21,49.73
5256,2020-09-22,49.07,50.035,49.66,49.66,49.11
5255,2020-09-21,48.605,50.02,49.09,49.09,49.75
5254,2020-09-18,50.21,51.155,50.45,50.45,50.75
5253,2020-09-17,49.94,50.63,50.55,50.55,50.22
5252,2020-09-16,50.74,51.4462,50.79,50.79,50.95
5251,2020-09-15,50.84,51.38,51.05,51.05,51.0
5250,2020-09-14,50.57,51.23,50.71,50.71,50.97
5249,2020-09-11,50.1,51.2,51.06,50.6504812207,50.4
5248,2020-09-10,49.95,50.675,50.0,49.5989827856,50.35
5247,2020-09-09,49.55,50.755,50.19,49.7874589202,49.6
5246,2020-09-08,49.36,51.04,49.81,49.410506651,50.93
5245,2020-09-04,50.28,51.465,51.04,50.6306416275,50.94
5244,2020-09-03,50.1,52.1378,50.48,50.0751330203,51.4
5243,2020-09-02,49.36,51.36,51.19,50.7794385759,49.36
5242,2020-09-01,48.83,49.35,49.12,48.7260406886,49.31
5241,2020-08-31,49.35,50.07,49.53,49.1327523474,49.8
5240,2020-08-28,48.53,49.85,49.83,49.4303462441,48.75
5239,2020-08-27,48.2,48.82,48.23,47.843178795,48.25
5238,2020-08-26,47.47,48.18,48.16,47.7737402191,47.76
5237,2020-08-25,47.65,48.05,47.91,47.5257453052,48.0
5236,2020-08-24,47.175,47.98,47.97,47.5852640845,47.43
5235,2020-08-21,46.97,47.495,47.28,46.9007981221,47.34
5234,2020-08-20,47.0923,47.6,47.35,46.970236698,47.27
5233,2020-08-19,47.22,48.38,47.37,46.9900762911,48.12
5232,2020-08-18,47.96,48.5,48.42,48.0316549296,48.2
5231,2020-08-17,48.2,48.75,48.21,47.8233392019,48.32
5230,2020-08-14,48.03,48.69,48.45,48.0614143192,48.34
5229,2020-08-13,48.06,48.73,48.38,47.9919757433,48.26
5228,2020-08-12,48.12,48.69,48.43,48.0415747261,48.3
5227,2020-08-11,47.7,48.6527,47.93,47.5455848983,48.46
5226,2020-08-10,47.66,48.275,47.72,47.3372691706,48.06
5225,2020-08-07,47.21,48.08,47.8,47.416627543,47.47
5224,2020-08-06,46.6,47.53,47.48,47.0991940532,46.66
5223,2020-08-05,46.81,47.265,47.22,46.8412793427,46.9
5222,2020-08-04,46.22,46.86,46.69,46.3155301252,46.29
5221,2020-08-03,46.23,47.36,46.3,45.9286580595,47.14
5220,2020-07-31,46.73,47.77,47.24,46.8611189358,47.44
5219,2020-07-30,47.2,48.23,47.69,47.3075097809,47.67
5218,2020-07-29,47.82,48.5,48.02,47.6348630673,48.14
5217,2020-07-28,48.1,49.28,48.18,47.7935798122,48.34
5216,2020-07-27,48.18,48.51,48.48,48.0911737089,48.18
5215,2020-07-24,48.07,48.8,48.49,48.1010935055,48.4
5214,2020-07-23,48.03,48.5682,48.28,47.8927777778,48.47
5213,2020-07-22,47.03,48.515,48.48,48.0911737089,47.93
5212,2020-07-21,46.93,47.99,47.2,46.8214397496,47.52
