,Date,Low,High,Close,Adjusted Close,Open
3652,2020-11-25,339.3409,343.71,341.32,341.32,343.71
3651,2020-11-24,334.115,344.11,342.39,342.39,336.91
3650,2020-11-23,324.37,333.2,332.04,332.04,326.21
3649,2020-11-20,323.0,335.155,323.0,323.0,334.78
3648,2020-11-19,331.42,339.16,333.88,333.88,335.49
3647,2020-11-18,334.855,340.95,335.94,335.94,336.53
3646,2020-11-17,330.72,337.77,336.5,336.5,333.17
3645,2020-11-16,333.17,342.65,335.45,335.45,341.8
3644,2020-11-13,327.34,336.11,335.03,335.03,330.3
3643,2020-11-12,326.295,333.09,328.29,328.29,329.06
3642,2020-11-11,331.07,337.7,332.39,332.39,337.41
3641,2020-11-10,333.44,345.86,334.78,334.78,339.99
3640,2020-11-09,340.9,357.0,344.56,344.56,346.92
3639,2020-11-06,310.09,316.49,313.64,313.64,315.98
3638,2020-11-05,313.58,319.35,316.53,316.53,315.14
3637,2020-11-04,302.24,312.7199,307.2,307.2,305.09
3636,2020-11-03,291.78,300.34,295.39,295.39,294.45
3635,2020-11-02,288.12,294.8372,289.97,289.97,294.24
3634,2020-10-30,281.2,291.85,288.64,288.64,289.85
3633,2020-10-29,287.55,295.3,293.18,293.18,293.2
3632,2020-10-28,288.6,302.0,291.38,291.38,301.69
3631,2020-10-27,312.355,319.555,317.11,317.11,318.9
3630,2020-10-26,314.23,327.24,318.06,318.06,326.41
3629,2020-10-23,328.31,335.69,329.61,329.61,335.69
3628,2020-10-22,329.25,335.375,333.6,333.6,333.37
3627,2020-10-21,331.3,336.32,333.42,333.42,332.49
3626,2020-10-20,331.68,336.8,331.72,331.72,333.04
3625,2020-10-19,330.43,341.3,331.67,331.67,340.12
3624,2020-10-16,339.23,344.9787,339.4,339.4,340.0
3623,2020-10-15,332.815,339.61,338.57,338.57,338.3
3622,2020-10-14,341.19,347.19,342.7,342.7,345.76
3621,2020-10-13,345.02,351.5,345.84,345.84,351.43
3620,2020-10-12,350.82,355.0,352.04,352.04,355.0
3619,2020-10-09,347.0,353.36,352.39,352.39,347.99
3618,2020-10-08,344.24,347.69,345.15,345.15,345.01
