,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,79.5951,80.4599,80.06,80.06,80.14
5301,2020-11-24,79.67,80.89,80.14,80.14,80.02
5300,2020-11-23,79.38,81.16,80.28,80.28,80.61
5299,2020-11-20,79.73,80.81,80.45,80.45,80.47
5298,2020-11-19,79.33,80.77,80.39,80.39,80.77
5297,2020-11-18,80.23,81.97,80.25,80.25,81.43
5296,2020-11-17,80.41,81.96,81.5,81.5,81.06
5295,2020-11-16,79.7,81.89,80.18,80.18,81.23
5294,2020-11-13,79.72,81.85,81.09,81.09,80.24
5293,2020-11-12,79.03,81.0,79.86,79.86,80.55
5292,2020-11-11,80.59,81.87,81.06,81.06,81.87
5291,2020-11-10,81.01,82.025,81.11,81.11,81.78
5290,2020-11-09,80.35,85.17,80.5,80.5,84.78
5289,2020-11-06,79.45,81.14,80.36,80.36,79.45
5288,2020-11-05,80.44,82.9,80.46,80.46,82.06
5287,2020-11-04,79.54,82.89,80.62,80.62,79.94
5286,2020-11-03,76.76,78.23,76.92,76.92,77.47
5285,2020-11-02,75.64,76.855,76.71,76.71,76.45
5284,2020-10-30,73.94,75.89,75.21,75.21,75.38
5283,2020-10-29,74.67,76.59,75.89,75.89,76.17
5282,2020-10-28,76.02,77.73,76.18,76.18,77.13
5281,2020-10-27,77.99,80.23,77.99,77.99,78.93
5280,2020-10-26,78.26,79.8,78.84,78.84,79.33
5279,2020-10-23,79.26,80.62,79.83,79.83,79.26
5278,2020-10-22,78.1,79.45,79.21,79.21,78.1
5277,2020-10-21,78.03,78.85,78.07,78.07,78.26
5276,2020-10-20,78.08,78.97,78.27,78.27,78.97
5275,2020-10-19,78.335,80.49,78.67,78.67,80.12
5274,2020-10-16,79.11,80.3,79.83,79.83,79.3
5273,2020-10-15,78.78,79.9379,79.06,79.06,79.8
5272,2020-10-14,80.07,80.93,80.51,80.51,80.85
5271,2020-10-13,80.04,80.93,80.71,80.71,80.3
5270,2020-10-12,79.91,80.72,80.36,80.36,80.51
5269,2020-10-09,80.05,81.085,80.36,80.36,80.88
5268,2020-10-08,80.16,81.835,80.48,80.48,80.39
5267,2020-10-07,79.51,80.35,80.04,80.04,80.09
5266,2020-10-06,79.52,81.14,79.63,79.63,81.13
5265,2020-10-05,80.62,81.54,81.24,81.24,81.23
5264,2020-10-02,80.45,81.74,80.8,80.8,80.8
5263,2020-10-01,81.25,83.34,81.64,81.64,83.18
5262,2020-09-30,82.02,83.32,82.95,82.95,82.26
5261,2020-09-29,81.7,83.15,81.9,81.9,82.675
5260,2020-09-28,82.56,83.7,82.76,82.76,83.2
5259,2020-09-25,81.8,83.24,82.93,82.93,82.15
5258,2020-09-24,81.85,83.48,83.15,83.15,82.1
5257,2020-09-23,82.58,83.8196,82.63,82.63,83.09
5256,2020-09-22,82.2,83.57,82.94,82.94,83.1
5255,2020-09-21,82.09,85.34,83.13,83.13,84.92
5254,2020-09-18,84.94,86.3,85.81,85.81,85.57
5253,2020-09-17,84.45,85.77,85.64,85.64,85.38
5252,2020-09-16,84.5,86.095,85.57,85.57,84.5
5251,2020-09-15,83.65,85.165,84.21,84.21,84.73
5250,2020-09-14,83.73,85.095,84.16,84.16,84.2
