,Date,Low,High,Close,Adjusted Close,Open
5301,2020-11-24,208.86,214.25,213.86,213.86,209.59
5300,2020-11-23,208.16,212.29,210.11,210.11,210.95
5299,2020-11-20,210.0,213.285,210.39,210.39,212.2
5298,2020-11-19,209.93,213.03,212.42,212.42,211.38
5297,2020-11-18,210.93,215.17,211.08,211.08,213.65
5296,2020-11-17,214.08,217.68,214.46,213.892538273,216.1
5295,2020-11-16,214.52,217.74,217.23,216.655208845,214.87
5294,2020-11-13,214.16,217.42,216.51,215.937113967,216.36
5293,2020-11-12,214.46,219.11,215.44,214.86994519,217.21
5292,2020-11-11,212.2,218.04,216.55,215.977008127,212.39
5291,2020-11-10,209.72,216.5,211.01,210.451666982,214.5
5290,2020-11-09,217.88,228.12,218.39,217.812139482,224.435
5289,2020-11-06,218.03,224.36,223.72,223.128036288,222.26
5288,2020-11-05,221.15,224.12,223.29,222.699174069,222.04
5287,2020-11-04,212.4185,218.32,216.39,215.817431487,214.02
5286,2020-11-03,203.12,208.12,206.43,205.883785674,203.89
5285,2020-11-02,200.12,205.28,202.33,201.794634285,204.29
5284,2020-10-30,199.62,204.29,202.47,201.934263844,203.5
5283,2020-10-29,203.37,207.36,204.72,204.178310338,204.07
5282,2020-10-28,202.1,208.84,202.68,202.143708184,207.67
5281,2020-10-27,210.329,214.67,213.25,212.685739936,211.59
5280,2020-10-26,208.1,216.3399,210.08,209.524127764,213.85
5279,2020-10-23,213.16,216.28,216.23,215.657854848,215.03
5278,2020-10-22,211.7,216.055,214.89,214.321400491,213.93
5277,2020-10-21,213.12,216.92,214.8,214.231638632,213.12
5276,2020-10-20,213.0901,217.37,214.65,214.082035532,215.8
5275,2020-10-19,213.72,222.3,214.22,213.653173313,220.415
5274,2020-10-16,219.32,222.29,219.66,219.078779059,220.15
5273,2020-10-15,216.01,220.36,219.66,219.078779059,217.1
5272,2020-10-14,219.13,224.22,220.86,220.275603856,223.0
5271,2020-10-13,220.43,225.21,222.86,222.27031185,222.72
5270,2020-10-12,216.81,223.86,221.4,220.814175014,218.79
5269,2020-10-09,211.23,215.86,215.81,215.238966169,211.23
5268,2020-10-08,208.32,211.19,210.58,210.022804763,210.51
5267,2020-10-07,206.72,210.11,209.83,209.274789265,207.06
5266,2020-10-06,204.82,210.18,205.91,205.365161595,208.82
5265,2020-10-05,206.98,210.41,210.38,209.823333963,207.22
5264,2020-10-02,205.54,210.99,206.19,205.644420714,208.0
5263,2020-10-01,211.32,213.99,212.46,211.897830278,213.49
5262,2020-09-30,206.54,211.98,210.33,209.773466263,207.73
5261,2020-09-29,206.81,210.07,207.26,206.711589492,209.35
5260,2020-09-28,208.06,212.57,209.44,208.885821206,210.88
5259,2020-09-25,202.54,209.04,207.82,207.27010773,203.55
5258,2020-09-24,199.2,205.57,203.19,202.652358722,199.85
5257,2020-09-23,200.03,208.1,200.59,200.059238329,207.9
5256,2020-09-22,202.075,208.1,207.42,206.871166131,205.06
5255,2020-09-21,196.38,202.71,202.54,202.004078624,197.19
5254,2020-09-18,196.25,203.65,200.39,199.85976753,202.8
5253,2020-09-17,199.96,204.33,202.91,202.373099603,200.05
5252,2020-09-16,204.64,210.65,205.05,204.507437157,210.62
5251,2020-09-15,206.93,209.78,208.78,208.227567568,208.42
5250,2020-09-14,204.03,209.2,205.41,204.866484596,204.24
5249,2020-09-11,201.24,208.63,204.03,203.49013608,207.2
5248,2020-09-10,204.11,214.74,205.37,204.826590437,213.4
5247,2020-09-09,206.7,214.8399,211.29,210.730926101,207.6
5246,2020-09-08,202.2,210.03,202.66,202.123761104,206.5
5245,2020-09-04,205.19,218.3599,214.25,213.683093933,215.1
5244,2020-09-03,214.9602,229.31,217.3,216.725023625,229.27
5243,2020-09-02,227.35,232.86,231.65,231.037053487,227.97
5242,2020-09-01,224.43,227.45,227.27,226.668642979,225.51
5241,2020-08-31,224.31,228.7,225.53,224.933247023,227.0
5240,2020-08-28,226.58,230.644,228.91,228.304303534,228.18
5239,2020-08-27,219.4,231.15,226.58,225.98046872,222.89
5238,2020-08-26,217.36,222.09,221.15,220.564836515,217.88
5237,2020-08-25,213.1,216.61,216.47,215.897219807,213.1
5236,2020-08-24,212.43,215.52,213.69,213.124575695,214.79
5235,2020-08-21,212.85,216.25,213.02,212.456348516,213.86
5234,2020-08-20,208.91,215.0,214.58,214.012220752,209.54
5233,2020-08-19,209.25,212.1,209.7,209.145133245,211.49
5232,2020-08-18,209.21,212.36,211.49,210.418649113,210.53
5231,2020-08-17,208.915,211.1874,210.28,209.214778644,209.6
5230,2020-08-14,207.51,209.59,208.9,207.841769349,208.76
5229,2020-08-13,208.15,211.35,208.7,207.642782495,209.44
5228,2020-08-12,204.75,210.28,209.19,208.130300288,205.29
5227,2020-08-11,203.14,207.65,203.38,202.34973217,207.155
5226,2020-08-10,206.35,211.88,208.25,207.195062073,211.67
5225,2020-08-07,210.93,215.7,212.48,211.403634042,214.85
5224,2020-08-06,211.55,216.3705,216.35,215.254029673,212.34
5223,2020-08-05,211.57,215.0,212.94,211.861303807,214.9
5222,2020-08-04,210.31,214.77,213.29,212.209530802,214.17
5221,2020-08-03,210.44,217.64,216.54,215.443067185,211.52
5220,2020-07-31,199.01,205.1,205.01,203.971475033,204.4
5219,2020-07-30,199.57,204.46,203.9,202.867097991,201.0
5218,2020-07-29,202.01,204.65,204.06,203.026287474,202.5
5217,2020-07-28,201.74,204.7,202.02,200.99662156,203.61
5216,2020-07-27,200.86,203.97,203.85,202.817351277,201.47
5215,2020-07-24,197.51,202.86,201.3,200.280268885,200.42
5214,2020-07-23,202.15,210.92,202.54,201.513987382,207.19
5213,2020-07-22,208.39,212.3,211.75,210.677332023,209.2
5212,2020-07-21,208.03,213.94,208.75,207.692529209,213.66
5211,2020-07-20,203.01,212.3,211.6,210.528091883,205.0
5210,2020-07-17,201.39,205.04,202.88,201.852265034,204.47
5209,2020-07-16,202.31,205.7,203.92,202.886996676,205.4
5208,2020-07-15,205.03,211.33,208.04,206.986125876,209.56
5207,2020-07-14,202.03,208.85,208.35,207.2945555,206.13
5206,2020-07-13,206.5,215.8,207.07,206.021039632,214.48
5205,2020-07-10,211.08,214.08,213.67,212.587605825,213.62
5204,2020-07-09,211.47,216.38,214.32,213.234313102,216.33
5203,2020-07-08,208.69,213.26,212.83,211.751861037,210.07
5202,2020-07-07,207.99,214.67,208.25,207.195062073,210.45
