,Date,Low,High,Close,Adjusted Close,Open
4660,2020-11-24,475.89,484.05,482.88,482.88,478.84
4659,2020-11-23,475.84,491.15,476.62,476.62,490.46
4658,2020-11-20,481.57,494.76,488.24,488.24,485.22
4657,2020-11-19,480.47,487.8,484.67,484.67,482.0
4656,2020-11-18,477.7212,488.61,481.79,481.79,481.95
4655,2020-11-17,478.8525,487.51,480.63,480.63,480.12
4654,2020-11-16,477.3,485.58,479.1,479.1,480.0
4653,2020-11-13,477.8,488.94,482.84,482.84,486.77
4652,2020-11-12,480.4255,496.52,486.77,486.77,491.0
4651,2020-11-11,478.26,491.68,490.76,490.76,483.0
4650,2020-11-10,463.41,484.6,480.24,480.24,470.95
4649,2020-11-09,467.26,495.85,470.5,470.5,485.54
4648,2020-11-06,502.51,515.21,514.73,514.73,515.0
4647,2020-11-05,503.45,518.7337,513.76,513.76,506.56
4646,2020-11-04,493.98,507.73,496.95,496.95,495.36
4645,2020-11-03,478.76,495.305,487.22,487.22,484.93
4644,2020-11-02,475.0,486.3,484.12,484.12,478.87
4643,2020-10-30,472.21,505.88,475.74,475.74,502.01
4642,2020-10-29,479.34,513.8999,504.21,504.21,488.5
4641,2020-10-28,483.28,494.0,486.24,486.24,486.36
4640,2020-10-27,482.93,490.49,488.93,488.93,490.01
4639,2020-10-26,478.9,496.82,488.24,488.24,487.025
4638,2020-10-23,481.35,490.06,488.28,488.28,488.11
4637,2020-10-22,482.0,495.14,485.23,485.23,494.69
4636,2020-10-21,488.25,506.85,489.05,489.05,501.03
4635,2020-10-20,522.26,533.78,525.42,525.42,528.14
4634,2020-10-19,525.38,541.8,530.72,530.72,537.07
4633,2020-10-16,530.03,554.33,530.79,530.79,549.5
4632,2020-10-15,535.1,551.22,541.94,541.94,545.52
4631,2020-10-14,541.0,572.49,541.45,541.45,562.61
4630,2020-10-13,537.2,557.65,554.09,554.09,540.56
4629,2020-10-12,538.24,551.81,539.81,539.81,548.81
4628,2020-10-09,535.0,544.28,539.44,539.44,537.8339
4627,2020-10-08,524.15,535.0,531.79,531.79,533.48
4626,2020-10-07,515.815,536.49,534.66,534.66,518.0
4625,2020-10-06,504.16,521.82,505.87,505.87,518.72
4624,2020-10-05,501.6997,520.99,520.65,520.65,506.8
4623,2020-10-02,502.7,526.3714,503.06,503.06,516.43
4622,2020-10-01,503.6,529.55,527.51,527.51,506.03
4621,2020-09-30,489.2704,504.63,500.03,500.03,492.57
4620,2020-09-29,486.53,496.2868,493.48,493.48,489.5
4619,2020-09-28,477.88,492.0,490.65,490.65,489.1094
4618,2020-09-25,468.0258,484.87,482.88,482.88,474.39
4617,2020-09-24,467.82,477.0,473.08,473.08,470.53
4616,2020-09-23,469.0,491.04,470.61,470.61,491.04
4615,2020-09-22,479.26,491.82,491.17,491.17,489.01
4614,2020-09-21,466.32,487.775,487.35,487.35,467.6923
4613,2020-09-18,458.6,479.4,469.96,469.96,472.51
4612,2020-09-17,463.27,478.4,470.2,470.2,475.16
4611,2020-09-16,483.31,504.66,483.86,483.86,499.99
4610,2020-09-15,481.63,497.47,495.99,495.99,484.0
4609,2020-09-14,471.3001,488.99,476.26,476.26,480.62
4608,2020-09-11,476.81,493.73,482.03,482.03,486.485
4607,2020-09-10,478.84,506.29,480.67,480.67,503.35
4606,2020-09-09,492.5743,520.0,500.19,500.19,519.21
4605,2020-09-08,495.0,522.0,507.02,507.02,498.4
4604,2020-09-04,485.98,527.36,516.05,516.05,520.18
4603,2020-09-03,521.32,554.0,525.75,525.75,545.0
4602,2020-09-02,537.369,556.5,552.84,552.84,553.78
4601,2020-09-01,532.45,557.3895,556.55,556.55,532.6
4600,2020-08-31,517.58,531.99,529.56,529.56,521.16
4599,2020-08-28,522.0,539.0,523.89,523.89,532.0
4598,2020-08-27,521.2471,541.0,526.27,526.27,537.775
4597,2020-08-26,492.075,549.04,547.53,547.53,492.5
4596,2020-08-25,485.09,492.47,490.58,490.58,488.19
4595,2020-08-24,483.16,501.0,488.81,488.81,495.4383
4594,2020-08-21,490.0,498.13,492.31,492.31,496.46
4593,2020-08-20,483.89,498.94,497.9,497.9,484.69
4592,2020-08-19,483.5,494.4985,484.53,484.53,493.93
4591,2020-08-18,482.8,495.3,491.87,491.87,484.35
4590,2020-08-17,479.1,486.24,482.35,482.35,484.19
4589,2020-08-14,480.21,488.325,482.68,482.68,482.82
4588,2020-08-13,476.45,484.45,481.33,481.33,478.4
4587,2020-08-12,470.18,482.49,475.47,475.47,471.34
4586,2020-08-11,466.55,480.92,466.93,466.93,479.75
4585,2020-08-10,478.6269,497.4584,483.38,483.38,493.35
4584,2020-08-07,486.68,508.29,494.73,494.73,505.45
4583,2020-08-06,498.7,510.82,509.08,509.08,504.11
4582,2020-08-05,501.2,510.1021,502.11,502.11,508.68
4581,2020-08-04,498.65,510.4436,509.64,509.64,498.65
4580,2020-08-03,490.23,503.09,498.62,498.62,490.86
4579,2020-07-31,484.5,494.8,488.88,488.88,488.29
4578,2020-07-30,477.5101,488.35,485.8,485.8,480.7072
4577,2020-07-29,484.13,494.92,484.48,484.48,492.25
4576,2020-07-28,487.7601,497.7927,488.51,488.51,496.02
4575,2020-07-27,482.31,496.92,495.65,495.65,484.51
4574,2020-07-24,467.54,487.17,480.45,480.45,468.77
4573,2020-07-23,472.0201,491.9,477.58,477.58,491.13
4572,2020-07-22,487.2,497.2,489.82,489.82,492.19
4571,2020-07-21,488.61,506.22,490.1,490.1,506.0
4570,2020-07-20,484.2,504.5,502.41,502.41,489.14
4569,2020-07-17,484.14,503.59,492.99,492.99,494.87
4568,2020-07-16,504.36,535.54,527.39,527.39,526.48
4567,2020-07-15,510.18,529.0,523.26,523.26,516.3
4566,2020-07-14,490.49,525.5,524.88,524.88,517.08
4565,2020-07-13,520.96,575.37,525.5,525.5,567.98
4564,2020-07-10,511.28,555.88,548.73,548.73,519.73
4563,2020-07-09,495.78,510.0,507.76,507.76,508.4
4562,2020-07-08,493.81,505.1,502.78,502.78,498.58
4561,2020-07-07,490.83,504.82,493.16,493.16,497.31
4560,2020-07-06,479.8,499.5,493.81,493.81,480.77
4559,2020-07-02,475.53,492.28,476.89,476.89,485.64
4558,2020-07-01,454.0,488.23,485.64,485.64,454.0
4557,2020-06-30,447.0,457.59,455.04,455.04,450.02
4556,2020-06-29,432.14,447.67,447.24,447.24,445.23
4555,2020-06-26,442.24,468.03,443.4,443.4,466.39
4554,2020-06-25,454.0,467.01,465.91,465.91,458.86
4553,2020-06-24,454.0,472.36,457.85,457.85,468.54
4552,2020-06-23,464.5,474.01,466.26,466.26,466.5
4551,2020-06-22,454.21,468.59,468.04,468.04,455.01
4550,2020-06-19,445.6,453.97,453.72,453.72,449.12
4549,2020-06-18,442.8,452.76,449.87,449.87,448.73
4548,2020-06-17,439.22,450.46,447.77,447.77,441.82
4547,2020-06-16,425.18,437.96,436.13,436.13,425.76
4546,2020-06-15,415.4238,426.49,425.5,425.5,421.4
4545,2020-06-12,412.45,434.06,418.07,418.07,429.0
4544,2020-06-11,424.1601,445.57,425.56,425.56,428.2
4543,2020-06-10,430.55,439.69,434.48,434.48,436.0
4542,2020-06-09,420.31,434.73,434.05,434.05,421.65
4541,2020-06-08,406.5,420.8,419.49,419.49,416.0
4540,2020-06-05,404.25,420.2392,419.6,419.6,407.29
4539,2020-06-04,410.03,428.71,414.33,414.33,422.39
