,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,133.62,135.7999,135.54,135.54,134.25
5301,2020-11-24,134.21,135.99,134.7,134.7,135.0
5300,2020-11-23,133.09,134.89,134.13,134.13,134.38
5299,2020-11-20,131.91,133.53,132.98,132.98,133.3
5298,2020-11-19,129.93,132.11,131.91,131.91,131.92
5297,2020-11-18,131.53,133.98,131.63,131.63,133.07
5296,2020-11-17,129.11,132.6,132.21,132.21,130.48
5295,2020-11-16,127.37,130.32,130.11,130.11,129.46
5294,2020-11-13,126.83,128.6,128.28,128.28,127.91
5293,2020-11-12,125.625,127.8386,126.64,126.64,126.62
5292,2020-11-11,127.18,129.7985,127.66,127.66,128.69
5291,2020-11-10,126.25,130.115,127.71,127.71,130.05
5290,2020-11-09,128.7652,136.35,128.95,128.95,135.06
5289,2020-11-06,128.3477,129.91,128.9,128.9,129.91
5288,2020-11-05,128.46,130.41,129.7,129.7,129.19
5287,2020-11-04,125.26,128.93,127.34,127.34,125.33
5286,2020-11-03,123.19,125.5,124.59,124.59,124.01
5285,2020-11-02,121.1,124.1,122.39,122.39,122.37
5284,2020-10-30,118.8,123.66,120.08,120.08,123.66
5283,2020-10-29,121.15,124.19,122.86,122.86,122.28
5282,2020-10-28,121.04,126.4,122.08,122.08,125.28
5281,2020-10-27,127.9,129.49,127.99,127.99,128.78
5280,2020-10-26,126.68,129.62,128.37,128.37,129.06
5279,2020-10-23,128.65,130.6,129.99,129.99,130.0
5278,2020-10-22,128.8601,130.26,130.02,130.02,129.6
5277,2020-10-21,128.45,131.38,129.43,129.43,128.5
5276,2020-10-20,127.72,129.9,128.49,128.49,128.0
5275,2020-10-19,127.05,129.78,127.43,127.43,129.1
5274,2020-10-16,127.55,130.19,128.0,128.0,129.51
5273,2020-10-15,126.11,129.0999,129.0,129.0,126.48
5272,2020-10-14,127.01,129.6,127.66,127.66,129.53
5271,2020-10-13,127.96,129.87,129.2,129.2,128.05
5270,2020-10-12,129.26,131.34,129.46,129.46,131.19
5269,2020-10-09,129.3254,131.19,130.98,130.98,129.99
5268,2020-10-08,129.51,130.9289,129.71,129.71,130.4
5267,2020-10-07,128.25,130.41,130.06,130.06,128.4
5266,2020-10-06,127.2654,130.44,127.65,127.65,128.84
5265,2020-10-05,126.45,128.5,127.91,127.91,127.07
5264,2020-10-02,123.59,126.8,126.64,126.64,124.35
5263,2020-10-01,125.31,127.73,126.64,126.64,127.73
