,Date,Low,High,Close,Adjusted Close,Open
5301,2020-11-24,515.4,526.48,518.31,518.31,525.7
5300,2020-11-23,520.62,535.3,525.6,525.6,526.8452
5299,2020-11-20,522.6,539.7799,523.51,523.51,538.16
5298,2020-11-19,524.0,539.5,537.61,537.61,528.51
5297,2020-11-18,527.4,544.23,537.15,537.15,538.61
5296,2020-11-17,532.1549,543.85,536.89,536.89,542.1
5295,2020-11-16,526.2401,545.98,540.61,540.61,526.9
5294,2020-11-13,522.37,546.7499,531.88,531.88,545.0911
5293,2020-11-12,532.64,550.64,538.27,538.27,539.1569
5292,2020-11-11,517.93,537.395,536.72,536.72,522.15
5291,2020-11-10,505.13,544.26,510.8,510.8,544.26
5290,2020-11-09,544.43,587.66,545.23,545.23,582.1
5289,2020-11-06,555.8,583.55,582.48,582.48,564.39
5288,2020-11-05,559.64,573.56,566.4,566.4,566.5
5287,2020-11-04,533.475,553.1,551.77,551.77,535.57
5286,2020-11-03,504.11,524.2,520.78,520.78,508.34
5285,2020-11-02,495.8,513.4663,503.23,503.23,506.31
5284,2020-10-30,492.0,517.455,501.36,501.36,514.0
5283,2020-10-29,510.0,527.71,520.96,520.96,513.54
5282,2020-10-28,504.36,530.4,505.08,505.08,527.92
5281,2020-10-27,527.66,537.68,535.87,535.87,532.24
5280,2020-10-26,521.54,547.7117,525.65,525.65,537.08
5279,2020-10-23,531.65,543.73,543.61,543.61,538.0
5278,2020-10-22,529.27,544.47,534.44,534.44,540.9
5277,2020-10-21,539.1001,551.66,540.99,540.99,545.0
5276,2020-10-20,540.2801,551.99,545.82,545.82,543.34
5275,2020-10-19,536.27,559.3399,539.91,539.91,556.115
5274,2020-10-16,551.7,564.86,552.46,552.46,561.47
5273,2020-10-15,550.71,560.23,558.8,558.8,552.4272
5272,2020-10-14,558.4,573.71,563.81,563.81,571.62
5271,2020-10-13,560.745,573.9399,569.93,569.93,571.86
5270,2020-10-12,556.5,573.88,569.04,569.04,559.58
5269,2020-10-09,546.43,552.97,550.51,550.51,550.68
5268,2020-10-08,550.32,563.38,553.55,553.55,563.0
5267,2020-10-07,554.54,564.77,558.56,558.56,559.99
5266,2020-10-06,546.6,565.68,549.46,549.46,553.2
5265,2020-10-05,528.9106,545.77,545.7,545.7,529.44
5264,2020-10-02,522.04,540.78,522.49,522.49,529.0
5263,2020-10-01,538.4301,550.5095,544.58,544.58,550.32
5262,2020-09-30,526.01,544.9,541.22,541.22,526.3
5261,2020-09-29,517.33,537.71,529.03,529.03,517.5
5260,2020-09-28,510.0,522.07,521.4,521.4,521.61
5259,2020-09-25,489.83,515.34,514.95,514.95,497.9
5258,2020-09-24,480.56,502.78,493.92,493.92,482.89
5257,2020-09-23,483.17,509.08,484.95,484.95,503.02
5256,2020-09-22,486.222,505.9199,505.51,505.51,503.0
5255,2020-09-21,476.18,500.9,500.69,500.69,477.0
5254,2020-09-18,479.55,505.3,487.57,487.57,503.75
5253,2020-09-17,481.39,503.59,498.54,498.54,485.2894
5252,2020-09-16,500.55,523.71,500.58,500.58,518.29
5251,2020-09-15,513.11,531.95,519.64,519.64,531.2
5250,2020-09-14,505.2457,532.6,514.89,514.89,523.24
5249,2020-09-11,475.83,506.1,486.58,486.58,499.42
5248,2020-09-10,486.68,522.61,492.47,492.47,519.57
5247,2020-09-09,489.27,512.37,508.6,508.6,496.0
5246,2020-09-08,468.17,502.0,476.52,476.52,469.38
5245,2020-09-04,468.19,527.0,504.9,504.9,511.35
5244,2020-09-03,515.15,555.38,520.62,520.62,553.1454
5243,2020-09-02,556.0,589.0699,573.86,573.86,588.15
5242,2020-09-01,537.46,559.75,552.84,552.84,539.2
5241,2020-08-31,521.51,543.0,534.98,534.825213743,527.3114
5240,2020-08-28,505.7,525.92,525.91,525.757837975,506.9965
5239,2020-08-27,502.6573,514.0,505.13,504.983850271,511.26
5238,2020-08-26,507.11,514.7396,510.92,510.772175045,511.9694
5237,2020-08-25,502.95,510.45,510.0,509.85244123,505.23
5236,2020-08-24,500.3,516.5,508.81,508.662785533,515.35
5235,2020-08-21,487.8064,512.348,507.34,507.19321085,488.07
5234,2020-08-20,475.15,495.0,485.64,485.499489331,479.0
5233,2020-08-19,483.92,492.6,485.54,485.399518264,491.86
5232,2020-08-18,483.45,499.84,490.43,490.288103436,498.0
5231,2020-08-17,472.6876,496.39,493.48,493.337220976,474.05
5230,2020-08-14,457.62,468.19,462.56,462.426167089,461.2
5229,2020-08-13,454.23,468.87,457.72,457.58756745,461.84
5228,2020-08-12,438.33,458.68,457.61,457.477599277,439.63
5227,2020-08-11,431.83,445.47,434.0,433.87443038,442.95
5226,2020-08-10,434.26,456.33,446.6,446.47078481,453.37
5225,2020-08-07,441.5,460.19,447.98,447.850385533,452.5
5224,2020-08-06,447.15,454.32,453.42,453.288811573,453.99
5223,2020-08-05,446.65,454.8672,451.47,451.339375769,449.76
5222,2020-08-04,436.2401,449.11,449.11,448.98005859,442.0
5221,2020-08-03,428.61,443.95,440.41,440.282575769,429.3
5220,2020-07-31,417.32,430.66,424.59,424.467152984,422.53
5219,2020-07-30,411.81,424.9218,424.56,424.437161664,415.0
5218,2020-07-29,413.88,420.65,418.62,418.498880289,415.632
5217,2020-07-28,408.37,415.28,408.62,408.501773599,414.97
5216,2020-07-27,408.71,417.67,416.86,416.739389512,409.29
5215,2020-07-24,391.08,414.59,407.78,407.662016637,395.0
5214,2020-07-23,401.25,421.88,405.19,405.072766004,418.0
5213,2020-07-22,411.6623,424.1,417.55,417.429189873,414.7
5212,2020-07-21,411.47,422.4,413.14,413.020465823,420.52
5211,2020-07-20,406.27,421.25,420.43,420.3083566,410.97
5210,2020-07-17,403.51,409.94,408.06,407.941935624,409.02
5209,2020-07-16,395.82,408.27,405.39,405.272708137,400.6
5208,2020-07-15,402.23,417.32,409.09,408.971637613,416.57
5207,2020-07-14,391.42,416.11,415.08,414.959904521,403.0
5206,2020-07-13,401.0,431.69,402.09,401.973662929,423.8
5205,2020-07-10,415.15,426.21,419.17,419.048721157,423.55
5204,2020-07-09,409.34,422.8,420.36,420.238376854,415.21
5203,2020-07-08,398.62,409.0,408.64,408.521767812,399.75
5202,2020-07-07,394.03,402.8,394.87,394.755751899,397.85
5201,2020-07-06,388.5,396.35,393.57,393.456128029,389.67
5200,2020-07-02,383.13,389.5,384.49,384.378755154,385.56
5199,2020-07-01,376.52,383.03,381.2,381.089707052,380.83
5198,2020-06-30,370.66,381.05,379.91,379.800080289,372.56
5197,2020-06-29,356.0,368.18,368.0,367.893526221,366.79
5196,2020-06-26,365.0,380.0,366.2,366.094047016,380.0
5195,2020-06-25,367.29,380.2,379.6,379.490169982,374.23
5194,2020-06-24,365.78,382.26,369.42,369.313115371,379.05
5193,2020-06-23,376.3,385.7,378.0,377.890632911,382.04
5192,2020-06-22,370.93,381.25,381.07,380.959744665,372.0
5191,2020-06-19,369.09,377.8,370.45,370.34281736,369.7
5190,2020-06-18,364.58,371.3,368.72,368.613317902,369.08
5189,2020-06-17,362.81,371.96,369.44,369.333109584,364.55
5188,2020-06-16,353.55,370.67,362.74,362.635048101,369.0
5187,2020-06-15,349.75,367.29,366.95,366.843830018,352.61
5186,2020-06-12,348.13,367.49,357.3,357.196622061,366.5
5185,2020-06-11,351.44,370.45,351.85,351.748198915,366.0
5184,2020-06-10,366.14,380.0,374.67,374.561596383,366.71
5183,2020-06-09,350.05,364.39,361.84,361.735308499,352.0
5182,2020-06-08,347.43,355.59,352.2,352.098097649,355.09
5181,2020-06-05,348.32,359.88,356.8,356.696766727,351.78
5180,2020-06-04,347.1,357.73,350.66,350.558543219,349.12
5179,2020-06-03,348.0,354.65,350.78,350.51857303,352.89
5178,2020-06-02,346.32,353.49,353.01,352.74691107,351.85
5177,2020-06-01,347.58,353.63,352.25,351.987477478,353.33
