,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,88.89,89.57,89.18,89.18,89.02
5301,2020-11-24,87.73,88.43,88.3,88.3,87.76
5300,2020-11-23,86.94,87.41,87.31,87.31,87.15
5299,2020-11-20,86.96,87.55,87.52,87.52,87.02
5298,2020-11-19,86.08,87.235,87.2,87.2,86.36
5297,2020-11-18,85.72,86.72,85.72,85.72,86.65
5296,2020-11-17,86.3702,87.05,86.52,86.52,86.95
5295,2020-11-16,86.12,86.62,86.41,86.41,86.29
5294,2020-11-13,85.59,86.22,86.1,86.1,85.72
5293,2020-11-12,85.4,86.43,85.62,85.62,86.43
5292,2020-11-11,85.399,86.2,86.0,86.0,85.94
5291,2020-11-10,84.17,84.91,84.25,84.25,84.77
5290,2020-11-09,83.91,85.775,83.93,83.93,85.18
5289,2020-11-06,84.38,85.03,84.72,84.72,84.68
5288,2020-11-05,83.77,84.55,84.23,84.23,84.47
5287,2020-11-04,83.43,85.04,83.76,83.76,83.44
5286,2020-11-03,81.02,81.7573,81.05,81.05,81.43
5285,2020-11-02,78.61,79.96,79.77,79.77,79.21
5284,2020-10-30,77.04,78.08,78.08,78.08,77.71
5283,2020-10-29,77.06,78.46,78.07,78.07,77.66
5282,2020-10-28,78.31,79.72,78.36,78.36,79.39
5281,2020-10-27,80.8,82.324,80.95,80.95,81.99
5280,2020-10-26,83.5,84.4,84.18,84.18,84.1
5279,2020-10-23,84.12,84.88,84.43,84.43,84.63
5278,2020-10-22,84.04,84.67,84.41,84.41,84.21
5277,2020-10-21,84.13,85.21,84.14,84.14,84.93
5276,2020-10-20,85.33,86.07,85.69,85.69,85.49
5275,2020-10-19,85.4483,86.88,85.79,85.79,86.75
5274,2020-10-16,85.91,87.0,86.19,86.19,85.99
5273,2020-10-15,84.95,85.86,85.39,85.39,85.4
5272,2020-10-14,87.03,87.92,87.43,87.43,87.84
5271,2020-10-13,87.33,88.54,87.43,87.43,88.48
5270,2020-10-12,88.09,88.91,88.23,88.23,88.84
5269,2020-10-09,88.18,88.7,88.39,88.39,88.38
5268,2020-10-08,86.75,87.59,87.54,87.54,86.86
5267,2020-10-07,85.37,86.27,85.94,85.94,86.03
5266,2020-10-06,86.3301,87.92,86.45,86.45,87.86
5265,2020-10-05,87.97,88.49,88.27,88.27,88.2
5264,2020-10-02,86.76,87.81,87.52,87.52,86.88
5263,2020-10-01,87.04,88.32,87.3,87.3,88.3
5262,2020-09-30,86.48,87.47,86.96,86.96,87.29
5261,2020-09-29,86.68,88.1,87.04,87.04,88.1
5260,2020-09-28,86.99,87.74,87.05,87.05,87.36
5259,2020-09-25,85.99,87.24,87.11,87.11,85.99
5258,2020-09-24,85.85,86.93,86.3,86.3,86.66
5257,2020-09-23,87.35,88.69,87.45,87.45,88.58
5256,2020-09-22,88.33,89.5,88.92,88.92,89.3
5255,2020-09-21,88.35,89.71,89.5,89.5,89.61
5254,2020-09-18,90.3,91.86,90.94,90.94,91.86
5253,2020-09-17,89.89,90.99,90.97,90.97,90.24
5252,2020-09-16,89.68,92.27,89.85,89.85,92.27
5251,2020-09-15,90.87,91.97,91.0,91.0,91.73
5250,2020-09-14,89.55,90.5213,90.03,90.03,89.58
5249,2020-09-11,89.34,90.68,89.88,89.88,90.42
5248,2020-09-10,88.37,89.87,88.52,88.52,89.72
5247,2020-09-09,88.22,89.12,88.22,88.22,88.4
5246,2020-09-08,86.47,87.9,87.33,87.33,86.9
5245,2020-09-04,85.44,87.48,86.68,86.68,87.3
5244,2020-09-03,86.56,89.23,87.1,87.1,89.23
5243,2020-09-02,87.74,88.95,88.86,88.86,87.8
