,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,36.24,36.56,36.53,36.53,36.53
5301,2020-11-24,36.02,36.74,36.6,36.6,36.13
5300,2020-11-23,36.21,37.09,36.52,36.52,37.03
5299,2020-11-20,36.44,37.31,36.7,36.7,36.7
5298,2020-11-19,35.86,36.63,36.19,36.19,36.6
5297,2020-11-18,36.3,37.42,36.32,36.32,36.93
5296,2020-11-17,35.82,36.5,36.04,36.04,36.4888
5295,2020-11-16,36.85,37.95,37.33,35.4174573055,37.86
5294,2020-11-13,37.705,38.655,38.62,36.6413662239,37.87
5293,2020-11-12,37.24,38.34,37.55,35.6261859583,38.28
5292,2020-11-11,37.9,40.2,38.5,36.5275142315,38.88
5291,2020-11-10,38.46,40.54,38.68,36.6982922201,40.45
5290,2020-11-09,38.38,41.99,39.2,37.1916508539,41.86
5289,2020-11-06,36.09,36.72,36.4,34.5351043643,36.39
5288,2020-11-05,36.39,37.3,36.39,34.5256166983,37.25
5287,2020-11-04,36.96,38.12,37.33,35.051435174,37.06
5286,2020-11-03,36.08,36.62,36.19,33.9810189913,36.43
5285,2020-11-02,35.54,36.25,36.23,34.0185774539,35.93
5284,2020-10-30,34.84,35.535,35.48,33.3143562811,35.24
5283,2020-10-29,34.6,35.64,35.28,33.1265639683,35.48
5282,2020-10-28,35.32,37.13,35.45,33.2861874342,36.8
5281,2020-10-27,36.87,38.12,37.43,35.1453313304,37.04
5280,2020-10-26,37.48,38.02,37.92,35.6054224966,37.87
5279,2020-10-23,37.6474,38.285,38.18,35.8495525031,37.93
5278,2020-10-22,37.03,37.57,37.43,35.1453313304,37.08
5277,2020-10-21,37.06,37.45,37.08,34.816694783,37.355
5276,2020-10-20,37.35,37.89,37.49,35.2016690242,37.87
5275,2020-10-19,37.64,38.8479,37.8,35.4927471089,38.42
5274,2020-10-16,37.02,38.12,37.95,35.6335913435,37.07
5273,2020-10-15,36.41,36.74,36.55,34.3190451543,36.63
5272,2020-10-14,36.57,37.3,36.86,34.610123239,37.01
5271,2020-10-13,36.63,37.125,36.9,34.6476817016,36.67
5270,2020-10-12,36.465,37.18,36.82,34.5725647765,36.7
5269,2020-10-09,36.59,37.1174,36.79,34.5443959296,36.83
5268,2020-10-08,36.51,37.18,36.89,34.6382920859,36.6
5267,2020-10-07,36.03,36.59,36.47,34.2439282292,36.26
5266,2020-10-06,36.09,37.03,36.17,33.9622397601,37.0
5265,2020-10-05,36.34,36.88,36.75,34.506837467,36.53
5264,2020-10-02,36.03,36.66,36.38,34.1594216884,36.06
5263,2020-10-01,36.1628,37.09,36.37,34.1500320728,36.91
5262,2020-09-30,36.25,36.959,36.7,34.4598893888,36.27
5261,2020-09-29,36.035,36.54,36.17,33.9622397601,36.43
5260,2020-09-28,36.16,36.575,36.39,34.1688113041,36.16
5259,2020-09-25,35.52,36.15,36.05,33.8495643724,35.54
5258,2020-09-24,35.54,36.04,35.76,33.5772655189,35.95
5257,2020-09-23,35.965,36.3779,36.0,33.8026162942,36.34
5256,2020-09-22,35.74,36.33,36.25,34.0373566852,35.81
5255,2020-09-21,35.375,36.48,36.02,33.8213955255,36.37
5254,2020-09-18,36.57,37.07,36.63,34.3941620794,36.78
5253,2020-09-17,36.55,36.97,36.82,34.5725647765,36.78
5252,2020-09-16,36.72,37.31,36.78,34.5350063139,37.28
5251,2020-09-15,36.81,37.35,36.96,34.7040193954,37.19
5250,2020-09-14,36.28,37.5384,37.01,34.7509674736,36.36
5249,2020-09-11,35.45,36.11,36.07,33.8683436037,35.74
5248,2020-09-10,35.5831,36.32,35.65,33.4739797469,36.2
5247,2020-09-09,36.14,36.65,36.18,33.9716293757,36.29
5246,2020-09-08,35.68,36.61,35.93,33.7368889848,36.53
5245,2020-09-04,35.87,36.63,36.36,34.1406424572,36.49
5244,2020-09-03,36.1,37.49,36.4,34.1782009197,37.37
5243,2020-09-02,36.4,37.3,37.2,34.9293701707,36.7699
5242,2020-09-01,36.51,37.82,36.88,34.6289024703,37.79
5241,2020-08-31,37.5,38.02,37.79,35.4833574933,37.84
5240,2020-08-28,37.4,38.06,37.91,35.5960328809,37.87
5239,2020-08-27,37.68,38.0,37.86,35.5490848028,37.96
5238,2020-08-26,37.66,38.27,38.05,35.7274874999,38.19
5237,2020-08-25,37.95,38.56,38.41,36.0655136628,38.51
