,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,138.04,139.39,138.68,138.68,138.16
5301,2020-11-24,138.07,139.84,138.31,138.31,138.83
5300,2020-11-23,137.8627,139.95,138.76,138.76,139.32
5299,2020-11-20,138.63,140.35,139.3,139.3,139.53
5298,2020-11-19,138.447,140.115,139.53,139.53,139.87
5297,2020-11-18,139.66,142.1,139.7,139.7,141.99
5296,2020-11-17,141.75,143.47,141.88,141.88,141.89
5295,2020-11-16,141.265,144.78,142.43,142.43,144.78
5294,2020-11-13,141.88,144.48,144.28,144.28,142.21
5293,2020-11-12,141.07,142.55,142.15,142.15,142.295
5292,2020-11-11,140.65,143.0,142.07,142.07,141.85
5291,2020-11-10,137.15,140.6206,140.26,140.26,138.1
5290,2020-11-09,137.6,146.92,137.99,137.99,146.15
5289,2020-11-06,142.38,144.07,143.23,143.23,142.67
5288,2020-11-05,141.78,143.53,142.38,142.38,142.44
5287,2020-11-04,140.27,143.0,140.64,140.64,140.46
5286,2020-11-03,139.32,142.66,141.22,141.22,139.32
5285,2020-11-02,137.4359,140.0,138.5,138.5,138.51
5284,2020-10-30,134.68,137.99,137.1,137.1,137.18
5283,2020-10-29,135.7988,139.09,137.57,137.57,137.35
5282,2020-10-28,137.31,140.935,137.66,137.66,140.45
5281,2020-10-27,141.65,143.34,142.36,142.36,141.94
5280,2020-10-26,140.01,142.05,141.3,141.3,141.5
5279,2020-10-23,141.76,142.88,142.38,142.38,141.76
5278,2020-10-22,141.08,142.75,141.45,141.45,141.49
5277,2020-10-21,142.47,144.3368,143.25,142.453689415,142.49
5276,2020-10-20,141.9,145.69,142.48,141.687969758,145.61
5275,2020-10-19,141.13,145.39,141.91,141.121138324,144.47
5274,2020-10-16,143.92,145.87,144.39,143.587352284,144.42
5273,2020-10-15,142.89,144.39,143.83,143.030465261,143.06
5272,2020-10-14,143.08,145.1,144.04,143.239297894,144.18
5271,2020-10-13,143.46,144.84,144.21,143.408352884,143.82
5270,2020-10-12,143.33,145.33,144.49,143.686796395,143.33
5269,2020-10-09,141.7,143.64,142.92,142.125523848,141.84
5268,2020-10-08,140.3635,141.93,141.65,140.862583635,140.56
5267,2020-10-07,139.37,141.39,140.7,139.917864577,140.08
5266,2020-10-06,138.81,140.77,139.61,138.833923764,139.42
5265,2020-10-05,138.3,139.65,139.39,138.61514672,138.72
5264,2020-10-02,136.95,139.12,138.12,137.352206506,137.93
5263,2020-10-01,138.21,139.99,139.24,138.465980553,139.58
5262,2020-09-30,137.81,139.85,138.99,138.217370274,138.16
