,Date,Low,High,Close,Adjusted Close,Open
1349,2020-11-24,198.86,207.0791,206.0,206.0,204.0
1348,2020-11-23,193.92,202.16,200.82,200.82,194.53
1347,2020-11-20,190.96,194.73,192.67,192.67,192.47
1346,2020-11-19,189.57,192.75,190.9,190.9,190.82
1345,2020-11-18,189.54,192.95,190.12,190.12,192.59
1344,2020-11-17,190.63,194.63,192.3,192.3,192.13
1343,2020-11-16,183.54,192.38,191.94,191.94,185.19
1342,2020-11-13,186.85,191.7299,188.62,188.62,191.1069
1341,2020-11-12,188.43,194.9,189.1,189.1,193.95
1340,2020-11-11,186.4,193.1,192.34,192.34,187.4981
1339,2020-11-10,178.6,186.71,183.36,183.36,184.98
1338,2020-11-09,184.44,196.07,184.72,184.72,195.74
1337,2020-11-06,198.55,204.92,202.73,202.73,204.6
1336,2020-11-05,199.37,204.92,204.56,204.56,202.3
1335,2020-11-04,184.1102,195.0,194.29,194.29,186.76
1334,2020-11-03,174.81,188.75,179.81,179.81,177.94
1333,2020-11-02,185.05,192.705,187.76,187.76,189.01
1332,2020-10-30,182.92,195.33,186.13,186.13,193.29
1331,2020-10-29,192.31,197.59,195.04,195.04,194.08
1330,2020-10-28,191.5,198.39,192.31,192.31,196.96
1329,2020-10-27,197.72,201.32,200.43,200.43,198.79
1328,2020-10-26,195.05,203.89,197.22,197.22,200.66
1327,2020-10-23,201.21,206.24,203.04,203.04,206.24
1326,2020-10-22,202.1403,212.34,203.93,203.93,211.9
1325,2020-10-21,206.02,215.83,213.07,213.07,208.3
1324,2020-10-20,200.31,205.47,201.96,201.96,201.14
1323,2020-10-19,199.1,207.23,200.06,200.06,205.52
1322,2020-10-16,202.22,207.47,204.45,204.45,204.44
1321,2020-10-15,198.128,203.48,203.14,203.14,199.99
1320,2020-10-14,200.5,208.948,203.6,203.6,208.2035
1319,2020-10-13,200.11,209.02,207.74,207.74,202.44
1318,2020-10-12,196.6323,204.08,201.51,201.51,199.87
1317,2020-10-09,192.6,197.35,197.27,197.27,194.36
1316,2020-10-08,192.67,196.87,193.06,193.06,196.75
1315,2020-10-07,193.33,195.71,194.61,194.61,193.91
1314,2020-10-06,190.88,197.37,191.66,191.66,196.13
1313,2020-10-05,192.16,196.91,196.85,196.85,193.55
1312,2020-10-02,189.25,196.21,191.91,191.91,192.73
1311,2020-10-01,196.2205,201.27,196.94,196.94,199.26
1310,2020-09-30,193.311,198.72,197.03,197.03,194.06
1309,2020-09-29,191.11,195.78,194.5,194.5,192.64
1308,2020-09-28,188.09,192.47,192.02,192.02,190.9996
1307,2020-09-25,180.13,187.92,187.25,187.25,182.4
1306,2020-09-24,179.6,184.9,182.19,182.19,180.17
