,Date,Low,High,Close,Adjusted Close,Open
5301,2020-11-24,359.29,363.81,363.22,363.22,360.21
5300,2020-11-23,354.865,358.82,357.46,357.46,357.28
5299,2020-11-20,355.25,357.72,355.33,355.33,357.5
5298,2020-11-19,354.15,358.18,357.78,357.78,355.6
5297,2020-11-18,356.24,361.5,356.28,356.28,360.91
5296,2020-11-17,358.34,361.92,360.62,360.62,359.97
5295,2020-11-16,359.59,362.78,362.57,362.57,360.98
5294,2020-11-13,354.71,358.9,358.1,358.1,355.27
5293,2020-11-12,351.26,356.7182,353.21,353.21,355.58
5292,2020-11-11,355.06,357.56,356.67,356.67,356.4
5291,2020-11-10,350.51,355.18,354.04,354.04,353.49
5290,2020-11-09,354.06,364.38,354.56,354.56,363.97
5289,2020-11-06,347.65,351.51,350.16,350.16,349.93
5288,2020-11-05,348.86,352.19,350.24,350.24,349.24
5287,2020-11-04,339.59,347.94,343.54,343.54,340.86
5286,2020-11-03,330.2935,338.25,336.03,336.03,333.69
5285,2020-11-02,327.24,332.36,330.2,330.2,330.2
5284,2020-10-30,322.6,329.69,326.54,326.54,328.28
5283,2020-10-29,325.09,333.395,329.98,329.98,326.91
5282,2020-10-28,326.13,338.2483,326.66,326.66,332.1
5281,2020-10-27,337.99,340.12,338.22,338.22,339.76
5280,2020-10-26,335.62,342.98,339.39,339.39,342.13
5279,2020-10-23,343.13,345.99,345.78,345.78,345.93
5278,2020-10-22,340.65,345.24,344.61,344.61,342.96
5277,2020-10-21,342.4,348.6847,342.73,342.73,343.33
5276,2020-10-20,342.64,346.88,343.38,343.38,343.46
5275,2020-10-19,341.04,349.33,342.01,342.01,348.65
5274,2020-10-16,347.1,350.75,347.29,347.29,348.96
5273,2020-10-15,343.13,348.02,347.5,347.5,343.71
5272,2020-10-14,347.14,351.93,347.93,347.93,350.75
5271,2020-10-13,349.09,352.4651,350.13,350.13,352.28
5270,2020-10-12,349.06,354.02,352.43,352.43,349.59
5269,2020-10-09,344.89,347.35,346.85,346.85,345.56
5268,2020-10-08,341.86,343.85,343.78,343.78,342.85
5267,2020-10-07,338.09,341.63,340.76,340.76,338.12
5266,2020-10-06,334.38,342.17,334.93,334.93,339.91
5265,2020-10-05,336.01,339.96,339.76,339.76,336.06
5264,2020-10-02,331.19,337.0126,333.84,333.84,331.7
5263,2020-10-01,335.01,338.74,337.04,337.04,337.69
5262,2020-09-30,332.88,338.29,334.89,334.89,333.09
5261,2020-09-29,331.6209,334.77,332.37,332.37,333.97
5260,2020-09-28,332.15,334.96,334.19,334.19,333.22
5259,2020-09-25,321.64,329.58,328.73,328.73,322.58
5258,2020-09-24,319.8,326.797,323.5,323.5,321.22
5257,2020-09-23,322.1,331.2,322.64,322.64,330.9
5256,2020-09-22,325.86,330.9,330.3,330.3,328.57
5255,2020-09-21,321.73,327.13,326.97,326.97,325.7
5254,2020-09-18,327.97,335.49,330.65,330.65,335.37
5253,2020-09-17,332.991,337.6996,335.84,334.485242208,333.56
5252,2020-09-16,338.52,343.06,338.82,337.453221072,341.51
5251,2020-09-15,338.4683,342.02,340.17,338.797775256,341.12
5250,2020-09-14,334.2208,340.38,338.46,337.09467329,337.49
5249,2020-09-11,331.0,336.97,334.06,332.712422618,335.82
5248,2020-09-10,332.85,342.53,333.89,332.543108387,341.82
5247,2020-09-09,336.61,342.46,339.79,338.419308152,337.55
5246,2020-09-08,332.88,342.64,333.21,331.865851465,336.71
5245,2020-09-04,334.87,347.83,342.57,341.188093804,346.13
5244,2020-09-03,342.59,356.38,345.39,343.996718098,355.87
5243,2020-09-02,353.43,358.75,357.7,356.25706032,354.67
5242,2020-09-01,349.24,352.71,352.6,351.177633404,350.21
5241,2020-08-31,349.06,351.3,349.31,347.900905061,350.35
5240,2020-08-28,348.15,350.72,350.58,349.165781959,349.44
5239,2020-08-27,346.53,349.9,348.33,346.92485832,348.51
5238,2020-08-26,344.17,347.86,347.57,346.167924113,344.76
5237,2020-08-25,342.27,344.21,344.12,342.7318412,343.53
5236,2020-08-24,339.4504,343.0,342.92,341.536681926,342.12
5235,2020-08-21,337.55,339.72,339.48,338.110558673,337.92
5234,2020-08-20,335.22,338.8,338.28,336.915399399,335.36
5233,2020-08-19,336.62,339.61,337.23,335.869635034,339.05
5232,2020-08-18,336.61,339.1,338.64,337.273947181,338.34
5231,2020-08-17,336.8517,338.34,337.91,336.546891956,337.94
5230,2020-08-14,335.62,337.42,336.84,335.48120827,336.41
5229,2020-08-13,335.83,338.2514,336.83,335.471248609,336.61
5228,2020-08-12,332.8377,338.28,337.44,336.078787907,335.44
5227,2020-08-11,332.01,337.54,332.8,331.45750538,336.85
5226,2020-08-10,332.955,335.77,335.57,334.216331371,335.06
5225,2020-08-07,332.3,334.88,334.57,333.220365309,333.28
5224,2020-08-06,331.13,334.46,334.33,332.981333454,331.4799
5223,2020-08-05,331.18,332.39,332.11,330.770288797,331.47
5222,2020-08-04,327.86,330.06,330.06,328.72855837,327.86
5221,2020-08-03,327.73,329.62,328.79,327.463681472,328.32
5220,2020-07-31,321.33,326.63,326.52,325.202838511,325.9
5219,2020-07-30,319.64,324.41,323.96,322.653165393,321.9
5218,2020-07-29,322.075,325.73,325.12,323.808486025,322.12
5217,2020-07-28,320.85,323.64,321.17,319.874420081,322.43
5216,2020-07-27,320.775,323.41,323.22,321.916150507,321.63
5215,2020-07-24,319.246,321.99,320.88,319.585589923,320.95
5214,2020-07-23,321.48,327.23,322.96,321.657199331,326.47
5213,2020-07-22,324.5,327.2,326.86,325.541466972,324.62
5212,2020-07-21,323.94,326.93,325.01,323.698929758,326.45
5211,2020-07-20,320.62,325.13,324.32,323.011713175,321.43
5210,2020-07-17,319.74,322.57,321.72,320.422201415,321.88
5209,2020-07-16,319.09,321.28,320.79,319.495952977,319.79
5208,2020-07-15,319.27,323.04,321.85,320.551677003,322.41
5207,2020-07-14,312.0,319.76,318.92,317.633496441,313.3
5206,2020-07-13,314.13,322.71,314.84,313.569954909,320.13
5205,2020-07-10,312.76,317.88,317.59,316.308861579,314.31
5204,2020-07-09,310.68,317.1,314.38,313.111810521,316.84
5203,2020-07-08,312.7,316.3,316.18,314.904549432,314.61
5202,2020-07-07,313.37,317.52,313.78,312.514230884,315.38
5201,2020-07-06,315.56,317.68,317.05,315.771039906,316.37
5200,2020-07-02,311.51,315.7,312.23,310.970483488,314.24
5199,2020-07-01,309.07,311.89,310.52,309.267381522,309.57
5198,2020-06-30,303.82,310.2,308.36,307.116094828,303.99
5197,2020-06-29,298.93,304.61,304.46,303.231827187,301.41
5196,2020-06-26,299.42,306.39,300.05,298.839616855,306.16
5195,2020-06-25,301.28,307.64,307.35,306.110169106,303.47
5194,2020-06-24,302.1,310.51,304.09,302.863319744,309.84
5193,2020-06-23,311.61,314.5,312.05,310.791209597,313.49
5192,2020-06-22,306.75,311.05,310.62,309.366978128,307.99
5191,2020-06-19,306.53,314.38,308.64,307.394965326,314.17
5190,2020-06-18,309.51,312.3,311.78,309.153824308,310.01
5189,2020-06-17,310.86,314.39,311.66,309.034835089,314.07
5188,2020-06-16,307.67,315.64,312.96,310.323884969,315.48
5187,2020-06-15,296.74,308.28,307.05,304.463665899,298.02
5186,2020-06-12,298.6,309.08,304.21,301.647587699,308.24
5185,2020-06-11,300.01,312.15,300.61,298.077911108,311.46
5184,2020-06-10,318.22,322.39,319.0,316.313009027,321.42
