,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,28.9,29.29,28.99,28.99,29.28
5301,2020-11-24,28.91,29.44,29.23,29.23,28.93
5300,2020-11-23,28.35,28.7,28.62,28.62,28.39
5299,2020-11-20,28.16,28.42,28.32,28.32,28.22
5298,2020-11-19,28.11,28.51,28.28,28.28,28.51
5297,2020-11-18,28.61,29.17,28.62,28.62,29.05
5296,2020-11-17,28.68,29.13,29.03,29.03,28.78
5295,2020-11-16,28.9,29.23,28.97,28.97,29.11
5294,2020-11-13,28.47,28.99,28.91,28.91,28.57
5293,2020-11-12,28.19,28.58,28.44,28.44,28.5
5292,2020-11-11,28.43,29.0,28.73,28.73,28.97
5291,2020-11-10,28.49,28.97,28.85,28.85,28.55
5290,2020-11-09,28.15,28.79,28.3,28.3,28.24
5289,2020-11-06,27.38,27.705,27.44,27.44,27.4902
5288,2020-11-05,27.18,27.85,27.51,27.51,27.19
5287,2020-11-04,26.86,27.445,27.04,27.04,27.21
5286,2020-11-03,27.4,27.8,27.46,27.46,27.51
5285,2020-11-02,27.01,27.6,27.34,27.34,27.4
5284,2020-10-30,26.69,27.04,27.02,27.02,26.74
5283,2020-10-29,26.35,27.05,26.76,26.76,26.5
5282,2020-10-28,26.45,26.88,26.5,26.5,26.695
5281,2020-10-27,26.9,27.27,26.92,26.92,27.24
5280,2020-10-26,27.09,27.65,27.38,27.38,27.63
5279,2020-10-23,27.75,28.41,27.82,27.82,28.35
5278,2020-10-22,27.7,28.5,28.28,28.28,27.83
5277,2020-10-21,26.54,26.92,26.72,26.72,26.77
5276,2020-10-20,26.66,27.12,26.76,26.76,26.99
5275,2020-10-19,26.82,27.47,26.88,26.88,27.435
5274,2020-10-16,27.32,27.57,27.33,27.33,27.48
5273,2020-10-15,27.11,27.45,27.45,27.45,27.31
5272,2020-10-14,27.48,27.95,27.49,27.49,27.71
5271,2020-10-13,27.68,28.13,27.75,27.75,28.01
5270,2020-10-12,28.01,28.3,28.13,28.13,28.3
5269,2020-10-09,28.23,28.69,28.32,28.32,28.63
5268,2020-10-08,28.24,28.63,28.61,28.61,28.32
5267,2020-10-07,28.69,28.975,28.8,28.2858908342,28.92
5266,2020-10-06,28.66,29.16,28.71,28.1974974253,28.745
5265,2020-10-05,28.36,28.75,28.67,28.1582114658,28.49
5264,2020-10-02,28.21,28.89,28.68,28.1680329557,28.27
5263,2020-10-01,28.34,28.64,28.49,27.9814246481,28.52
5262,2020-09-30,28.285,28.67,28.51,28.0010676279,28.38
5261,2020-09-29,28.13,28.405,28.3,27.7948163405,28.36
5260,2020-09-28,28.24,28.65,28.38,27.8733882595,28.32
5259,2020-09-25,27.75,28.11,28.04,27.5394576038,27.91
5258,2020-09-24,27.75,28.255,28.04,27.5394576038,27.87
5257,2020-09-23,27.84,28.685,27.87,27.372492276,28.55
5256,2020-09-22,28.42,28.93,28.51,28.0010676279,28.53
5255,2020-09-21,28.26,28.82,28.63,28.1189255064,28.8
5254,2020-09-18,28.91,29.22,28.93,28.4135702025,29.04
5253,2020-09-17,28.95,29.24,29.07,28.5510710608,29.15
5252,2020-09-16,29.12,29.54,29.24,28.7180363886,29.13
5251,2020-09-15,29.06,29.34,29.12,28.6001785101,29.19
5250,2020-09-14,29.0,29.3,29.14,28.6198214899,29.1
5249,2020-09-11,28.8,29.13,29.0,28.4823206317,28.96
