,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,140.03,141.54,141.31,141.31,140.97
5301,2020-11-24,143.18,144.53,143.84,143.84,143.9
5300,2020-11-23,143.22,143.96,143.26,143.26,143.75
5299,2020-11-20,142.07,143.04,142.13,142.13,142.3
5298,2020-11-19,140.13,141.08,140.92,140.92,140.7
5297,2020-11-18,141.27,143.16,141.83,141.83,141.85
5296,2020-11-17,142.0601,143.48,142.74,142.74,142.82
5295,2020-11-16,143.37,144.65,144.11,144.11,143.39
5294,2020-11-13,140.14,141.85,141.62,141.62,140.29
5293,2020-11-12,139.6,141.33,139.69,139.69,141.33
5292,2020-11-11,142.12,143.3199,142.48,142.48,142.71
5291,2020-11-10,139.64,141.48,139.94,139.94,139.7
5290,2020-11-09,139.64,141.71,139.64,139.64,140.3
5289,2020-11-06,136.11,138.1995,137.2,137.2,136.7
5288,2020-11-05,135.5475,137.395,137.07,137.07,135.86
5287,2020-11-04,134.01,134.91,134.16,134.16,134.73
5286,2020-11-03,134.46,136.82,135.87,135.87,134.46
5285,2020-11-02,132.66,133.654,133.24,133.24,133.06
5284,2020-10-30,130.535,131.5232,131.29,131.29,130.88
5283,2020-10-29,130.405,132.35,131.35,131.35,131.93
5282,2020-10-28,129.28,131.2117,130.07,130.07,131.13
5281,2020-10-27,132.26,133.04,132.46,132.46,133.04
5280,2020-10-26,132.36,133.36,132.85,132.85,133.12
5279,2020-10-23,132.8,133.82,133.28,133.28,133.82
5278,2020-10-22,132.65,133.56,133.42,133.42,133.39
5277,2020-10-21,132.86,133.7875,133.14,133.14,133.0
5276,2020-10-20,130.66,131.78,131.31,131.31,130.88
5275,2020-10-19,130.62,131.79,130.88,130.88,131.79
5274,2020-10-16,130.59,131.705,130.64,130.64,130.65
5273,2020-10-15,130.38,131.22,131.17,131.17,130.64
5272,2020-10-14,131.305,131.97,131.53,131.53,131.64
5271,2020-10-13,132.4247,133.13,132.65,132.65,132.84
5270,2020-10-12,131.62,132.22,131.8,131.8,132.0
5269,2020-10-09,131.9716,132.36,132.08,132.08,132.22
5268,2020-10-08,132.47,133.14,132.95,132.95,132.93
5267,2020-10-07,132.01,132.68,132.43,132.43,132.68
5266,2020-10-06,131.16,132.63,131.26,131.26,131.925
5265,2020-10-05,131.25,132.18,132.1,132.1,131.48
5264,2020-10-02,130.8828,132.13,131.73,131.73,130.98
5263,2020-10-01,132.02,132.83,132.43,132.43,132.63
5262,2020-09-30,132.12,133.26,132.44,132.44,132.65
5261,2020-09-29,134.185,135.75,134.25,134.25,135.07
5260,2020-09-28,135.04,136.31,136.01,136.01,135.04
5259,2020-09-25,132.0,133.12,132.97,132.97,132.6
5258,2020-09-24,130.91,132.69,131.85,131.85,131.38
5257,2020-09-23,133.19,135.16,133.29,133.29,134.52
5256,2020-09-22,131.17,132.3,132.25,132.25,131.41
5255,2020-09-21,130.2063,132.3,131.22,131.22,132.3
5254,2020-09-18,134.25,135.305,134.25,134.25,134.48
5253,2020-09-17,133.56,135.42,135.0,135.0,133.8
5252,2020-09-16,134.01,134.76,134.03,134.03,134.55
5251,2020-09-15,133.91,134.78,134.03,134.03,134.48
5250,2020-09-14,133.4339,134.355,133.77,133.77,133.9
5249,2020-09-11,130.54,131.6,131.34,131.34,131.13
5248,2020-09-10,130.05,131.35,130.18,130.18,130.455
5247,2020-09-09,130.32,131.47,131.13,131.13,130.32
5246,2020-09-08,130.6,132.1,131.23,131.23,131.0
5245,2020-09-04,130.93,133.75,133.17,133.17,133.0
5244,2020-09-03,129.59,131.95,129.95,129.95,131.62
5243,2020-09-02,131.57,132.62,132.52,132.52,131.69
5242,2020-09-01,131.09,132.46,132.3,132.3,131.8
5241,2020-08-31,131.78,133.12,132.43,132.43,133.12
5240,2020-08-28,133.57,134.29,133.92,133.92,134.03
5239,2020-08-27,133.17,134.23,133.56,133.56,134.17
5238,2020-08-26,133.99,135.07,134.89,134.89,134.4
5237,2020-08-25,134.1353,135.195,134.79,134.79,135.0
5236,2020-08-24,134.37,135.45,134.76,134.76,134.65
5235,2020-08-21,133.11,133.91,133.83,133.83,133.22
5234,2020-08-20,133.6,134.25,134.09,134.09,133.73
5233,2020-08-19,135.14,136.5,135.21,135.21,136.23
5232,2020-08-18,135.87,136.58,136.08,136.08,136.22
5231,2020-08-17,134.57,135.56,135.53,135.53,134.95
5230,2020-08-14,133.6,134.49,134.22,134.22,133.67
5229,2020-08-13,135.28,136.34,135.64,135.64,136.25
5228,2020-08-12,136.16,136.91,136.44,136.44,136.87
5227,2020-08-11,133.56,135.17,133.75,133.75,135.0
5226,2020-08-10,129.96,130.64,130.57,130.57,130.0
5225,2020-08-07,129.21,130.0,129.96,129.96,130.0
5224,2020-08-06,127.6,129.5,128.34,128.34,128.58
5223,2020-08-05,124.56,125.83,124.82,124.82,125.67
5222,2020-08-04,122.22,123.55,122.91,122.91,122.93
5221,2020-08-03,119.51,121.125,120.94,120.94,119.62
5220,2020-07-31,118.6583,120.22,119.34,119.34,120.0
5219,2020-07-30,121.21,122.66,122.46,122.46,122.0
5218,2020-07-29,123.05,124.2,123.99,123.99,123.38
5217,2020-07-28,125.22,126.015,125.46,125.46,126.0
5216,2020-07-27,126.62,128.05,127.57,127.57,126.835
5215,2020-07-24,125.05,126.145,125.21,125.21,125.37
5214,2020-07-23,125.7,126.95,125.86,125.86,125.97
5213,2020-07-22,125.49,126.39,126.26,126.26,125.76
5212,2020-07-21,126.17,127.34,126.27,126.27,127.23
5211,2020-07-20,126.92,127.64,127.28,127.28,127.18
5210,2020-07-17,126.54,127.33,127.06,127.06,127.08
5209,2020-07-16,126.08,127.26,126.49,126.49,127.26
5208,2020-07-15,126.93,128.15,127.33,127.33,127.82
5207,2020-07-14,125.15,126.63,126.43,126.43,125.15
5206,2020-07-13,124.82,126.66,125.05,125.05,126.66
5205,2020-07-10,123.57,125.05,124.97,124.97,123.95
5204,2020-07-09,122.9,125.07,123.83,123.83,125.07
5203,2020-07-08,124.67,125.49,125.41,125.41,125.49
5202,2020-07-07,124.96,126.44,124.96,124.96,126.01
5201,2020-07-06,126.33,127.4,126.98,126.98,127.16
5200,2020-07-02,126.14,127.53,126.39,126.39,127.2
