,Date,Low,High,Close,Adjusted Close,Open
2621,2020-11-24,526.2,559.99,555.38,555.38,540.4
2620,2020-11-23,501.79,526.0,521.85,521.85,503.5
2619,2020-11-20,489.06,502.5,489.61,489.61,497.99
2618,2020-11-19,487.57,508.6112,499.27,499.27,492.0
2617,2020-11-18,443.5001,496.0,486.64,486.64,448.35
2616,2020-11-17,433.01,462.0,441.61,441.61,460.17
2615,2020-11-16,404.0868,412.45,408.09,408.09,408.93
2614,2020-11-13,401.66,412.5319,408.5,408.5,410.85
2613,2020-11-12,409.52,423.0,411.76,411.76,415.05
2612,2020-11-11,410.58,418.695,417.13,417.13,416.45
2611,2020-11-10,396.0301,420.09,410.36,410.36,420.09
2610,2020-11-09,421.0,452.5,421.26,421.26,439.5
2609,2020-11-06,424.28,436.57,429.95,429.95,436.1
2608,2020-11-05,424.0001,440.0,438.09,438.09,428.3
2607,2020-11-04,417.1,435.4,420.98,420.98,430.62
2606,2020-11-03,406.69,427.77,423.9,423.9,409.73
2605,2020-11-02,392.3,406.9799,400.51,400.51,394.0
2604,2020-10-30,379.11,407.5915,388.04,388.04,406.8954
2603,2020-10-29,406.46,418.06,410.83,410.83,409.96
2602,2020-10-28,406.0,418.6,406.02,406.02,416.48
2601,2020-10-27,420.1,430.5,424.68,424.68,423.76
2600,2020-10-26,410.0,425.76,420.28,420.28,411.63
2599,2020-10-23,407.3801,422.8859,420.63,420.63,421.84
2598,2020-10-22,424.51,445.23,425.79,425.79,441.92
2597,2020-10-21,421.25,432.95,422.64,422.64,422.7
2596,2020-10-20,419.0501,431.75,421.94,421.94,431.75
2595,2020-10-19,428.87,447.0,430.83,430.83,446.24
2594,2020-10-16,438.85,455.9499,439.67,439.67,454.44
2593,2020-10-15,442.5,456.57,448.88,448.88,450.31
2592,2020-10-14,447.35,465.9,461.3,461.3,449.78
2591,2020-10-13,436.6,448.89,446.65,446.65,443.35
2590,2020-10-12,438.58,448.74,442.3,442.3,442.0
2589,2020-10-09,426.4601,434.5899,434.0,434.0,430.13
2588,2020-10-08,425.3,439.0,425.92,425.92,438.44
2587,2020-10-07,413.845,429.9,425.3,425.3,419.87
2586,2020-10-06,406.05,428.7799,413.98,413.98,423.79
2585,2020-10-05,419.33,433.64,425.68,425.68,423.35
2584,2020-10-02,415.0,439.13,415.09,415.09,421.39
2583,2020-10-01,434.42,448.88,448.16,448.16,440.76
2582,2020-09-30,420.47,433.93,429.01,429.01,421.32
2581,2020-09-29,411.6,428.5,419.07,419.07,416.0
2580,2020-09-28,415.55,428.08,421.2,421.2,424.62
2579,2020-09-25,391.3,408.7323,407.34,407.34,393.47
2578,2020-09-24,351.3,399.5,387.79,387.79,363.8
2577,2020-09-23,375.8801,412.15,380.36,380.36,405.16
2576,2020-09-22,417.6001,437.76,424.23,424.23,429.6
2575,2020-09-21,407.07,455.68,449.39,449.39,453.13
2574,2020-09-18,428.8,451.0,442.15,442.15,447.94
2573,2020-09-17,408.0001,437.79,423.43,423.43,415.6
2572,2020-09-16,435.31,457.79,441.76,441.76,439.87
2571,2020-09-15,430.7,461.94,449.76,449.76,436.56
2570,2020-09-14,373.3,420.0,419.62,419.62,380.95
2569,2020-09-11,360.5,382.5,372.72,372.72,381.94
2568,2020-09-10,360.56,398.99,371.34,371.34,386.21
2567,2020-09-09,341.51,369.0,366.28,366.28,356.6
2566,2020-09-08,329.88,368.74,330.21,330.21,356.0
2565,2020-09-04,372.0201,428.0,418.32,418.32,402.81
2564,2020-09-03,402.0,431.8,407.0,407.0,407.23
2563,2020-09-02,405.1206,479.04,447.37,447.37,478.99
2562,2020-09-01,470.51,502.49,475.05,475.05,502.14
2561,2020-08-31,440.11,500.14,498.32,498.32,444.61
2560,2020-08-28,2186.52,2318.49,2213.4,442.68,2295.12
2559,2020-08-27,2142.5,2295.6,2238.75,447.75,2180.46
2558,2020-08-26,2053.6291,2166.0,2153.17,430.634,2060.0
2557,2020-08-25,1968.0,2027.95,2023.34,404.668,1974.89
2556,2020-08-24,1927.52,2129.0,2014.2,402.84,2126.275
2555,2020-08-21,2025.05,2095.49,2049.98,409.996,2044.76
2554,2020-08-20,1857.06,2021.99,2001.83,400.366,1860.68
2553,2020-08-19,1841.21,1911.0,1878.53,375.706,1865.0
2552,2020-08-18,1845.11,1923.9,1887.09,377.418,1898.99
2551,2020-08-17,1672.83,1845.86,1835.64,367.128,1677.0
2550,2020-08-14,1626.64,1668.8,1650.71,330.142,1664.99
2549,2020-08-13,1567.26,1651.18,1621.0,324.2,1611.0
2548,2020-08-12,1435.0,1585.0,1554.76,310.952,1470.0
2547,2020-08-11,1365.0,1420.0,1374.39,274.878,1396.0
2546,2020-08-10,1385.84,1457.5,1418.57,283.714,1448.0
2545,2020-08-07,1415.01,1499.75,1452.71,290.542,1499.5365
2544,2020-08-06,1477.26,1517.31,1489.58,297.916,1490.83
2543,2020-08-05,1468.31,1499.8384,1485.02,297.004,1492.99
2542,2020-08-04,1462.0,1527.41,1487.0,297.4,1495.01
2541,2020-08-03,1444.3844,1509.8101,1485.0,297.0,1449.2
2540,2020-07-31,1420.98,1517.05,1430.76,286.152,1515.0
2539,2020-07-30,1471.0,1513.24,1487.49,297.498,1488.0
2538,2020-07-29,1487.0,1534.81,1499.11,299.822,1501.0
2537,2020-07-28,1474.42,1564.7,1476.49,295.298,1504.0
2536,2020-07-27,1413.0003,1547.94,1539.6,307.92,1435.0
2535,2020-07-24,1366.5401,1465.0,1417.0,283.4,1416.01
2534,2020-07-23,1480.77,1689.0,1513.07,302.614,1678.95
2533,2020-07-22,1562.0,1626.42,1592.33,318.466,1599.0
2532,2020-07-21,1558.0,1675.0,1568.36,313.672,1639.93
2531,2020-07-20,1488.0,1650.0,1643.0,328.6,1519.01
2530,2020-07-17,1490.0,1537.51,1500.84,300.168,1513.45
2529,2020-07-16,1466.0,1531.71,1500.64,300.128,1477.16
2528,2020-07-15,1457.0,1550.0,1546.01,309.202,1543.0
2527,2020-07-14,1431.0,1590.0,1516.8,303.36,1556.0
2526,2020-07-13,1471.11,1794.99,1497.06,299.412,1659.0
2525,2020-07-10,1376.01,1548.92,1544.65,308.93,1396.0
2524,2020-07-09,1351.28,1408.56,1394.28,278.856,1396.99
2523,2020-07-08,1311.34,1417.26,1365.88,273.176,1405.0
2522,2020-07-07,1336.71,1429.5,1389.86,277.972,1405.01
2521,2020-07-06,1266.04,1377.79,1371.58,274.316,1276.69
2520,2020-07-02,1185.6,1228.0,1208.66,241.732,1221.48
2519,2020-07-01,1080.5,1135.33,1119.63,223.926,1083.0
2518,2020-06-30,1003.73,1087.69,1079.81,215.962,1006.5
2517,2020-06-29,948.5201,1010.0,1009.35,201.87,969.01
2516,2020-06-26,954.87,995.0,959.74,191.948,994.78
2515,2020-06-25,937.15,985.98,985.98,197.196,954.27
2514,2020-06-24,953.14,1000.88,960.85,192.17,994.11
2513,2020-06-23,994.01,1012.0,1001.78,200.356,998.88
2512,2020-06-22,990.02,1008.88,994.32,198.864,999.95
2511,2020-06-19,991.34,1015.97,1000.9,200.18,1012.78
2510,2020-06-18,994.47,1019.2,1003.96,200.792,1003.0
2509,2020-06-17,982.57,1005.0,991.79,198.358,987.71
2508,2020-06-16,962.39,1012.88,982.13,196.426,1011.85
2507,2020-06-15,908.5,998.84,990.9,198.18,917.79
2506,2020-06-12,912.6,987.98,935.28,187.056,980.0
2505,2020-06-11,972.0,1018.96,972.84,194.568,990.2
2504,2020-06-10,982.5,1027.48,1025.05,205.01,991.88
2503,2020-06-09,923.93,954.44,940.67,188.134,940.01
2502,2020-06-08,909.16,950.0,949.92,189.984,919.0
2501,2020-06-05,866.2,886.52,885.66,177.132,877.84
2500,2020-06-04,858.44,895.75,864.38,172.876,889.88
2499,2020-06-03,880.1,897.94,882.96,176.592,888.12
2498,2020-06-02,871.0,908.66,881.56,176.312,894.7
2497,2020-06-01,854.1,899.0,898.1,179.62,858.0
2496,2020-05-29,804.21,835.0,835.0,167.0,808.75
2495,2020-05-28,801.69,824.75,805.81,161.162,813.51
2494,2020-05-27,785.0,827.71,820.23,164.046,820.86
2493,2020-05-26,815.71,834.6,818.87,163.774,834.5
2492,2020-05-22,812.0,831.78,816.88,163.376,822.17
2491,2020-05-21,796.0,832.5,827.6,165.52,816.0
2490,2020-05-20,811.8,826.0,815.56,163.112,820.5
2489,2020-05-19,806.08,822.07,808.01,161.602,815.17
2488,2020-05-18,803.88,834.72,813.63,162.726,827.78
2487,2020-05-15,786.55,805.05,799.17,159.834,790.35
2486,2020-05-14,764.0,803.36,803.33,160.666,780.0
2485,2020-05-13,763.3,826.0,790.96,158.192,820.83
2484,2020-05-12,808.0,843.29,809.41,161.882,827.0
2483,2020-05-11,785.0,824.0,811.29,162.258,790.51
2482,2020-05-08,787.01,824.0,819.42,163.884,793.77
2481,2020-05-07,772.35,796.4,780.04,156.008,777.21
2480,2020-05-06,761.11,789.8,782.58,156.516,776.5
2479,2020-05-05,762.18,798.92,768.21,153.642,789.79
2478,2020-05-04,698.0,762.0,761.19,152.238,701.0
2477,2020-05-01,683.04,772.77,701.32,140.264,755.0
2476,2020-04-30,763.5,869.82,781.88,156.376,855.19
2475,2020-04-29,783.16,803.2,800.51,160.102,790.17
2474,2020-04-28,756.69,805.0,769.12,153.824,795.64
2473,2020-04-27,735.0,799.49,798.75,159.75,737.61
2472,2020-04-24,698.18,730.73,725.15,145.03,710.81
2471,2020-04-23,703.13,734.0,705.63,141.126,727.6
2470,2020-04-22,688.71,734.0,732.11,146.422,703.98
2469,2020-04-21,673.79,753.33,686.72,137.344,730.12
2468,2020-04-20,712.21,765.57,746.36,149.272,732.7
2467,2020-04-17,747.66,774.95,753.89,150.778,772.28
2466,2020-04-16,706.72,759.45,745.21,149.042,716.94
2465,2020-04-15,710.0,753.13,729.83,145.966,742.0
2464,2020-04-14,692.43,741.88,709.89,141.978,698.97
2463,2020-04-13,580.53,652.0,650.95,130.19,590.16
2462,2020-04-09,557.11,575.18,573.0,114.6,562.09
2461,2020-04-08,533.33,557.21,548.84,109.768,554.2
2460,2020-04-07,532.34,565.0,545.45,109.09,545.0
