,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,96.14,97.99,97.49,97.49,96.2
5301,2020-11-24,96.02,98.59,96.64,96.64,98.49
5300,2020-11-23,96.85,98.93,98.13,98.13,97.16
5299,2020-11-20,95.3,97.2,95.33,95.33,96.66
5298,2020-11-19,95.62,96.86,96.61,96.61,96.77
5297,2020-11-18,96.37,98.8,96.93,96.93,98.52
5296,2020-11-17,95.69,98.09,95.71,95.71,97.98
5295,2020-11-16,96.36,102.44,99.27,99.27,96.42
5294,2020-11-13,91.21,93.81,93.22,93.22,91.54
5293,2020-11-12,89.78,91.89,89.82,89.82,90.88
5292,2020-11-11,89.36,91.18,90.88,90.88,89.5
5291,2020-11-10,86.7,88.8,87.66,87.66,88.4
5290,2020-11-09,88.94,92.48,89.03,89.03,92.2
5289,2020-11-06,89.05,91.5,91.41,91.41,89.81
5288,2020-11-05,89.77,90.96,90.43,90.43,90.42
5287,2020-11-04,88.46,89.77,89.45,89.45,88.72
5286,2020-11-03,86.06,88.24,87.69,87.69,86.19
5285,2020-11-02,84.53,85.96,85.71,85.71,84.6
5284,2020-10-30,83.16,84.75,83.87,83.87,84.43
5283,2020-10-29,84.02,85.325,84.89,84.89,84.27
5282,2020-10-28,83.84,85.41,83.85,83.85,85.15
5281,2020-10-27,85.975,87.22,86.71,86.71,86.96
5280,2020-10-26,85.77,87.78,86.73,86.73,87.21
5279,2020-10-23,87.43,88.45,88.31,88.31,88.25
5278,2020-10-22,87.88,88.94,88.21,88.21,88.44
5277,2020-10-21,87.5662,88.87,87.64,87.64,88.0
5276,2020-10-20,87.77,88.98,88.26,88.26,87.79
5275,2020-10-19,87.29,89.62,87.56,87.56,88.34
5274,2020-10-16,86.44,88.59,86.7,86.7,88.55
5273,2020-10-15,87.19,89.49,88.15,88.15,87.29
5272,2020-10-14,88.27,89.88,88.6,88.6,89.65
5271,2020-10-13,89.43,90.65,89.64,89.64,90.5
5270,2020-10-12,88.68,91.27,90.91,90.91,89.12
5269,2020-10-09,87.64,88.8,88.78,88.78,88.34
5268,2020-10-08,86.52,88.86,87.8,87.8,88.86
5267,2020-10-07,84.78,87.0,86.92,86.92,84.78
5266,2020-10-06,82.765,84.45,83.12,83.12,83.77
5265,2020-10-05,81.55,84.63,84.54,84.54,81.55
5264,2020-10-02,80.61,82.195,80.8,80.8,80.71
5263,2020-10-01,81.74,82.72,82.62,82.62,82.06
5262,2020-09-30,80.57,81.935,81.07,81.07,80.59
5261,2020-09-29,79.31,81.24,80.51,80.51,79.7
5260,2020-09-28,79.47,80.37,79.77,79.77,80.31
5259,2020-09-25,77.39,78.92,78.88,78.88,78.17
5258,2020-09-24,76.17,78.995,78.38,78.38,76.82
5257,2020-09-23,77.89,79.93,77.92,77.92,79.7
5256,2020-09-22,79.4,80.89,80.48,80.48,80.83
5255,2020-09-21,79.085,80.65,80.59,80.59,79.8
5254,2020-09-18,80.11,82.84,80.23,80.23,82.37
5253,2020-09-17,80.61,82.285,81.91,81.91,81.0
5252,2020-09-16,83.04,86.49,83.13,82.6993123603,86.49
5251,2020-09-15,81.38,86.79,85.85,85.4052203312,81.56
5250,2020-09-14,79.95,81.12,80.5,80.082938109,80.5
5249,2020-09-11,78.6,80.3,78.82,78.4116420094,80.01
5248,2020-09-10,78.76,81.23,78.9,78.4912275379,80.74
5247,2020-09-09,78.55,79.7,79.4,78.9886370914,78.62
5246,2020-09-08,77.22,79.15,77.32,76.9194133489,78.02
5245,2020-09-04,77.41,81.47,78.91,78.501175729,80.5
5244,2020-09-03,78.38,81.81,81.18,80.7594151017,81.12
5243,2020-09-02,79.88,82.71,82.17,81.7442860176,81.35
5242,2020-09-01,79.99,81.6,81.55,81.1274981713,80.12
5241,2020-08-31,78.69,79.76,79.25,78.8394142253,79.0
5240,2020-08-28,79.91,80.88,80.44,80.0232489626,80.06
5239,2020-08-27,80.17,82.31,80.6,80.1824200197,82.18
5238,2020-08-26,81.01,82.165,81.75,81.3264619927,81.25
