,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,329.14,338.82,333.19,333.19,338.82
5301,2020-11-24,334.425,340.0,336.01,336.01,336.18
5300,2020-11-23,331.59,336.259,335.06,335.06,335.55
5299,2020-11-20,331.71,337.6599,334.7,334.7,335.0
5298,2020-11-19,334.33,343.07,337.0,337.0,342.29
5297,2020-11-18,343.09,354.05,344.51,344.51,353.43
5296,2020-11-17,347.5,353.36,352.1,352.1,352.39
5295,2020-11-16,351.01,359.58,356.82,356.82,358.95
5294,2020-11-13,352.79,357.94,355.67,355.67,356.86
5293,2020-11-12,349.75,360.52,354.41,354.41,351.4
5292,2020-11-11,349.405,356.81,351.7,351.7,356.16
5291,2020-11-10,348.17,355.9,353.69,353.69,349.49
5290,2020-11-09,348.98,367.95,350.0,350.0,366.31
5289,2020-11-06,344.57,352.0,347.46,347.46,350.36
5288,2020-11-05,349.68,360.98,354.4,354.4,358.07
5287,2020-11-04,341.141,360.44,354.56,354.56,345.23
5286,2020-11-03,315.015,326.44,321.35,321.35,317.47
5285,2020-11-02,307.36,312.64,312.1,312.1,312.64
5284,2020-10-30,299.6,307.17,305.14,305.14,303.23
5283,2020-10-29,301.46,309.475,303.68,303.68,306.59
5282,2020-10-28,307.44,317.81,308.0,308.0,313.33
5281,2020-10-27,319.43,323.495,320.51,320.51,323.06
5280,2020-10-26,318.535,327.75,323.06,323.06,326.32
5279,2020-10-23,328.13,335.65,330.6,330.6,329.16
5278,2020-10-22,322.25,328.06,325.73,325.73,322.32
5277,2020-10-21,322.18,326.49,322.79,322.79,323.41
5276,2020-10-20,323.28,328.62,323.41,323.41,326.62
5275,2020-10-19,322.06,330.78,324.22,324.22,328.54
5274,2020-10-16,324.73,332.35,329.9,329.9,325.46
5273,2020-10-15,316.33,326.97,324.57,324.57,318.85
5272,2020-10-14,320.2,330.57,321.85,321.85,322.07
5271,2020-10-13,327.71,333.7,331.42,331.42,328.5
5270,2020-10-12,329.01,333.5619,329.97,329.97,329.12
5269,2020-10-09,323.92,328.17,327.84,327.84,324.66
5268,2020-10-08,320.99,325.35,322.41,322.41,323.43
5267,2020-10-07,315.82,324.74,323.17,323.17,315.82
5266,2020-10-06,313.49,320.3,314.45,314.45,318.95
5265,2020-10-05,313.12,318.42,318.15,318.15,315.07
5264,2020-10-02,308.36,317.39,311.98,311.98,312.1
5263,2020-10-01,309.15,315.17,313.07,313.07,312.91
5262,2020-09-30,303.99,314.52,311.77,311.77,304.02
5261,2020-09-29,300.68,305.5,304.15,304.15,303.67
5260,2020-09-28,302.83,310.01,303.23,303.23,306.39
5259,2020-09-25,291.22,303.27,302.5,302.5,291.25
5258,2020-09-24,289.64,294.93,292.66,292.66,292.19
5257,2020-09-23,291.825,296.1,292.14,292.14,295.0
5256,2020-09-22,292.92,300.62,294.26,294.26,298.44
5255,2020-09-21,291.66,300.53,299.19,299.19,300.47
5254,2020-09-18,303.77,310.39,308.02,308.02,305.01
5253,2020-09-17,302.11,307.38,304.98,304.98,304.5
5252,2020-09-16,306.2,312.2499,306.52,306.52,309.07
5251,2020-09-15,306.05,311.46,307.23,307.23,310.05
5250,2020-09-14,303.01,311.12,308.57,308.57,303.01
5249,2020-09-11,297.29,306.46,301.48,301.48,305.07
