,Date,Low,High,Close,Adjusted Close,Open
3196,2020-11-25,208.87,211.95,210.89,210.89,209.67
3195,2020-11-24,209.4,213.82,209.68,209.68,210.85
3194,2020-11-23,204.7,209.0,208.16,208.16,204.7
3193,2020-11-20,203.805,208.11,203.88,203.88,207.13
3192,2020-11-19,205.53,208.73,207.57,207.57,207.24
3191,2020-11-18,207.67,211.15,207.83,207.83,209.72
3190,2020-11-17,209.5,212.09,210.71,210.71,210.56
3189,2020-11-16,211.83,215.09,212.7,212.7,214.57
3188,2020-11-13,207.3,211.28,210.48,210.48,209.91
3187,2020-11-12,207.14,212.54,208.26,208.26,211.43
3186,2020-11-11,211.67,214.28,212.7,212.373679164,212.17
3185,2020-11-10,210.545,214.06,213.31,212.982743312,211.94
3184,2020-11-09,212.28,217.65,212.68,212.353709848,214.69
3183,2020-11-06,195.4265,199.68,198.47,198.165510595,197.35
3182,2020-11-05,197.29,200.99,197.64,197.336783968,198.36
3181,2020-11-04,191.53,196.88,193.97,193.672414421,192.89
3180,2020-11-03,185.16,189.53,188.34,188.051051875,186.83
3179,2020-11-02,183.89,186.92,184.74,184.456574935,184.51
3178,2020-10-30,179.23,184.22,181.71,181.431223511,182.66
3177,2020-10-29,179.34,187.0,184.87,184.586375491,183.0
3176,2020-10-28,179.34,184.7,180.87,180.592512226,183.98
3175,2020-10-27,189.22,193.7,190.06,189.768413079,193.0
3174,2020-10-26,190.72,196.42,193.07,192.773795186,196.0
3173,2020-10-23,196.02,199.88,198.01,197.70621632,199.75
3172,2020-10-22,195.76,199.7665,197.99,197.686247004,199.34
3171,2020-10-21,197.83,200.42,198.43,198.125571963,197.83
3170,2020-10-20,196.71,199.66,197.7,197.396691917,197.55
3169,2020-10-19,196.5,201.07,196.97,196.667811871,200.85
3168,2020-10-16,199.41,202.65,200.26,199.952764407,199.99
3167,2020-10-15,197.6,204.7,199.55,199.243853677,201.01
3166,2020-10-14,201.13,204.9699,202.2,201.889788091,204.71
3165,2020-10-13,203.03,205.21,204.32,204.006535622,203.38
3164,2020-10-12,205.73,207.97,206.4,206.08334452,206.94
3163,2020-10-09,203.675,207.08,206.64,206.322976316,204.0
3162,2020-10-08,202.23,204.3,202.98,202.668591428,204.0
3161,2020-10-07,199.99,202.79,202.47,202.159373861,202.0
3160,2020-10-06,199.71,205.1,200.45,200.142472912,204.11
3159,2020-10-05,201.05,203.65,203.54,203.227732285,202.71
3158,2020-10-02,199.4,202.83,201.46,201.150923387,200.0
3157,2020-10-01,201.6357,205.195,203.35,203.03802378,202.21
3156,2020-09-30,198.89,202.54,199.97,199.66320932,200.85
3155,2020-09-29,199.37,202.38,199.44,199.134022437,200.58
3154,2020-09-28,199.83,201.72,200.32,200.012672356,200.63
3153,2020-09-25,193.51,198.14,197.25,196.947382299,195.02
3152,2020-09-24,193.13,197.67,195.52,195.220036437,195.15
3151,2020-09-23,194.57,201.09,195.37,195.070266564,200.8
3150,2020-09-22,196.8,200.71,200.56,200.252304152,198.09
3149,2020-09-21,194.7,201.25,197.45,197.147075463,199.91
3148,2020-09-18,201.72,205.72,202.61,202.299159076,205.47
3147,2020-09-17,202.0,205.58,205.27,204.955078147,202.85
3146,2020-09-16,204.95,207.745,205.13,204.815292933,206.74
3145,2020-09-15,204.77,208.21,205.39,205.074894045,206.75
3144,2020-09-14,203.14,206.41,204.98,204.665523061,203.35
3143,2020-09-11,198.91,202.41,200.68,200.37212005,201.58
3142,2020-09-10,200.45,207.0,201.54,201.230800652,204.86
3141,2020-09-09,201.9462,206.29,204.06,203.74693451,204.35
