,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,60.33,60.74,60.41,60.41,60.67
5301,2020-11-24,60.36,60.8,60.64,60.64,60.6
5300,2020-11-23,60.0,60.39,60.23,60.23,60.01
5299,2020-11-20,59.945,60.33,60.04,60.04,60.21
5298,2020-11-19,59.9,60.44,60.21,60.21,60.4
5297,2020-11-18,60.3,61.15,60.32,60.32,61.13
5296,2020-11-17,60.36,61.02,60.75,60.75,60.56
5295,2020-11-16,60.695,61.46,60.89,60.89,60.81
5294,2020-11-13,60.38,61.19,61.06,61.06,60.63
5293,2020-11-12,60.34,61.01,60.79,60.79,60.91
5292,2020-11-11,60.4735,61.35,61.0,61.0,61.29
5291,2020-11-10,60.2,61.41,61.1,61.1,60.28
5290,2020-11-09,59.51,60.58,59.84,59.84,60.04
5289,2020-11-06,58.01,58.75,58.53,58.53,58.08
5288,2020-11-05,57.8,58.97,58.15,58.15,58.01
5287,2020-11-04,56.58,57.85,57.22,57.22,57.19
5286,2020-11-03,57.51,58.375,57.75,57.75,57.81
5285,2020-11-02,57.0,58.205,57.7,57.7,57.67
5284,2020-10-30,56.37,57.07,56.99,56.99,56.6
5283,2020-10-29,56.02,57.31,56.76,56.76,56.16
5282,2020-10-28,56.12,57.35,56.31,56.31,56.915
5281,2020-10-27,57.31,57.8514,57.38,57.38,57.7
5280,2020-10-26,56.971,57.85,57.81,57.81,57.52
5279,2020-10-23,57.46,57.97,57.96,57.96,57.75
5278,2020-10-22,56.51,57.66,57.33,57.33,56.93
5277,2020-10-21,56.69,57.71,56.75,56.75,57.11
5276,2020-10-20,56.76,57.67,57.25,57.25,57.54
5275,2020-10-19,57.08,58.29,57.3,57.3,58.15
5274,2020-10-16,58.01,58.43,58.05,58.05,58.08
5273,2020-10-15,57.72,58.28,58.16,58.16,58.11
5272,2020-10-14,58.39,59.52,58.43,58.43,59.46
5271,2020-10-13,58.85,59.72,59.36,59.36,59.7
5270,2020-10-12,59.15,59.68,59.55,59.55,59.33
5269,2020-10-09,59.08,59.54,59.33,59.33,59.25
5268,2020-10-08,58.97,59.73,59.19,59.19,59.12
5267,2020-10-07,59.2,59.78,59.61,58.984676725,59.62
5266,2020-10-06,59.33,59.97,59.46,58.8362502612,59.76
5265,2020-10-05,59.26,59.84,59.66,59.034152213,59.63
5264,2020-10-02,59.11,59.545,59.24,58.6185581143,59.29
5263,2020-10-01,59.03,59.6,59.45,58.8263551636,59.4
5262,2020-09-30,59.045,59.705,59.49,58.865935554,59.46
5261,2020-09-29,59.1,59.49,59.24,58.6185581143,59.28
5260,2020-09-28,59.183,59.795,59.36,58.7372992853,59.56
5259,2020-09-25,58.81,59.45,59.39,58.7669845781,58.85
5258,2020-09-24,58.65,59.56,59.19,58.5690826263,59.0
5257,2020-09-23,58.85,60.14,58.91,58.2920198938,59.83
5256,2020-09-22,59.515,60.37,59.82,59.1924737744,59.73
5255,2020-09-21,59.02,60.08,59.61,58.984676725,60.0
5254,2020-09-18,60.1519,60.94,60.35,59.7169139466,60.18
5253,2020-09-17,60.1,60.99,60.59,59.9543962887,60.6
5252,2020-09-16,60.315,60.93,60.37,59.7367041418,60.53
5251,2020-09-15,60.1,61.1,60.6,59.9642913863,60.11
5250,2020-09-14,60.0,60.78,60.32,59.6872286538,60.02
5249,2020-09-11,59.3601,59.96,59.79,59.1627884816,59.58
5248,2020-09-10,59.41,60.25,59.53,58.9055159443,60.23
5247,2020-09-09,59.97,60.7476,60.04,59.4101659213,60.12
