,Date,Low,High,Close,Adjusted Close,Open
5302,2020-11-25,151.21,152.39,151.83,151.83,151.25
5301,2020-11-24,150.27,151.98,151.36,151.36,151.74
5300,2020-11-23,149.37,151.4,150.93,150.93,150.37
5299,2020-11-20,149.81,152.76,150.24,150.24,151.17
5298,2020-11-19,149.32,152.45,152.12,152.12,149.46
5297,2020-11-18,149.05,151.67,149.09,149.09,149.86
5296,2020-11-17,149.18,153.2448,149.37,149.37,150.5
5295,2020-11-16,149.28,153.4,152.44,152.44,150.53
5294,2020-11-13,147.52,150.935,150.54,150.54,148.94
5293,2020-11-12,147.1,148.7106,148.23,148.23,148.48
5292,2020-11-11,146.4,148.955,147.98,147.98,146.92
5291,2020-11-10,143.5301,146.4371,145.56,145.56,143.75
5290,2020-11-09,143.48,148.1992,143.54,143.54,148.0
5289,2020-11-06,143.55,146.22,145.77,145.77,144.36
5288,2020-11-05,142.94,144.23,143.47,143.47,144.0
5287,2020-11-04,141.3361,144.39,141.96,141.96,141.57
5286,2020-11-03,141.57,144.16,142.78,142.78,141.65
5285,2020-11-02,139.03,140.81,140.4,140.4,140.59
5284,2020-10-30,137.37,140.09,138.75,138.75,139.18
5283,2020-10-29,138.7,141.11,139.92,139.92,140.0
5282,2020-10-28,139.88,142.13,140.04,140.04,140.96
5281,2020-10-27,141.97,143.7,142.87,142.87,142.05
5280,2020-10-26,140.94,143.124,142.16,142.16,142.84
5279,2020-10-23,142.85,144.14,143.85,143.85,143.97
5278,2020-10-22,142.69,144.56,143.55,143.55,144.19
5277,2020-10-21,143.84,145.7259,144.4,144.4,143.84
5276,2020-10-20,143.62,145.53,143.9,143.9,144.11
5275,2020-10-19,142.751,145.37,142.95,142.95,145.1
5274,2020-10-16,144.47,146.15,144.71,144.71,145.4
5273,2020-10-15,142.8374,144.96,144.53,144.53,143.09
5272,2020-10-14,143.7601,146.525,143.94,143.94,146.4
5271,2020-10-13,144.36,146.605,146.23,146.23,144.68
5270,2020-10-12,143.02,145.39,144.25,144.25,143.02
5269,2020-10-09,141.56,143.34,142.78,142.78,141.66
5268,2020-10-08,141.12,142.09,141.36,141.36,141.51
5267,2020-10-07,140.25,141.55,140.89,140.89,141.26
5266,2020-10-06,140.25,142.9399,140.63,140.63,141.87
5265,2020-10-05,141.065,142.1899,141.8,141.8,141.29
5264,2020-10-02,140.1297,143.1,140.5,140.5,142.34
5263,2020-10-01,140.26,144.3799,143.08,143.08,140.8
5262,2020-09-30,137.2014,141.74,139.91,139.91,137.39
5261,2020-09-29,136.39,138.14,137.14,137.14,137.25
5260,2020-09-28,136.72,138.05,137.25,137.25,137.16
5259,2020-09-25,135.96,137.535,137.27,137.27,136.52
5258,2020-09-24,135.07,137.795,136.7,136.7,135.73
5257,2020-09-23,135.8193,139.24,135.99,135.99,139.0
5256,2020-09-22,136.57,138.99,138.31,138.31,137.07
5255,2020-09-21,135.29,137.24,137.07,137.07,136.5
5254,2020-09-18,134.75,137.53,135.29,135.29,136.44
5253,2020-09-17,135.02,137.57,136.69,136.69,135.43
5252,2020-09-16,136.05,138.6825,136.26,136.26,138.41
5251,2020-09-15,136.68,139.0799,137.36,137.36,138.23
5250,2020-09-14,135.88,141.1,137.32,137.32,136.14
5249,2020-09-11,135.55,138.44,136.7,136.7,137.05
5248,2020-09-10,136.5857,140.535,136.81,136.81,140.06
5247,2020-09-09,139.45,142.61,139.89,139.89,140.09
5246,2020-09-08,138.26,141.9,138.45,138.45,141.41
5245,2020-09-04,140.1,145.0382,142.83,142.83,144.02
5244,2020-09-03,141.81,149.6,144.54,144.54,146.7
5243,2020-09-02,145.61,151.33,147.68,147.68,151.25
5242,2020-09-01,140.05,149.59,147.59,147.59,141.2
5241,2020-08-31,135.53,138.89,138.85,138.85,137.48
5240,2020-08-28,137.84,141.07,140.3,140.3,141.0
5239,2020-08-27,130.9,139.35,136.63,136.63,131.08
5238,2020-08-26,129.7,130.88,130.7,130.7,130.21
5237,2020-08-25,129.67,131.2367,130.63,130.63,130.8
5236,2020-08-24,130.33,132.48,131.33,131.33,132.25
5235,2020-08-21,130.1,132.67,131.63,131.63,130.55
5234,2020-08-20,130.05,132.07,130.57,130.57,131.21
5233,2020-08-19,131.855,134.66,132.41,132.41,134.21
